No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,Engaging,57.77,30.62,0.963,-0.175,0.003
2,Controversial,7.51,11.67,0.184,-0.729,0.367
3,Rigorous,64.13,33.38,0.977,-0.137,0.006
4,Innovative,69.88,36.77,0.978,-0.144,-0.002
5,Accessible,47.12,26.04,0.933,-0.149,-0.014
6,Methodical,56.6,30.96,0.945,-0.102,-0.057
7,Concise,69.28,36.14,0.983,-0.131,0.032
8,Persuasive,61.0,32.38,0.971,-0.152,0.03
9,Comprehensive,56.12,31.25,0.916,-0.213,0.024
10,Insightful,64.77,33.93,0.981,-0.162,0.036
11,Relevant,71.43,37.22,0.984,-0.146,0.026
12,Objective,66.25,34.98,0.981,-0.1,-0.003
13,Replicable,67.47,35.83,0.981,-0.108,-0.017
14,Structured,59.72,31.72,0.973,-0.145,-0.012
15,Coherent,69.68,36.32,0.983,-0.151,0.025
16,Original,70.06,37.11,0.976,-0.144,0.011
17,Balanced,60.8,31.84,0.98,-0.15,0.022
18,Authoritative,68.49,35.7,0.984,-0.143,0.029
19,Impactful,69.39,36.57,0.976,-0.174,0.035
20,Interdisciplinary,45.65,30.1,0.791,-0.255,0.038
21,Well-sourced,55.55,33.24,0.866,-0.17,-0.011
22,Technical,71.43,37.4,0.982,-0.149,0.026
23,Provocative,40.36,36.05,0.543,-0.484,0.285
24,Hypothesis-driven,18.19,25.02,0.26,-0.715,0.336
25,Ethical,50.9,44.69,0.596,-0.296,-0.151
26,Difficult to understand,5.12,7.54,0.161,-0.947,0.104
27,Exciting,61.0,31.95,0.979,-0.148,0.031
28,Not well written,3.41,5.4,0.146,-0.936,-0.191
29,Theoretical,46.26,34.42,0.676,-0.252,0.139
30,To the point,72.12,37.58,0.984,-0.145,0.033
31,Disengaging,4.0,6.54,0.155,-0.951,-0.11
32,Uncontroversial,5.19,8.34,0.179,-0.883,0.062
33,Lax,5.1,7.86,0.14,-0.942,0.083
34,Conventional,8.3,11.62,0.186,-0.893,0.335
35,Inaccessible,4.62,7.29,0.15,-0.955,-0.009
36,Haphazard,3.65,5.82,0.136,-0.942,-0.164
37,Verbose,3.96,6.21,0.112,-0.94,-0.16
38,Unconvincing,5.41,8.01,0.157,-0.941,0.138
39,Superficial,8.28,11.67,0.182,-0.902,0.307
40,Uninsightful,4.8,7.43,0.153,-0.957,0.025
41,Irrelevant,3.7,6.1,0.158,-0.945,-0.166
42,Subjective,6.36,9.48,0.161,-0.939,0.166
43,Non-replicable,4.0,6.38,0.136,-0.955,-0.103
44,Unstructured,4.41,7.1,0.136,-0.937,-0.064
45,Incoherent,4.09,6.63,0.136,-0.943,-0.108
46,Derivative,7.82,11.35,0.174,-0.916,0.269
47,Unbalanced,6.2,9.21,0.165,-0.936,0.155
48,Unreliable,4.28,6.8,0.131,-0.938,-0.046
49,Inconsequential,4.57,7.38,0.171,-0.932,-0.015
50,Narrow,8.64,12.22,0.189,-0.898,0.326
51,Poorly-sourced,4.69,7.63,0.146,-0.948,-0.041
52,Nontechnical,5.4,8.66,0.146,-0.919,0.066
53,Unprovocative,6.27,9.87,0.176,-0.923,0.147
54,Speculation-driven,6.7,11.08,0.153,-0.873,0.18
55,Unethical,3.53,5.78,0.145,-0.938,-0.182
56,Easy to understand,70.46,36.97,0.99,-0.083,0.038
57,Dull,4.47,7.09,0.152,-0.959,-0.039
58,Well written,72.01,37.53,0.985,-0.137,0.036
59,Empirical,45.63,37.84,0.592,-0.422,0.161
60,Circumlocutory,4.23,6.65,0.111,-0.94,-0.142
