No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Circumlocutory,13.81,5.55,-0.418,-0.348,0.101
2,2. Empirical,81.64,10.66,0.426,0.25,-0.043
3,3. Well written,85.14,4.31,0.485,0.446,0.265
4,4. Dull,16.72,6.34,-0.329,-0.626,-0.23
5,5. Easy to understand,78.9,4.88,0.523,0.307,-0.129
6,6. Unethical,5.16,5.58,-0.097,-0.337,0.115
7,7. Speculation-driven,19.13,9.97,-0.421,-0.456,0.283
8,8. Unprovocative,39.97,13.76,-0.05,-0.315,-0.147
9,9. Nontechnical,19.84,10.22,-0.39,-0.321,-0.183
10,10. Poorly-sourced,14.68,9.77,-0.342,-0.505,0.032
11,11. Narrow,34.51,8.42,-0.009,-0.687,-0.211
12,12. Inconsequential,14.47,5.97,-0.129,-0.708,-0.186
13,13. Unreliable,13.23,5.85,-0.409,-0.632,0.051
14,14. Unbalanced,30.64,21.08,0.235,-0.631,-0.021
15,15. Derivative,23.04,6.64,-0.275,-0.668,-0.227
16,16. Incoherent,10.56,3.67,-0.33,-0.611,-0.036
17,17. Unstructured,18.84,18.23,0.207,-0.476,0.002
18,18. Non-replicable,27.39,22.46,0.204,-0.542,0.044
19,19. Subjective,20.91,8.99,-0.526,-0.468,0.04
20,20. Irrelevant,10.44,4.91,-0.186,-0.517,-0.067
21,21. Uninsightful,16.59,6.02,-0.372,-0.764,-0.189
22,22. Superficial,24.83,6.82,-0.384,-0.777,-0.158
23,23. Unconvincing,18.93,6.86,-0.476,-0.689,-0.052
24,24. Verbose,22.35,6.5,-0.531,-0.411,0.139
25,25. Haphazard,15.51,5.13,-0.531,-0.632,-0.002
26,26. Inaccessible,22.01,8.74,-0.308,-0.55,0.096
27,27. Conventional,42.84,10.22,-0.103,-0.564,-0.35
28,28. Lax,16.96,6.68,-0.488,-0.663,-0.033
29,29. Uncontroversial,52.54,12.04,0.105,-0.367,-0.264
30,30. Disengaging,25.07,6.25,-0.346,-0.695,-0.202
31,31. To the point,78.76,5.43,0.729,0.184,0.103
32,32. Theoretical,65.97,13.03,-0.041,-0.096,0.595
33,33. Not well written,13.37,4.22,-0.496,-0.558,-0.169
34,34. Exciting,61.84,8.62,0.28,0.119,0.726
35,35. Difficult to understand,26.05,7.82,-0.363,-0.351,0.333
36,36. Ethical,93.08,4.51,0.365,0.287,-0.036
37,37. Hypothesis-driven,75.8,6.78,0.413,0.196,0.471
38,38. Provocative,51.02,8.44,-0.059,-0.087,0.773
39,39. Technical,80.69,7.95,0.49,0.113,0.331
40,40. Well-sourced,76.08,7.56,0.581,0.282,0.134
41,41. Interdisciplinary,52.95,9.37,-0.06,-0.15,0.536
42,42. Impactful,75.15,5.68,0.468,0.285,0.604
43,43. Authoritative,75.52,5.8,0.686,0.16,0.266
44,44. Balanced,73.07,5.5,0.698,0.084,0.264
45,45. Original,69.15,7.04,0.286,0.201,0.743
46,46. Coherent,85.02,4.36,0.724,0.308,0.266
47,47. Structured,82.37,5.07,0.696,0.307,0.247
48,48. Replicable,73.66,7.87,0.769,0.178,0.044
49,49. Objective,75.91,6.56,0.658,0.209,0.12
50,50. Relevant,86.52,4.17,0.637,0.328,0.33
51,51. Insightful,78.34,5.06,0.495,0.345,0.655
52,52. Comprehensive,71.45,5.81,0.515,0.298,0.527
53,53. Persuasive,76.97,5.6,0.55,0.338,0.503
54,54. Concise,75.46,5.6,0.682,0.086,0.083
55,55. Methodical,80.45,4.94,0.774,0.23,0.272
56,56. Accessible,71.99,5.7,0.512,0.156,-0.064
57,57. Innovative,74.83,7.37,0.277,0.222,0.73
58,58. Rigorous,81.41,4.85,0.713,0.199,0.351
59,59. Controversial,37.21,8.98,-0.236,-0.277,0.6
60,60. Engaging,70.45,5.85,0.335,0.171,0.699
