Item_No,Item,rho,p
42,42. Impactful,0.29412056585917756,9.988373142799096e-41
51,51. Insightful,0.2931183889914216,1.8924648127854585e-40
52,52. Comprehensive,0.2685270094190838,5.533231723989832e-34
53,53. Persuasive,0.2535750059378014,2.2839514720231013e-30
40,40. Well-sourced,0.2528403633835143,3.39097494347067e-30
46,46. Coherent,0.24997881574549363,1.5615783137817124e-29
50,50. Relevant,0.24938419033009726,2.1395602830809823e-29
3,3. Well written,0.23486717790205938,3.6069545682813534e-26
47,47. Structured,0.23416419268636307,5.1048144885099523e-26
43,43. Authoritative,0.2339154492606794,5.770770396286249e-26
60,60. Engaging,0.2281996578804094,9.28670110502006e-25
5,5. Easy to understand,0.22786290475154147,1.0912741606647436e-24
2,2. Empirical,0.2231234873922772,1.0284318635042275e-23
58,58. Rigorous,0.2168841264026771,1.8235368063297327e-22
34,34. Exciting,0.20850784583037973,7.54085178610532e-21
48,48. Replicable,0.20779943629550757,1.0256672026385264e-20
55,55. Methodical,0.20069429457052543,2.1089140542139809e-19
44,44. Balanced,0.1884505842073692,2.974992555605834e-17
37,37. Hypothesis-driven,0.18628688809448535,6.895531391447199e-17
56,56. Accessible,0.1853797563441498,9.779532799243557e-17
31,31. To the point,0.18115852152526293,4.8564364179588e-16
45,45. Original,0.17137771066357804,1.718483988388281e-14
54,54. Concise,0.16907520836381568,3.862539316225118e-14
49,49. Objective,0.1574696099641047,1.9306269279404304e-12
57,57. Innovative,0.14052356802452515,3.523736207003034e-10
38,38. Provocative,0.1252118759270401,2.3448944558588823e-08
39,39. Technical,0.10166663685493912,5.949246442851859e-06
36,36. Ethical,0.08706184103237118,0.00010662344764673881
41,41. Interdisciplinary,0.04917007624074054,0.0288406280482462
59,59. Controversial,0.006316177288061783,0.779022395657887
32,32. Theoretical,-0.024030749170750935,0.2856565723341716
6,6. Unethical,-0.058311304328495364,0.009524435257166978
9,9. Nontechnical,-0.08828892619056096,8.50054111591989e-05
29,29. Uncontroversial,-0.1357293182359553,1.3807824576926178e-09
35,35. Difficult to understand,-0.15462103478119488,4.829612348842111e-12
8,8. Unprovocative,-0.15701492914042417,2.2374515542859156e-12
1,1. Circumlocutory,-0.15979595848504366,9.016196561181365e-13
7,7. Speculation-driven,-0.16731238299252735,7.126235826292246e-14
24,24. Verbose,-0.1918246628258851,7.858878819840392e-18
16,16. Incoherent,-0.20044269892372332,2.3424214210233544e-19
18,18. Non-replicable,-0.2005188349650688,2.2691877439835395e-19
19,19. Subjective,-0.20152236480675553,1.491173205629583e-19
12,12. Inconsequential,-0.20815015895532962,8.809084498788548e-21
14,14. Unbalanced,-0.21698289645702912,1.7435917479480994e-22
27,27. Conventional,-0.22400528814304368,6.801381559620864e-24
10,10. Poorly-sourced,-0.22590914469241954,2.7685446241682713e-24
20,20. Irrelevant,-0.22764365691015703,1.211978231298139e-24
11,11. Narrow,-0.23508926651130754,3.2313492436725386e-26
17,17. Unstructured,-0.23663004957558315,1.502085251599813e-26
13,13. Unreliable,-0.24186158080041503,1.0695259813610154e-27
26,26. Inaccessible,-0.24727524508366056,6.492927818427225e-29
33,33. Not well written,-0.24764094994239097,5.360011917705195e-29
28,28. Lax,-0.25049033919296504,1.1902131076462911e-29
4,4. Dull,-0.25903908562574335,1.1601281188469697e-31
25,25. Haphazard,-0.2607845164613242,4.410977946556943e-32
15,15. Derivative,-0.26375111241500543,8.383155232823891e-33
30,30. Disengaging,-0.2884166929606637,3.66630671392732e-39
23,23. Unconvincing,-0.3001949465718343,1.9649547040220966e-42
21,21. Uninsightful,-0.3035974401797732,2.0872890835084287e-43
22,22. Superficial,-0.3043500999947359,1.265931548603577e-43
