Item_No,Item,rho,p
19,Impactful,0.37754670074298036,8.978665503636623e-69
18,Authoritative,0.34938181592559986,1.676212965017584e-58
11,Relevant,0.32537897816249045,1.5343754747843891e-50
8,Persuasive,0.30254097215692827,1.319647065711211e-43
10,Insightful,0.2770407134703534,1.444560674596903e-36
15,Coherent,0.2642727603226175,2.604648114669127e-33
12,Objective,0.26094073112946237,1.724610381386203e-32
9,Comprehensive,0.2509820772236013,4.171835717198013e-30
21,Well-sourced,0.24972129671205273,8.216383340066336e-30
13,Replicable,0.23450949413583,2.17060961483677e-26
14,Structured,0.23245227755791067,6.041654637610268e-26
27,Exciting,0.23204240151988875,7.399778200048928e-26
58,Well written,0.2281915178754515,4.878504720825378e-25
4,Innovative,0.2271170212540607,8.206479002106592e-25
3,Rigorous,0.21803161892826992,5.99416686756291e-23
16,Original,0.21777903211133032,6.73538258374073e-23
17,Balanced,0.21746552556375198,7.782507328957437e-23
59,Empirical,0.18770782773231398,2.5693042350962905e-17
22,Technical,0.17711854613602396,1.472919481276753e-15
1,Engaging,0.17635414255616316,1.9543772092890345e-15
6,Methodical,0.1719560049024908,9.706681622579198e-15
24,Hypothesis-driven,0.11303437766571214,4.0172027506163654e-07
30,To the point,0.10440575474052192,2.88220397610291e-06
23,Provocative,0.07769552599782176,0.0005056692330776862
5,Accessible,0.06650241158363548,0.002924987891996581
25,Ethical,0.06524112310727587,0.0035120385984655734
7,Concise,0.061223503317010264,0.006165336949273131
20,Interdisciplinary,0.05941381784125154,0.007866339344316615
2,Controversial,0.05795339062180647,0.009533300240488068
29,Theoretical,0.03849800117583734,0.0852064375604916
56,Easy to understand,0.03416920534353586,0.1266158488447185
55,Unethical,0.006807333229306896,0.7609401799825641
26,Difficult to understand,-0.016295947318221257,0.46638732786323545
32,Uncontroversial,-0.02174929581531887,0.3309684800919336
53,Unprovocative,-0.02549122466031791,0.2545052280498301
37,Verbose,-0.02931367850048278,0.19005731909316143
35,Inaccessible,-0.05345238807913416,0.01681728901205865
51,Poorly-sourced,-0.06625281478768644,0.0030335183621356407
42,Subjective,-0.06800982587514247,0.0023414348975710673
52,Nontechnical,-0.07051883124295932,0.0016013791134267558
54,Speculation-driven,-0.07388641293656752,0.0009438322871129993
60,Circumlocutory,-0.08005268166517202,0.00033891837194631203
41,Irrelevant,-0.09464436254631829,2.2402056892856196e-05
28,Not well written,-0.11817463870096256,1.1567090899087177e-07
36,Haphazard,-0.13174872074213753,3.3370647848595648e-09
47,Unbalanced,-0.13568415671668077,1.1124416384404372e-09
45,Incoherent,-0.1367134007254521,8.302613945883006e-10
44,Unstructured,-0.13802207482172668,5.705354822147014e-10
33,Lax,-0.17110371030211405,1.317837397044071e-14
43,Non-replicable,-0.17922085527889517,6.722464321031953e-16
31,Disengaging,-0.1820372249841911,2.3154551626330355e-16
34,Conventional,-0.191940532366851,4.754798908669156e-18
46,Derivative,-0.19592742221120524,9.360282225789715e-19
48,Unreliable,-0.21189195826386026,9.785519859887184e-22
57,Dull,-0.2166485742492447,1.1329151869486212e-22
50,Narrow,-0.23443691577548384,2.2508132188396395e-26
39,Superficial,-0.2633510079575948,4.405872346030318e-33
40,Uninsightful,-0.27732828437431145,1.2144184554358905e-36
38,Unconvincing,-0.2787013321817151,5.28775223719071e-37
49,Inconsequential,-0.32381458470684577,4.7920890011302105e-50
