No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,Engaging,53.1,9.57,-0.076,0.334,0.734
2,Controversial,18.04,11.64,-0.377,0.14,0.586
3,Rigorous,76.86,6.72,0.728,-0.425,0.318
4,Innovative,73.32,10.12,0.231,-0.28,0.755
5,Accessible,62.32,11.15,-0.01,0.894,0.083
6,Methodical,78.94,6.11,0.746,-0.236,0.201
7,Concise,78.19,8.26,0.405,0.656,-0.017
8,Persuasive,63.76,7.79,0.327,0.024,0.783
9,Comprehensive,65.48,7.78,0.476,-0.169,0.424
10,Insightful,65.48,7.62,0.21,-0.083,0.852
11,Relevant,87.86,4.03,0.464,0.235,0.424
12,Objective,79.22,4.66,0.799,-0.037,0.21
13,Replicable,69.81,7.68,0.762,-0.002,0.082
14,Structured,82.47,5.02,0.823,-0.029,0.23
15,Coherent,80.91,5.12,0.659,0.386,0.35
16,Original,70.36,9.65,0.183,-0.225,0.778
17,Balanced,76.02,5.4,0.755,0.125,0.209
18,Authoritative,71.81,6.0,0.712,-0.226,0.505
19,Impactful,70.25,8.35,0.297,-0.028,0.829
20,Interdisciplinary,44.32,13.62,-0.195,0.108,0.626
21,Well-sourced,51.78,10.69,0.459,0.08,0.389
22,Technical,86.32,7.04,0.587,-0.583,0.163
23,Provocative,18.43,12.88,-0.376,0.108,0.626
24,Hypothesis-driven,51.49,13.25,0.122,-0.185,0.566
25,Ethical,72.39,9.99,0.252,0.305,0.233
26,Difficult to understand,28.28,14.33,-0.014,-0.888,0.088
27,Exciting,50.35,11.9,-0.048,0.193,0.845
28,Not well written,9.93,3.05,-0.614,-0.508,0.056
29,Theoretical,55.68,16.97,-0.007,-0.54,0.369
30,To the point,81.71,7.14,0.473,0.611,-0.002
31,Disengaging,10.8,3.39,-0.435,-0.473,-0.256
32,Uncontroversial,77.53,12.07,0.397,-0.025,-0.513
33,Lax,10.94,3.35,-0.79,-0.076,-0.153
34,Conventional,26.9,11.73,-0.19,0.329,-0.682
35,Inaccessible,20.75,13.64,-0.03,-0.839,-0.021
36,Haphazard,10.12,2.85,-0.783,-0.297,0.035
37,Verbose,15.55,7.13,-0.399,-0.65,0.124
38,Unconvincing,16.46,3.66,-0.731,-0.3,-0.175
39,Superficial,21.31,4.89,-0.684,0.197,-0.472
40,Uninsightful,16.73,4.4,-0.604,-0.072,-0.495
41,Irrelevant,9.01,2.18,-0.49,-0.341,0.115
42,Subjective,16.06,5.17,-0.711,-0.085,0.245
43,Non-replicable,17.98,5.36,-0.724,-0.268,0.111
44,Unstructured,10.02,2.88,-0.769,-0.345,0.034
45,Incoherent,10.0,3.02,-0.688,-0.46,0.005
46,Derivative,21.5,6.67,-0.281,0.238,-0.678
47,Unbalanced,13.0,4.06,-0.781,-0.156,0.029
48,Unreliable,14.35,4.13,-0.815,-0.097,-0.076
49,Inconsequential,18.34,4.17,-0.567,-0.08,-0.368
50,Narrow,37.54,5.74,-0.107,-0.045,-0.549
51,Poorly-sourced,16.81,4.9,-0.437,-0.266,0.197
52,Nontechnical,10.56,4.97,-0.553,0.37,0.075
53,Unprovocative,73.83,19.75,0.361,-0.036,-0.515
54,Speculation-driven,18.23,6.47,-0.653,-0.063,0.38
55,Unethical,7.78,3.51,-0.298,-0.142,0.233
56,Easy to understand,69.7,13.31,-0.001,0.897,-0.018
57,Dull,22.62,6.13,-0.143,-0.142,-0.663
58,Well written,79.7,5.46,0.585,0.54,0.305
59,Empirical,69.7,15.43,0.403,0.102,0.187
60,Circumlocutory,12.01,5.59,-0.524,-0.56,0.136
