No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Circumlocutory,1.26,4.05,-0.059,-0.845,0.089
2,2. Empirical,72.49,26.16,0.67,0.015,0.231
3,3. Well written,88.28,21.15,0.98,0.02,0.02
4,4. Dull,0.53,2.0,-0.069,-0.86,0.093
5,5. Easy to understand,85.08,20.27,0.98,0.032,-0.001
6,6. Unethical,0.09,2.71,-0.006,0.013,0.075
7,7. Speculation-driven,0.8,3.2,-0.016,-0.819,0.047
8,8. Unprovocative,3.26,11.42,-0.095,-0.563,0.153
9,9. Nontechnical,0.79,3.24,-0.067,-0.859,0.025
10,10. Poorly-sourced,0.03,0.53,-0.059,-0.168,-0.259
11,11. Narrow,18.44,10.7,0.361,-0.396,0.464
12,12. Inconsequential,0.98,3.72,-0.019,-0.915,0.094
13,13. Unreliable,1.12,4.66,-0.037,-0.715,0.013
14,14. Unbalanced,2.3,7.47,-0.041,-0.839,0.111
15,15. Derivative,2.66,9.72,-0.008,-0.67,0.02
16,16. Incoherent,0.31,1.45,-0.08,-0.767,-0.2
17,17. Unstructured,1.03,4.45,-0.044,-0.712,-0.071
18,18. Non-replicable,0.22,1.16,-0.1,-0.536,-0.277
19,19. Subjective,1.18,4.18,-0.057,-0.945,-0.027
20,20. Irrelevant,0.39,1.71,-0.06,-0.83,-0.165
21,21. Uninsightful,2.71,10.07,-0.012,-0.597,0.219
22,22. Superficial,1.01,3.82,-0.03,-0.932,0.058
23,23. Unconvincing,1.49,5.6,-0.038,-0.917,0.056
24,24. Verbose,2.52,7.92,-0.061,-0.949,0.043
25,25. Haphazard,0.52,2.18,-0.049,-0.898,-0.076
26,26. Inaccessible,0.85,3.24,-0.072,-0.896,-0.108
27,27. Conventional,10.19,20.95,0.036,-0.521,0.195
28,28. Lax,0.96,3.48,-0.093,-0.932,-0.021
29,29. Uncontroversial,3.01,11.37,-0.068,-0.647,0.111
30,30. Disengaging,1.34,5.04,-0.034,-0.916,0.033
31,31. To the point,88.96,21.3,0.99,0.043,0.007
32,32. Theoretical,65.72,28.53,0.568,0.047,0.187
33,33. Not well written,1.3,3.04,0.041,-0.35,-0.11
34,34. Exciting,71.96,23.39,0.748,-0.016,0.368
35,35. Difficult to understand,1.7,4.37,0.005,-0.793,-0.057
36,36. Ethical,90.87,22.28,0.985,0.077,0.011
37,37. Hypothesis-driven,78.3,23.17,0.828,0.034,0.149
38,38. Provocative,62.73,32.95,0.442,-0.08,0.521
39,39. Technical,89.02,21.34,0.991,0.0,0.012
40,40. Well-sourced,91.09,22.25,0.988,0.063,0.009
41,41. Interdisciplinary,59.47,30.13,0.486,-0.015,0.555
42,42. Impactful,83.73,20.77,0.974,0.035,0.062
43,43. Authoritative,88.04,21.41,0.993,0.031,0.019
44,44. Balanced,88.49,21.77,0.983,0.124,0.005
45,45. Original,72.45,23.52,0.761,0.082,0.348
46,46. Coherent,89.19,21.42,0.993,0.009,0.011
47,47. Structured,88.83,21.4,0.991,0.051,0.015
48,48. Replicable,89.12,22.11,0.975,0.022,0.009
49,49. Objective,87.69,21.46,0.99,0.075,0.001
50,50. Relevant,89.28,21.67,0.992,0.033,0.0
51,51. Insightful,87.2,21.48,0.987,0.058,0.025
52,52. Comprehensive,81.31,20.86,0.95,0.004,0.061
53,53. Persuasive,88.07,21.51,0.992,0.035,0.022
54,54. Concise,89.19,21.33,0.99,0.012,0.008
55,55. Methodical,84.74,21.53,0.965,0.078,0.031
56,56. Accessible,86.93,21.85,0.969,0.061,0.043
57,57. Innovative,77.06,21.56,0.871,-0.028,0.187
58,58. Rigorous,88.63,21.51,0.995,0.006,0.014
59,59. Controversial,10.61,23.77,0.065,-0.413,0.351
60,60. Engaging,87.67,21.67,0.986,0.033,0.05
