Item_No,Item,rho,p
2,2. Empirical,0.058794633901789725,0.00853830149597312
42,42. Impactful,0.05311027238442611,0.017532070959740766
11,11. Narrow,0.04703656719922978,0.035431836151588264
34,34. Exciting,0.046997256899890025,0.03558582968191257
38,38. Provocative,0.04448591164593673,0.04667786936762473
52,52. Comprehensive,0.0358068710280957,0.10941143773865708
1,1. Circumlocutory,0.0347917279348462,0.11984333191902656
39,39. Technical,0.03412133387858005,0.12714873504520083
35,35. Difficult to understand,0.03262987837713538,0.14463980872569301
12,12. Inconsequential,0.03189493022103213,0.15391001512610786
5,5. Easy to understand,0.03149235774329231,0.15917556726951007
37,37. Hypothesis-driven,0.030911036399628784,0.1670179082300738
45,45. Original,0.03075455776131848,0.16917765125026757
22,22. Superficial,0.029738763536064482,0.18370927990836403
4,4. Dull,0.02925241483062224,0.19098535718262466
9,9. Nontechnical,0.029249721332521954,0.19102623534538749
8,8. Unprovocative,0.027744211637133056,0.2148933329523041
57,57. Innovative,0.02699808828363289,0.2274874699748766
41,41. Interdisciplinary,0.02676677988328431,0.23149651241617272
30,30. Disengaging,0.024554442904268416,0.27238485882816826
26,26. Inaccessible,0.02376898067649238,0.28802388048162
25,25. Haphazard,0.023030355848287724,0.3032722791191966
13,13. Unreliable,0.022290788271577523,0.3190680122338393
21,21. Uninsightful,0.02207694731652785,0.3237337737378818
14,14. Unbalanced,0.021092654150019718,0.34577946450869845
7,7. Speculation-driven,0.020713018280630366,0.3545319721185217
28,28. Lax,0.018888370848859862,0.3985236641899115
16,16. Incoherent,0.018871322223227523,0.39894960694666626
18,18. Non-replicable,0.01875017247447174,0.40198429069417196
17,17. Unstructured,0.01868547117233124,0.403610648497997
15,15. Derivative,0.01847842955687825,0.4088413223765698
24,24. Verbose,0.017601232984608698,0.4314458532865234
19,19. Subjective,0.017410703579475887,0.4364496236819875
29,29. Uncontroversial,0.01732313900869219,0.4387604456787212
23,23. Unconvincing,0.015166683690608014,0.49784165740820496
27,27. Conventional,0.013198880501506445,0.5552385525986097
48,48. Replicable,0.009405741493107035,0.6742050485846107
6,6. Unethical,0.008086472465025571,0.7177870967992901
46,46. Coherent,0.008004248172237664,0.7205357995310435
54,54. Concise,0.004365610571403212,0.8453029887710679
33,33. Not well written,0.003523515561165401,0.8748678443614154
20,20. Irrelevant,0.0032751767620119096,0.8836220623631571
59,59. Controversial,0.0008874531542297304,0.9683615552568574
43,43. Authoritative,0.0004622428830979703,0.9835175097837339
31,31. To the point,-0.0008441510405516647,0.9699045611634622
10,10. Poorly-sourced,-0.0031638142851544778,0.8875523954462761
50,50. Relevant,-0.003320653339291371,0.8820178676205017
53,53. Persuasive,-0.006843986639851351,0.7596924971897492
44,44. Balanced,-0.007614596762584314,0.7336101677324824
49,49. Objective,-0.0102783671319621,0.6459560564097268
58,58. Rigorous,-0.010595184911131428,0.6358221679033398
56,56. Accessible,-0.012050164823002535,0.5901750361025493
51,51. Insightful,-0.013462871858603157,0.5473546798520429
60,60. Engaging,-0.013886851624831763,0.534809829037838
47,47. Structured,-0.014207071550370662,0.5254320763323772
55,55. Methodical,-0.014365803879328832,0.5208149042697034
32,32. Theoretical,-0.035532199519767584,0.11216056964599583
40,40. Well-sourced,-0.03818017217116316,0.08781757009168677
3,3. Well written,-0.03876465122561178,0.08306447821812966
36,36. Ethical,-0.03954728998074548,0.07702838008186953
