No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Insightful,72.19,14.07,-0.315,0.746,0.129
2,2. Haphazard,5.08,4.87,-0.942,0.036,0.001
3,3. Well-sourced,61.34,23.65,-0.079,0.502,0.459
4,4. Disengaging,12.69,9.59,-0.79,0.118,0.089
5,5. Technical,88.24,14.05,-0.101,0.835,-0.027
6,6. Balanced,68.04,14.34,0.086,0.8,0.198
7,7. Superficial,12.35,10.71,-0.905,0.073,0.038
8,8. Ethical,56.46,30.69,-0.02,0.326,0.444
9,9. Concise,87.21,13.19,-0.033,0.938,-0.108
10,10. Unreliable,8.85,8.69,-0.905,0.048,0.015
11,11. Innovative,84.08,14.05,-0.081,0.904,0.134
12,12. Subjective,19.17,14.36,-0.817,0.1,0.104
13,13. Circumlocutory,13.3,13.76,-0.901,0.052,0.043
14,14. Rigorous,86.43,13.68,0.03,0.937,0.005
15,15. Dull,8.52,8.4,-0.93,0.033,0.014
16,16. Replicable,81.36,14.18,0.053,0.9,0.087
17,17. Provocative,69.69,17.05,-0.114,0.69,0.437
18,18. Inaccessible,6.67,7.22,-0.854,0.047,0.031
19,19. Empirical,70.0,19.38,0.02,0.624,0.405
20,20. Coherent,88.16,13.38,-0.021,0.967,-0.015
21,21. Poorly-sourced,5.33,5.73,-0.886,0.015,-0.025
22,22. Impactful,85.57,13.86,-0.062,0.94,0.126
23,23. Nontechnical,11.16,10.32,-0.886,0.035,0.026
24,24. Unstructured,8.9,10.58,-0.784,0.034,0.03
25,25. Engaging,81.05,12.36,-0.019,0.95,-0.034
26,26. Narrow,21.76,16.13,-0.907,0.094,0.096
27,27. Methodical,82.89,13.93,0.09,0.935,0.096
28,28. Unconvincing,10.9,10.03,-0.963,0.05,0.028
29,29. Exciting,76.31,15.71,-0.108,0.794,0.363
30,30. Speculation-driven,8.94,9.18,-0.908,0.041,0.029
31,31. Relevant,88.6,13.4,-0.071,0.977,0.018
32,32. Lax,10.56,12.28,-0.715,0.053,0.03
33,33. Well written,91.0,13.18,-0.127,0.973,-0.084
34,34. Hypothesis-driven,71.03,22.32,-0.279,0.491,0.53
35,35. Inconsequential,9.58,9.09,-0.961,0.049,0.026
36,36. Accessible,86.29,13.22,-0.012,0.967,0.009
37,37. Authoritative,85.79,14.77,-0.035,0.915,0.176
38,38. Not well written,5.48,5.46,-0.933,0.025,0.002
39,39. Interdisciplinary,60.32,25.21,-0.29,0.399,0.598
40,40. Easy to understand,89.82,13.4,-0.11,0.966,-0.035
41,41. Original,84.65,14.41,-0.128,0.903,0.182
42,42. Unbalanced,19.4,15.34,-0.909,0.069,0.062
43,43. Comprehensive,86.71,13.98,-0.05,0.95,0.084
44,44. Verbose,13.74,13.78,-0.916,0.041,0.028
45,45. Conventional,13.52,12.49,-0.834,0.051,0.026
46,46. To the point,91.18,13.17,-0.118,0.974,-0.086
47,47. Unprovocative,10.33,9.56,-0.969,0.052,0.027
48,48. Structured,85.89,13.48,0.04,0.968,0.033
49,49. Difficult to understand,6.36,6.65,-0.893,0.029,-0.001
50,50. Irrelevant,9.6,9.18,-0.952,0.051,0.032
51,51. Controversial,17.58,19.79,-0.797,0.057,0.118
52,52. Non-replicable,8.96,8.86,-0.941,0.035,0.019
53,53. Objective,82.1,15.52,0.027,0.854,0.161
54,54. Derivative,12.73,11.69,-0.878,0.051,0.02
55,55. Unethical,4.93,5.46,-0.882,0.023,0.016
56,56. Persuasive,86.51,13.89,-0.071,0.941,0.07
57,57. Incoherent,8.97,8.97,-0.928,0.037,0.008
58,58. Uninsightful,9.13,9.01,-0.927,0.044,0.028
59,59. Theoretical,64.22,24.3,-0.213,0.462,0.427
60,60. Exciting,75.85,16.3,-0.113,0.772,0.39
