Component,Target,rho,p,n
Quality & Reliability,score_mean,0.11107215499004437,1.9072058840617e-08,2547
Quality & Reliability,score_weighted,0.11134258934578545,1.760934375904768e-08,2547
Quality & Reliability,score_median,0.1128547663870357,1.1232090097380458e-08,2547
Quality & Reliability,accept,0.09163426936047706,3.6204727863596354e-06,2547
Quality & Reliability,cites,0.06975698806103282,0.0004266166096947399,2547
Quality & Reliability,TNCSI,0.079994499457013,5.307785891785402e-05,2547
Quality & Reliability,TNCSI_SP,0.07061837838571282,0.0003615616849091623,2547
Accessibility & Understandability,score_mean,0.05753449311670452,0.003676983528326725,2547
Accessibility & Understandability,score_weighted,0.057682059969025985,0.0035902717157525197,2547
Accessibility & Understandability,score_median,0.03758612976055537,0.05787695899012381,2547
Accessibility & Understandability,accept,0.046560085971826835,0.01877812362590618,2547
Accessibility & Understandability,cites,0.1664350216751662,2.802400856777784e-17,2547
Accessibility & Understandability,TNCSI,0.13605840661733168,5.3756692578081845e-12,2547
Accessibility & Understandability,TNCSI_SP,0.13863896568570092,2.10522124872065e-12,2547
Novelty & Engagement,score_mean,0.10795802520003847,4.7159752688121824e-08,2547
Novelty & Engagement,score_weighted,0.10655778873340915,7.028084558049262e-08,2547
Novelty & Engagement,score_median,0.09965944827853804,4.6632139973490347e-07,2547
Novelty & Engagement,accept,0.1171361265952147,3.0455709131894914e-09,2547
Novelty & Engagement,cites,0.10892659791604396,3.56815037361613e-08,2547
Novelty & Engagement,TNCSI,0.11980657924557037,1.3173630023215542e-09,2547
Novelty & Engagement,TNCSI_SP,0.12924092228329614,5.879163261251054e-11,2547
