No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Insightful,86.53,3.06,0.46,-0.036,0.45
2,2. Haphazard,9.59,2.7,-0.522,-0.049,-0.21
3,3. Well-sourced,73.58,8.75,0.322,0.032,0.437
4,4. Disengaging,13.57,3.5,-0.582,-0.136,-0.245
5,5. Technical,84.95,5.29,0.055,-0.311,0.457
6,6. Balanced,78.28,3.73,0.299,0.039,0.665
7,7. Superficial,14.01,5.23,-0.69,0.165,-0.149
8,8. Ethical,78.37,9.08,0.348,-0.183,0.247
9,9. Concise,74.84,4.55,0.234,0.385,0.407
10,10. Unreliable,12.57,4.29,-0.713,0.042,-0.216
11,11. Innovative,86.57,4.23,0.272,0.034,0.703
12,12. Subjective,19.66,5.51,-0.548,0.08,-0.283
13,13. Circumlocutory,19.17,6.12,-0.622,-0.38,-0.223
14,14. Rigorous,83.01,4.02,0.347,-0.16,0.7
15,15. Dull,16.52,5.55,-0.584,-0.203,-0.248
16,16. Replicable,77.48,4.76,0.359,0.021,0.661
17,17. Provocative,58.87,11.97,-0.176,0.185,0.578
18,18. Inaccessible,38.25,9.15,-0.26,-0.699,0.025
19,19. Empirical,79.54,6.12,0.268,0.275,0.477
20,20. Coherent,84.95,3.32,0.335,0.262,0.617
21,21. Poorly-sourced,13.57,4.89,-0.63,-0.077,-0.289
22,22. Impactful,82.21,4.14,0.345,0.136,0.721
23,23. Nontechnical,18.77,6.28,-0.454,0.092,-0.167
24,24. Unstructured,12.45,3.98,-0.671,-0.26,-0.248
25,25. Engaging,70.98,5.92,0.192,0.381,0.671
26,26. Narrow,30.12,6.53,-0.481,-0.217,-0.157
27,27. Methodical,82.68,3.79,0.327,0.048,0.688
28,28. Unconvincing,14.52,4.18,-0.731,-0.095,-0.333
29,29. Exciting,70.61,7.3,0.098,0.122,0.754
30,30. Speculation-driven,20.27,6.25,-0.686,-0.189,-0.209
31,31. Relevant,88.5,3.25,0.407,0.157,0.588
32,32. Lax,14.1,4.45,-0.829,-0.041,-0.223
33,33. Well written,82.99,3.57,0.36,0.356,0.586
34,34. Hypothesis-driven,73.45,6.11,0.184,-0.001,0.515
35,35. Inconsequential,10.38,3.12,-0.738,-0.027,-0.218
36,36. Accessible,63.73,6.83,-0.041,0.775,0.257
37,37. Authoritative,78.52,4.36,0.336,0.054,0.725
38,38. Not well written,12.43,3.39,-0.706,-0.209,-0.216
39,39. Interdisciplinary,59.63,9.82,-0.024,-0.13,0.472
40,40. Easy to understand,67.85,6.64,-0.01,0.81,0.223
41,41. Original,84.07,4.4,0.271,0.047,0.696
42,42. Unbalanced,16.93,4.01,-0.721,-0.141,-0.341
43,43. Comprehensive,76.3,5.11,0.313,0.086,0.688
44,44. Verbose,25.19,5.72,-0.523,-0.516,-0.218
45,45. Conventional,24.58,6.35,-0.422,-0.067,-0.361
46,46. To the point,78.3,4.94,0.151,0.495,0.499
47,47. Unprovocative,36.13,12.36,0.126,-0.33,-0.351
48,48. Structured,84.67,3.55,0.416,0.239,0.604
49,49. Difficult to understand,36.14,9.22,-0.128,-0.833,0.019
50,50. Irrelevant,8.65,2.59,-0.685,-0.008,-0.187
51,51. Controversial,34.36,9.42,-0.565,0.115,0.149
52,52. Non-replicable,13.78,4.41,-0.758,-0.027,-0.275
53,53. Objective,80.68,4.26,0.51,-0.041,0.524
54,54. Derivative,15.94,4.55,-0.66,-0.078,-0.355
55,55. Unethical,8.68,3.4,-0.581,0.198,-0.029
56,56. Persuasive,75.81,4.44,0.36,0.159,0.662
57,57. Incoherent,12.33,3.17,-0.761,-0.198,-0.256
58,58. Uninsightful,9.28,2.69,-0.699,-0.017,-0.256
59,59. Theoretical,58.45,14.12,-0.005,-0.588,0.093
60,60. Exciting,70.61,7.29,0.099,0.123,0.755
