No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Circumlocutory,15.43,5.33,0.116,-0.354,-0.226
2,2. Empirical,77.25,10.87,0.084,0.454,0.342
3,3. Well written,87.54,4.13,0.111,0.417,0.647
4,4. Dull,12.79,4.99,-0.315,0.125,-0.122
5,5. Easy to understand,70.42,7.48,0.027,0.77,-0.053
6,6. Unethical,0.11,2.21,-0.026,-0.078,0.06
7,7. Speculation-driven,14.65,7.1,-0.193,-0.306,0.202
8,8. Unprovocative,32.69,13.1,-0.311,0.118,-0.466
9,9. Nontechnical,13.19,6.06,-0.163,0.171,-0.288
10,10. Poorly-sourced,16.84,27.94,-0.26,0.066,-0.007
11,11. Narrow,35.1,6.29,-0.458,-0.013,-0.024
12,12. Inconsequential,18.91,3.9,-0.801,0.016,-0.177
13,13. Unreliable,8.6,3.54,-0.904,-0.028,-0.028
14,14. Unbalanced,18.8,5.38,-0.7,-0.081,0.012
15,15. Derivative,33.96,7.1,-0.506,-0.057,-0.216
16,16. Incoherent,8.59,3.45,-0.881,-0.032,-0.004
17,17. Unstructured,9.25,4.2,-0.833,-0.167,-0.099
18,18. Non-replicable,19.4,4.96,-0.792,-0.193,-0.171
19,19. Subjective,18.99,6.82,-0.508,-0.105,-0.121
20,20. Irrelevant,8.72,3.4,-0.893,-0.03,-0.053
21,21. Uninsightful,19.23,4.56,-0.869,-0.032,-0.149
22,22. Superficial,28.88,5.36,-0.862,-0.029,-0.14
23,23. Unconvincing,18.53,3.96,-0.903,-0.073,-0.074
24,24. Verbose,36.36,7.8,-0.434,-0.338,0.139
25,25. Haphazard,10.07,2.18,-0.462,-0.196,-0.09
26,26. Inaccessible,18.83,5.38,-0.556,-0.467,0.07
27,27. Conventional,46.63,5.99,-0.449,0.233,-0.365
28,28. Lax,10.56,3.34,-0.451,-0.213,-0.188
29,29. Uncontroversial,72.25,15.12,0.01,0.334,-0.194
30,30. Disengaging,17.69,5.83,-0.611,-0.025,-0.309
31,31. To the point,77.53,6.71,0.082,0.709,0.385
32,32. Theoretical,61.96,8.93,-0.017,-0.498,0.395
33,33. Not well written,9.54,2.71,-0.659,-0.106,-0.128
34,34. Exciting,49.46,9.86,0.011,-0.087,0.694
35,35. Difficult to understand,29.73,7.66,-0.213,-0.713,0.172
36,36. Ethical,91.29,3.98,0.443,0.148,0.147
37,37. Hypothesis-driven,73.59,9.96,0.139,-0.038,0.738
38,38. Provocative,40.95,10.56,-0.079,-0.352,0.672
39,39. Technical,81.54,5.5,0.181,-0.074,0.554
40,40. Well-sourced,84.36,7.2,0.201,0.298,0.629
41,41. Interdisciplinary,52.35,7.14,-0.034,-0.262,0.51
42,42. Impactful,66.69,7.84,0.167,0.026,0.771
43,43. Authoritative,79.42,4.51,0.218,0.23,0.701
44,44. Balanced,79.02,3.9,0.203,0.527,0.423
45,45. Original,61.38,7.83,0.085,-0.104,0.828
46,46. Coherent,89.13,3.26,0.186,0.553,0.584
47,47. Structured,88.81,3.7,0.19,0.587,0.599
48,48. Replicable,78.01,5.87,0.163,0.552,0.636
49,49. Objective,84.74,5.79,0.247,0.285,0.352
50,50. Relevant,88.25,4.14,0.16,0.416,0.631
51,51. Insightful,77.27,5.77,0.137,0.193,0.808
52,52. Comprehensive,70.82,7.22,0.044,0.168,0.681
53,53. Persuasive,70.2,6.57,0.095,0.229,0.788
54,54. Concise,78.06,5.59,0.031,0.728,0.325
55,55. Methodical,87.14,5.16,0.07,0.336,0.677
56,56. Accessible,77.56,6.4,0.043,0.786,0.142
57,57. Innovative,63.88,9.45,0.04,-0.1,0.787
58,58. Rigorous,83.37,6.11,0.046,0.006,0.77
59,59. Controversial,22.75,7.99,-0.162,-0.333,0.354
60,60. Engaging,64.33,7.15,0.099,0.137,0.729
