No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Insightful,86.38,3.08,0.423,-0.026,0.471
2,2. Haphazard,9.73,2.76,-0.511,-0.051,-0.212
3,3. Well-sourced,73.01,8.94,0.309,-0.075,0.442
4,4. Disengaging,13.71,3.54,-0.57,-0.144,-0.24
5,5. Technical,84.9,5.19,0.068,-0.3,0.452
6,6. Balanced,78.01,3.77,0.306,0.026,0.669
7,7. Superficial,13.79,5.24,-0.654,0.138,-0.166
8,8. Ethical,78.46,9.44,0.351,-0.234,0.259
9,9. Concise,74.78,4.62,0.18,0.441,0.44
10,10. Unreliable,12.56,4.2,-0.702,0.058,-0.214
11,11. Innovative,86.23,4.28,0.281,0.035,0.685
12,12. Subjective,19.49,5.28,-0.543,0.043,-0.297
13,13. Circumlocutory,19.14,6.17,-0.585,-0.389,-0.26
14,14. Rigorous,82.84,4.09,0.349,-0.183,0.703
15,15. Dull,16.76,5.52,-0.566,-0.193,-0.23
16,16. Replicable,77.24,4.83,0.367,-0.021,0.665
17,17. Provocative,58.27,11.94,-0.168,0.226,0.567
18,18. Inaccessible,39.16,9.15,-0.264,-0.653,0.062
19,19. Empirical,79.39,6.28,0.239,0.268,0.473
20,20. Coherent,84.78,3.41,0.312,0.267,0.624
21,21. Poorly-sourced,13.77,4.99,-0.642,-0.013,-0.279
22,22. Impactful,81.88,4.11,0.35,0.107,0.719
23,23. Nontechnical,18.56,6.35,-0.412,0.037,-0.175
24,24. Unstructured,12.41,4.03,-0.651,-0.28,-0.254
25,25. Engaging,70.42,5.95,0.169,0.402,0.655
26,26. Narrow,30.65,6.49,-0.481,-0.191,-0.124
27,27. Methodical,82.47,3.86,0.329,0.047,0.686
28,28. Unconvincing,14.54,4.1,-0.728,-0.074,-0.33
29,29. Exciting,69.94,7.29,0.079,0.158,0.73
30,30. Speculation-driven,20.22,6.0,-0.679,-0.196,-0.221
31,31. Relevant,88.38,3.27,0.39,0.173,0.592
32,32. Lax,14.06,4.39,-0.813,-0.044,-0.234
33,33. Well written,82.8,3.59,0.327,0.374,0.607
34,34. Hypothesis-driven,73.61,5.95,0.217,-0.012,0.523
35,35. Inconsequential,10.36,3.1,-0.731,-0.035,-0.214
36,36. Accessible,63.07,6.75,-0.03,0.736,0.249
37,37. Authoritative,78.18,4.43,0.328,0.005,0.729
38,38. Not well written,12.5,3.43,-0.678,-0.224,-0.22
39,39. Interdisciplinary,58.6,9.6,-0.024,-0.204,0.455
40,40. Easy to understand,67.18,6.61,0.001,0.789,0.21
41,41. Original,83.8,4.47,0.261,0.062,0.686
42,42. Unbalanced,17.04,4.06,-0.696,-0.165,-0.356
43,43. Comprehensive,75.7,5.02,0.315,0.036,0.693
44,44. Verbose,25.19,5.7,-0.512,-0.533,-0.251
45,45. Conventional,24.84,6.43,-0.407,-0.095,-0.335
46,46. To the point,78.12,5.07,0.12,0.54,0.516
47,47. Unprovocative,36.82,12.35,0.116,-0.363,-0.331
48,48. Structured,84.52,3.61,0.385,0.264,0.623
49,49. Difficult to understand,37.13,9.13,-0.154,-0.794,0.054
50,50. Irrelevant,8.69,2.62,-0.672,-0.038,-0.201
51,51. Controversial,34.17,9.11,-0.531,0.085,0.162
52,52. Non-replicable,13.78,4.39,-0.735,-0.024,-0.282
53,53. Objective,80.76,4.26,0.486,-0.024,0.556
54,54. Derivative,16.11,4.61,-0.649,-0.11,-0.341
55,55. Unethical,8.57,3.42,-0.574,0.167,-0.032
56,56. Persuasive,75.66,4.42,0.334,0.175,0.669
57,57. Incoherent,12.4,3.17,-0.736,-0.206,-0.265
58,58. Uninsightful,9.43,2.75,-0.698,-0.021,-0.258
59,59. Theoretical,59.06,14.1,0.008,-0.582,0.104
60,60. Exciting,69.94,7.3,0.083,0.159,0.732
