No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,Engaging,64.06,15.77,0.0,0.318,0.767
2,Controversial,20.92,8.22,-0.08,-0.124,0.318
3,Rigorous,83.43,4.79,0.124,-0.147,0.545
4,Innovative,79.31,9.78,-0.062,0.133,0.772
5,Accessible,52.81,12.21,-0.052,0.726,0.441
6,Methodical,86.24,5.15,0.047,0.095,0.287
7,Concise,71.91,8.62,-0.074,0.742,0.213
8,Persuasive,67.47,10.98,-0.009,0.363,0.826
9,Comprehensive,77.72,7.88,0.114,-0.016,0.576
10,Insightful,79.81,6.95,0.076,0.027,0.811
11,Relevant,89.04,3.97,0.089,0.11,0.725
12,Objective,84.46,4.26,0.191,0.171,-0.059
13,Replicable,79.3,5.23,0.115,0.384,0.443
14,Structured,87.92,3.77,0.105,0.16,0.442
15,Coherent,91.14,3.42,0.115,0.285,0.377
16,Original,74.65,9.6,-0.018,0.114,0.782
17,Balanced,74.36,6.86,0.1,0.449,0.235
18,Authoritative,82.29,5.05,0.167,0.061,0.758
19,Impactful,74.71,9.42,0.013,0.191,0.872
20,Interdisciplinary,46.41,11.5,-0.003,-0.0,0.632
21,Well-sourced,73.08,9.68,0.145,0.081,0.498
22,Technical,88.93,3.51,0.091,-0.175,0.467
23,Provocative,33.18,8.58,-0.064,-0.034,0.678
24,Hypothesis-driven,76.01,7.64,0.103,-0.221,0.522
25,Ethical,83.69,8.06,0.154,0.238,0.227
26,Difficult to understand,25.34,10.05,-0.149,-0.733,-0.149
27,Exciting,55.72,9.37,-0.04,0.187,0.851
28,Not well written,10.78,2.85,-0.335,-0.471,-0.144
29,Theoretical,72.4,10.43,-0.016,-0.534,0.113
30,To the point,76.59,7.53,-0.011,0.765,0.306
31,Disengaging,9.97,0.79,-0.661,-0.084,0.018
32,Uncontroversial,74.36,17.78,-0.051,0.183,-0.353
33,Lax,9.96,0.73,-0.692,-0.06,0.018
34,Conventional,20.72,3.64,-0.219,0.149,-0.285
35,Inaccessible,19.84,7.02,-0.248,-0.693,0.131
36,Haphazard,9.94,0.77,-0.716,-0.074,0.025
37,Verbose,19.95,2.17,-0.384,-0.344,0.11
38,Unconvincing,17.88,4.37,-0.449,0.083,-0.179
39,Superficial,16.68,6.13,-0.532,0.192,-0.237
40,Uninsightful,12.31,4.86,-0.318,-0.123,-0.558
41,Irrelevant,9.55,1.53,-0.689,-0.048,-0.216
42,Subjective,17.36,4.47,-0.468,0.002,0.341
43,Non-replicable,10.58,2.81,-0.461,-0.202,-0.068
44,Unstructured,9.87,1.0,-0.759,-0.073,-0.025
45,Incoherent,9.71,1.28,-0.753,-0.05,-0.08
46,Derivative,22.62,4.75,-0.261,0.019,-0.539
47,Unbalanced,18.34,4.24,-0.618,-0.117,0.079
48,Unreliable,9.83,1.37,-0.765,-0.07,-0.041
49,Inconsequential,17.29,4.62,-0.5,0.074,-0.315
50,Narrow,32.03,5.03,-0.412,-0.0,-0.228
51,Poorly-sourced,14.02,4.98,-0.457,0.138,-0.018
52,Nontechnical,10.97,3.01,-0.167,0.247,-0.081
53,Unprovocative,56.55,17.91,0.141,-0.049,-0.59
54,Speculation-driven,9.96,1.37,-0.57,-0.019,0.023
55,Unethical,13.33,21.05,-0.039,-0.096,-0.307
56,Easy to understand,65.32,10.84,0.005,0.855,0.205
57,Dull,23.16,4.92,-0.207,-0.146,-0.612
58,Well written,86.24,4.36,0.122,0.52,0.517
59,Empirical,74.81,11.48,0.069,0.527,0.425
60,Circumlocutory,20.5,3.66,-0.393,-0.493,0.062
