Item_No,Item,rho,p
59,Empirical,0.11044378684404065,1.1467719014243628e-09
18,Authoritative,0.11005604485594982,1.3112581535420502e-09
1,Engaging,0.10229107748504092,1.7436864403944224e-08
27,Exciting,0.10045141548482542,3.1335837379992196e-08
21,Well-sourced,0.08870923151105473,1.0384880957614775e-06
3,Rigorous,0.08855570516056312,1.0841492301612012e-06
10,Insightful,0.08306091820361942,4.828659165884964e-06
58,Well written,0.08281451463887858,5.152334547134423e-06
19,Impactful,0.07605512988793763,2.8480172794242776e-05
11,Relevant,0.06760505054353896,0.0001998932524468144
2,Controversial,0.06574928270942132,0.0002982266649480821
8,Persuasive,0.06534540635621255,0.0003249268577858496
23,Provocative,0.0624770217611903,0.0005893512608882602
22,Technical,0.0606530007168778,0.0008500769298984482
13,Replicable,0.05792325649118907,0.0014447598484261383
15,Coherent,0.05717244740431275,0.0016654352081753377
42,Subjective,0.056812574509095805,0.0017818426755906239
30,To the point,0.05186985221054535,0.0043422253530072275
56,Easy to understand,0.04828104703733348,0.007940472442386418
9,Comprehensive,0.041897054622282576,0.02126458304790091
16,Original,0.03690433765217732,0.04250072859573129
7,Concise,0.03447148425040977,0.058122828934165115
20,Interdisciplinary,0.029967525776776596,0.09954062303004918
36,Haphazard,0.028992476452246146,0.11105459651711368
4,Innovative,0.028171489968271745,0.1215428591976882
5,Accessible,0.028091129089739944,0.12260975602764242
47,Unbalanced,0.026755119905278683,0.1414381712069205
14,Structured,0.01948317369812647,0.2843036317393018
41,Irrelevant,0.014211941955058002,0.4348111219777142
44,Unstructured,0.009224444409800999,0.6122293379356021
45,Incoherent,0.0074376751282602595,0.6827556249669889
48,Unreliable,0.0007050287663096241,0.9690966297249155
33,Lax,-0.002578751559131978,0.8873149400669242
24,Hypothesis-driven,-0.0038861272125590186,0.8309031338477312
50,Narrow,-0.009263864284083696,0.6107101279921445
6,Methodical,-0.011627026186627911,0.5228707971467065
54,Speculation-driven,-0.013469291274765777,0.45919634628909245
17,Balanced,-0.014806624726904515,0.41583500011827945
31,Disengaging,-0.015099544712273885,0.40667056338945473
49,Inconsequential,-0.022229539290269332,0.2218348536356321
25,Ethical,-0.024070891300402734,0.1858730925600164
43,Non-replicable,-0.027310155871829698,0.13336270143632317
55,Unethical,-0.027417858732389888,0.13183783178136785
34,Conventional,-0.03151674997229774,0.08322460881419189
35,Inaccessible,-0.03494337783693749,0.05476646485699078
12,Objective,-0.037744465629533,0.0380053683539357
39,Superficial,-0.03943831333188536,0.03016037194038551
32,Uncontroversial,-0.0470962610926101,0.009615023747576197
46,Derivative,-0.05201836707853489,0.004231808302291087
51,Poorly-sourced,-0.05601021345028865,0.002068769179105826
28,Not well written,-0.05759874731212363,0.0015366066901759858
52,Nontechnical,-0.05818076338592658,0.0013755057032978025
60,Circumlocutory,-0.05910106448915627,0.001152251434531617
37,Verbose,-0.05935439660771181,0.0010969583721900627
26,Difficult to understand,-0.06093114127004473,0.0008043927254409443
38,Unconvincing,-0.06405472664962039,0.0004260086258909888
29,Theoretical,-0.0666148504176544,0.0002477686767843334
53,Unprovocative,-0.07367055122910383,5.0412945103917684e-05
40,Uninsightful,-0.07612924687058349,2.79716503603668e-05
57,Dull,-0.10294796854165869,1.410870454446524e-08
