No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,Engaging,61.4,22.84,-0.098,0.907,-0.046
2,Controversial,5.43,12.2,-0.58,0.046,-0.517
3,Rigorous,70.98,24.72,-0.061,0.952,-0.05
4,Innovative,79.4,27.83,-0.034,0.96,0.021
5,Accessible,53.44,22.51,-0.051,0.801,0.037
6,Methodical,67.07,25.35,-0.005,0.901,0.068
7,Concise,81.1,27.12,-0.023,0.975,-0.035
8,Persuasive,63.27,27.09,-0.086,0.817,-0.095
9,Comprehensive,63.49,25.58,-0.095,0.841,-0.093
10,Insightful,73.09,25.04,-0.058,0.976,-0.082
11,Relevant,82.57,27.37,-0.043,0.986,-0.036
12,Objective,78.64,26.96,0.015,0.968,0.021
13,Replicable,78.75,27.66,0.009,0.961,0.055
14,Structured,68.94,24.38,-0.02,0.954,0.017
15,Coherent,81.74,27.18,-0.045,0.982,-0.037
16,Original,77.93,29.01,-0.043,0.919,0.0
17,Balanced,70.03,23.56,-0.048,0.982,-0.033
18,Authoritative,79.64,26.58,-0.038,0.986,-0.041
19,Impactful,76.45,26.48,-0.083,0.965,-0.099
20,Interdisciplinary,43.2,29.86,-0.208,0.496,-0.403
21,Well-sourced,67.03,31.33,-0.024,0.741,-0.019
22,Technical,80.21,28.31,-0.034,0.946,-0.005
23,Provocative,35.78,33.5,-0.325,0.342,-0.545
24,Hypothesis-driven,9.51,19.25,-0.613,0.09,-0.487
25,Ethical,64.24,43.18,-0.127,0.523,0.013
26,Difficult to understand,2.47,5.59,-0.924,0.047,-0.181
27,Exciting,67.94,24.66,-0.055,0.935,-0.051
28,Not well written,1.7,4.73,-0.885,0.031,0.12
29,Theoretical,23.77,30.44,-0.353,0.21,-0.459
30,To the point,84.02,27.75,-0.04,0.984,-0.041
31,Disengaging,1.77,4.76,-0.966,0.052,0.052
32,Uncontroversial,2.66,6.97,-0.838,0.052,-0.114
33,Lax,2.36,5.72,-0.943,0.035,-0.109
34,Conventional,4.64,9.28,-0.826,0.049,-0.414
35,Inaccessible,1.98,5.3,-0.946,0.038,0.036
36,Haphazard,1.81,4.69,-0.962,0.034,0.036
37,Verbose,1.96,5.62,-0.803,0.012,0.119
38,Unconvincing,2.48,5.93,-0.947,0.037,-0.142
39,Superficial,4.3,9.14,-0.868,0.043,-0.328
40,Uninsightful,2.08,5.27,-0.968,0.042,-0.038
41,Irrelevant,1.75,4.72,-0.959,0.056,0.058
42,Subjective,3.02,7.27,-0.911,0.035,-0.186
43,Non-replicable,1.92,5.23,-0.925,0.036,0.034
44,Unstructured,1.95,5.1,-0.956,0.031,0.018
45,Incoherent,1.83,4.82,-0.97,0.038,0.046
46,Derivative,3.71,8.72,-0.861,0.046,-0.231
47,Unbalanced,3.07,7.15,-0.906,0.04,-0.212
48,Unreliable,2.07,5.33,-0.947,0.029,-0.033
49,Inconsequential,2.11,5.48,-0.951,0.058,-0.028
50,Narrow,4.5,9.37,-0.851,0.053,-0.374
51,Poorly-sourced,2.04,5.5,-0.947,0.043,0.015
52,Nontechnical,2.52,6.1,-0.911,0.032,-0.072
53,Unprovocative,2.74,6.98,-0.938,0.054,-0.116
54,Speculation-driven,2.93,7.72,-0.897,0.04,-0.149
55,Unethical,1.65,4.45,-0.956,0.047,0.071
56,Easy to understand,82.94,27.67,0.026,0.983,-0.045
57,Dull,2.05,5.3,-0.973,0.044,-0.002
58,Well written,83.9,27.74,-0.031,0.985,-0.044
59,Empirical,34.58,38.33,-0.358,0.278,-0.472
60,Circumlocutory,1.91,5.03,-0.951,0.016,0.053
