No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Circumlocutory,15.33,5.29,0.108,-0.344,-0.203
2,2. Empirical,77.33,10.8,0.089,0.453,0.292
3,3. Well written,87.58,4.14,0.11,0.471,0.61
4,4. Dull,12.93,5.06,-0.315,0.104,-0.123
5,5. Easy to understand,70.48,7.48,0.04,0.756,-0.112
6,6. Unethical,0.09,2.03,-0.014,-0.098,0.049
7,7. Speculation-driven,14.69,7.18,-0.2,-0.284,0.231
8,8. Unprovocative,32.87,12.99,-0.322,0.114,-0.466
9,9. Nontechnical,13.3,6.15,-0.169,0.136,-0.294
10,10. Poorly-sourced,16.85,27.77,-0.264,0.066,-0.036
11,11. Narrow,35.33,6.33,-0.454,-0.018,-0.02
12,12. Inconsequential,18.97,3.85,-0.802,-0.008,-0.178
13,13. Unreliable,8.61,3.54,-0.895,-0.025,-0.017
14,14. Unbalanced,18.85,5.21,-0.709,-0.092,0.021
15,15. Derivative,33.97,6.98,-0.496,-0.052,-0.2
16,16. Incoherent,8.6,3.46,-0.879,-0.02,-0.001
17,17. Unstructured,9.29,4.25,-0.833,-0.188,-0.078
18,18. Non-replicable,19.52,4.99,-0.78,-0.217,-0.131
19,19. Subjective,19.0,6.91,-0.501,-0.11,-0.105
20,20. Irrelevant,8.75,3.39,-0.889,-0.034,-0.049
21,21. Uninsightful,19.27,4.52,-0.863,-0.031,-0.143
22,22. Superficial,28.96,5.27,-0.86,-0.04,-0.135
23,23. Unconvincing,18.56,3.96,-0.897,-0.096,-0.062
24,24. Verbose,36.32,7.83,-0.44,-0.317,0.181
25,25. Haphazard,10.06,2.16,-0.468,-0.224,-0.052
26,26. Inaccessible,18.88,5.35,-0.555,-0.442,0.122
27,27. Conventional,46.75,5.95,-0.441,0.254,-0.373
28,28. Lax,10.54,3.29,-0.466,-0.243,-0.158
29,29. Uncontroversial,71.91,15.41,0.009,0.362,-0.216
30,30. Disengaging,17.78,5.8,-0.603,-0.022,-0.312
31,31. To the point,77.59,6.66,0.084,0.743,0.312
32,32. Theoretical,61.99,9.14,-0.011,-0.454,0.443
33,33. Not well written,9.59,2.64,-0.652,-0.124,-0.119
34,34. Exciting,49.29,9.78,-0.002,-0.051,0.706
35,35. Difficult to understand,29.6,7.66,-0.228,-0.687,0.225
36,36. Ethical,91.38,3.98,0.445,0.152,0.144
37,37. Hypothesis-driven,73.39,9.96,0.132,0.005,0.737
38,38. Provocative,40.9,10.58,-0.099,-0.33,0.686
39,39. Technical,81.49,5.41,0.172,-0.016,0.537
40,40. Well-sourced,84.31,7.17,0.217,0.323,0.599
41,41. Interdisciplinary,52.25,7.1,-0.048,-0.23,0.548
42,42. Impactful,66.57,7.78,0.167,0.062,0.763
43,43. Authoritative,79.45,4.38,0.219,0.271,0.673
44,44. Balanced,78.99,3.94,0.201,0.587,0.349
45,45. Original,61.11,7.78,0.081,-0.048,0.829
46,46. Coherent,89.1,3.28,0.188,0.627,0.527
47,47. Structured,88.79,3.75,0.188,0.647,0.545
48,48. Replicable,78.0,5.82,0.159,0.611,0.579
49,49. Objective,84.66,5.88,0.238,0.312,0.326
50,50. Relevant,88.19,4.18,0.157,0.454,0.589
51,51. Insightful,77.15,5.78,0.122,0.231,0.789
52,52. Comprehensive,70.57,7.19,0.044,0.215,0.675
53,53. Persuasive,70.11,6.58,0.099,0.273,0.777
54,54. Concise,78.03,5.71,0.017,0.763,0.249
55,55. Methodical,87.07,5.25,0.054,0.374,0.649
56,56. Accessible,77.58,6.42,0.055,0.789,0.072
57,57. Innovative,63.63,9.41,0.031,-0.036,0.791
58,58. Rigorous,83.23,6.03,0.036,0.055,0.766
59,59. Controversial,22.81,8.12,-0.175,-0.36,0.365
60,60. Engaging,64.24,7.12,0.094,0.169,0.719
