No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,Engaging,62.48,15.89,-0.025,0.309,0.763
2,Controversial,20.69,7.6,-0.048,-0.141,0.304
3,Rigorous,82.93,4.62,0.08,-0.171,0.541
4,Innovative,78.44,10.08,-0.071,0.147,0.775
5,Accessible,51.95,12.5,-0.076,0.736,0.422
6,Methodical,86.09,5.01,0.039,0.076,0.302
7,Concise,71.94,8.7,-0.076,0.743,0.231
8,Persuasive,66.35,11.15,-0.027,0.391,0.814
9,Comprehensive,76.59,8.12,0.092,-0.055,0.56
10,Insightful,79.36,7.04,0.061,0.029,0.808
11,Relevant,88.72,4.08,0.052,0.097,0.715
12,Objective,84.42,4.36,0.189,0.165,-0.085
13,Replicable,79.07,5.33,0.1,0.376,0.444
14,Structured,87.77,3.79,0.097,0.138,0.453
15,Coherent,91.12,3.42,0.123,0.279,0.405
16,Original,73.92,9.89,-0.022,0.117,0.784
17,Balanced,74.09,6.85,0.076,0.441,0.227
18,Authoritative,81.74,5.15,0.156,0.055,0.744
19,Impactful,73.76,9.68,0.005,0.201,0.866
20,Interdisciplinary,44.7,10.86,-0.051,-0.022,0.614
21,Well-sourced,72.0,9.94,0.142,0.073,0.475
22,Technical,88.86,3.58,0.109,-0.174,0.509
23,Provocative,32.38,8.22,-0.07,-0.062,0.668
24,Hypothesis-driven,76.09,7.56,0.115,-0.221,0.547
25,Ethical,83.75,8.07,0.174,0.213,0.212
26,Difficult to understand,25.81,10.2,-0.157,-0.738,-0.122
27,Exciting,54.93,9.56,-0.051,0.193,0.851
28,Not well written,10.86,2.9,-0.345,-0.454,-0.122
29,Theoretical,73.65,9.9,0.046,-0.567,0.192
30,To the point,76.65,7.49,-0.006,0.764,0.333
31,Disengaging,10.0,0.69,-0.649,-0.067,0.015
32,Uncontroversial,75.61,15.96,-0.035,0.176,-0.324
33,Lax,9.98,0.61,-0.688,-0.043,0.035
34,Conventional,20.82,3.75,-0.257,0.142,-0.312
35,Inaccessible,19.73,6.97,-0.268,-0.664,0.144
36,Haphazard,9.98,0.63,-0.701,-0.049,0.035
37,Verbose,19.9,1.84,-0.398,-0.296,0.122
38,Unconvincing,18.09,4.21,-0.424,0.111,-0.135
39,Superficial,17.02,6.23,-0.52,0.233,-0.214
40,Uninsightful,12.65,5.07,-0.321,-0.112,-0.555
41,Irrelevant,9.7,1.32,-0.649,-0.037,-0.183
42,Subjective,17.36,4.46,-0.403,0.01,0.396
43,Non-replicable,10.6,2.74,-0.45,-0.181,-0.049
44,Unstructured,9.92,0.84,-0.74,-0.058,-0.001
45,Incoherent,9.81,1.1,-0.749,-0.029,-0.052
46,Derivative,22.86,4.93,-0.289,0.041,-0.513
47,Unbalanced,18.52,4.11,-0.597,-0.105,0.149
48,Unreliable,9.9,1.23,-0.734,-0.057,-0.02
49,Inconsequential,17.68,4.41,-0.501,0.07,-0.264
50,Narrow,32.25,4.94,-0.403,-0.013,-0.192
51,Poorly-sourced,14.36,5.02,-0.44,0.163,0.035
52,Nontechnical,10.88,2.85,-0.216,0.247,-0.156
53,Unprovocative,57.09,18.2,0.143,-0.074,-0.606
54,Speculation-driven,9.97,1.3,-0.554,-0.013,0.013
55,Unethical,13.89,21.9,-0.014,-0.092,-0.295
56,Easy to understand,64.84,10.92,-0.015,0.86,0.199
57,Dull,23.58,5.05,-0.218,-0.142,-0.591
58,Well written,85.94,4.48,0.132,0.518,0.513
59,Empirical,73.96,11.8,0.058,0.514,0.412
60,Circumlocutory,20.45,3.39,-0.414,-0.468,0.063
