No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Insightful,79.68,2.64,0.245,-0.037,0.522
2,2. Haphazard,10.33,1.79,-0.23,-0.093,-0.375
3,3. Well-sourced,69.96,4.88,0.127,0.043,0.241
4,4. Disengaging,19.98,2.59,-0.245,0.081,-0.219
5,5. Technical,88.61,4.39,0.031,0.01,0.413
6,6. Balanced,73.68,8.76,-0.017,0.619,0.334
7,7. Superficial,28.84,5.26,-0.427,0.119,-0.223
8,8. Ethical,68.01,13.23,0.221,0.321,-0.107
9,9. Concise,79.23,7.27,-0.193,0.541,0.069
10,10. Unreliable,10.9,2.05,-0.624,0.221,0.12
11,11. Innovative,77.77,9.2,-0.045,-0.073,0.824
12,12. Subjective,26.88,9.53,-0.423,0.17,0.038
13,13. Circumlocutory,24.16,12.37,-0.267,-0.37,0.26
14,14. Rigorous,81.85,4.35,0.223,0.207,0.559
15,15. Dull,15.81,6.54,-0.711,0.209,-0.177
16,16. Replicable,74.7,6.26,0.138,0.524,0.46
17,17. Provocative,54.68,7.59,-0.13,-0.054,0.821
18,18. Inaccessible,20.09,8.08,-0.64,-0.271,0.285
19,19. Empirical,77.11,8.79,0.079,0.341,0.318
20,20. Coherent,88.14,3.48,0.134,0.663,0.358
21,21. Poorly-sourced,10.05,0.88,-0.432,-0.054,-0.272
22,22. Impactful,72.36,7.59,0.018,0.16,0.807
23,23. Nontechnical,12.25,5.01,-0.382,0.138,-0.143
24,24. Unstructured,14.69,5.25,-0.64,-0.333,0.18
25,25. Engaging,65.17,6.42,-0.087,0.348,0.671
26,26. Narrow,39.35,3.62,-0.577,0.106,0.079
27,27. Methodical,82.47,4.05,0.1,0.358,0.666
28,28. Unconvincing,15.49,5.58,-0.786,-0.076,-0.0
29,29. Exciting,58.43,8.7,-0.151,0.027,0.759
30,30. Speculation-driven,13.01,5.42,-0.477,-0.159,0.267
31,31. Relevant,86.02,4.73,0.139,0.448,0.554
32,32. Lax,12.38,4.42,-0.663,-0.083,0.087
33,33. Well written,85.67,3.78,0.138,0.478,0.389
34,34. Hypothesis-driven,75.26,7.57,0.046,0.174,0.751
35,35. Inconsequential,11.61,3.79,-0.658,0.05,-0.125
36,36. Accessible,75.71,6.89,-0.009,0.837,0.092
37,37. Authoritative,82.3,4.43,0.145,0.417,0.629
38,38. Not well written,10.08,0.9,-0.55,-0.035,-0.196
39,39. Interdisciplinary,54.33,7.43,-0.087,0.14,0.543
40,40. Easy to understand,69.23,9.03,-0.106,0.828,0.004
41,41. Original,72.92,9.32,-0.036,-0.03,0.863
42,42. Unbalanced,16.41,5.28,-0.767,-0.287,0.098
43,43. Comprehensive,75.01,6.84,0.046,0.332,0.609
44,44. Verbose,23.52,5.7,-0.703,-0.263,0.267
45,45. Conventional,39.27,6.76,-0.513,0.288,-0.243
46,46. To the point,81.56,4.51,-0.093,0.704,0.201
47,47. Unprovocative,31.84,11.73,-0.392,0.207,-0.517
48,48. Structured,86.33,4.24,0.242,0.651,0.309
49,49. Difficult to understand,19.19,7.02,-0.543,-0.49,0.193
50,50. Irrelevant,10.11,1.16,-0.562,-0.003,-0.072
51,51. Controversial,22.55,7.19,-0.252,-0.142,0.16
52,52. Non-replicable,10.46,1.92,-0.724,0.082,0.058
53,53. Objective,82.27,4.69,0.192,0.436,0.37
54,54. Derivative,27.57,5.6,-0.682,0.169,-0.155
55,55. Unethical,5.24,4.78,-0.12,0.07,0.004
56,56. Persuasive,71.09,7.42,0.013,0.332,0.796
57,57. Incoherent,10.17,1.33,-0.642,-0.004,-0.076
58,58. Uninsightful,15.44,5.5,-0.752,0.056,-0.168
59,59. Theoretical,65.77,8.85,-0.051,-0.263,0.534
60,60. Exciting,58.52,8.77,-0.146,0.022,0.76
