No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Insightful,71.3,7.32,0.288,-0.148,0.884
2,2. Haphazard,11.54,3.99,-0.859,0.057,-0.139
3,3. Well-sourced,46.96,12.89,0.349,0.038,0.401
4,4. Disengaging,16.38,4.55,-0.781,-0.068,-0.343
5,5. Technical,84.23,6.86,0.442,-0.672,0.176
6,6. Balanced,64.14,5.21,0.473,0.028,0.538
7,7. Superficial,22.8,6.36,-0.653,0.239,-0.556
8,8. Ethical,46.66,12.06,0.07,0.159,0.19
9,9. Concise,78.36,8.2,0.668,0.318,0.005
10,10. Unreliable,12.39,4.68,-0.853,0.062,-0.158
11,11. Innovative,74.16,10.03,0.239,-0.232,0.828
12,12. Subjective,20.85,5.32,-0.717,0.355,0.137
13,13. Circumlocutory,12.3,5.02,-0.799,-0.256,0.002
14,14. Rigorous,68.97,8.22,0.578,-0.434,0.452
15,15. Dull,21.89,5.29,-0.566,-0.092,-0.588
16,16. Replicable,63.29,8.53,0.672,-0.123,0.032
17,17. Provocative,34.56,10.89,-0.3,0.134,0.74
18,18. Inaccessible,31.92,11.43,-0.161,-0.862,0.039
19,19. Empirical,63.96,15.38,0.455,0.078,0.178
20,20. Coherent,79.84,4.65,0.726,0.07,0.431
21,21. Poorly-sourced,12.14,5.17,-0.817,0.055,-0.246
22,22. Impactful,67.67,8.01,0.297,-0.073,0.867
23,23. Nontechnical,16.52,6.69,-0.488,0.631,-0.048
24,24. Unstructured,11.52,4.32,-0.886,-0.052,-0.142
25,25. Engaging,51.58,10.19,-0.0,0.308,0.829
26,26. Narrow,42.0,7.85,-0.061,-0.073,-0.619
27,27. Methodical,73.46,7.35,0.676,-0.392,0.322
28,28. Unconvincing,16.42,4.53,-0.872,0.026,-0.241
29,29. Exciting,47.79,12.19,0.007,0.061,0.879
30,30. Speculation-driven,19.03,7.71,-0.726,0.143,0.364
31,31. Relevant,86.87,4.07,0.559,0.175,0.471
32,32. Lax,14.77,4.84,-0.872,0.088,-0.214
33,33. Well written,74.16,5.99,0.683,0.299,0.453
34,34. Hypothesis-driven,54.11,11.18,0.23,-0.153,0.532
35,35. Inconsequential,14.12,5.47,-0.638,0.073,-0.59
36,36. Accessible,57.56,10.99,0.057,0.922,-0.005
37,37. Authoritative,64.73,6.8,0.595,-0.244,0.538
38,38. Not well written,11.12,4.0,-0.804,-0.131,-0.196
39,39. Interdisciplinary,34.78,13.09,-0.335,0.199,0.425
40,40. Easy to understand,55.97,13.17,-0.004,0.921,-0.11
41,41. Original,70.3,9.78,0.2,-0.241,0.843
42,42. Unbalanced,15.04,4.48,-0.857,0.041,-0.199
43,43. Comprehensive,56.32,8.84,0.373,-0.176,0.564
44,44. Verbose,15.19,6.47,-0.7,-0.333,0.084
45,45. Conventional,33.17,11.78,-0.118,0.344,-0.711
46,46. To the point,75.69,7.68,0.686,0.323,0.047
47,47. Unprovocative,30.12,17.45,-0.029,0.035,-0.732
48,48. Structured,80.54,5.17,0.828,-0.033,0.31
49,49. Difficult to understand,22.79,13.94,-0.205,-0.839,0.061
50,50. Irrelevant,7.98,2.97,-0.592,-0.036,-0.257
51,51. Controversial,14.74,8.59,-0.487,0.241,0.354
52,52. Non-replicable,17.41,5.53,-0.828,0.004,0.042
53,53. Objective,73.16,6.39,0.735,-0.296,0.062
54,54. Derivative,25.17,9.11,-0.296,0.285,-0.745
55,55. Unethical,5.36,3.9,-0.377,0.106,0.231
56,56. Persuasive,62.85,7.48,0.376,-0.086,0.822
57,57. Incoherent,10.65,3.16,-0.788,-0.168,-0.121
58,58. Uninsightful,13.63,6.01,-0.639,0.086,-0.589
59,59. Theoretical,50.08,15.74,-0.162,-0.503,0.357
60,60. Exciting,50.39,13.21,0.005,0.085,0.886
