No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Insightful,72.12,14.31,-0.306,0.758,0.124
2,2. Haphazard,4.87,4.79,-0.946,0.042,0.003
3,3. Well-sourced,61.18,23.88,-0.084,0.509,0.479
4,4. Disengaging,12.32,9.59,-0.791,0.121,0.088
5,5. Technical,87.99,14.49,-0.099,0.834,-0.027
6,6. Balanced,68.12,14.64,0.085,0.804,0.192
7,7. Superficial,12.06,10.71,-0.904,0.078,0.05
8,8. Ethical,55.9,30.93,-0.035,0.326,0.426
9,9. Concise,87.07,13.61,-0.03,0.941,-0.105
10,10. Unreliable,8.76,8.76,-0.903,0.052,0.02
11,11. Innovative,83.89,14.38,-0.087,0.909,0.117
12,12. Subjective,18.88,14.43,-0.808,0.107,0.124
13,13. Circumlocutory,12.97,13.83,-0.9,0.053,0.038
14,14. Rigorous,86.39,14.04,0.016,0.943,0.006
15,15. Dull,8.27,8.36,-0.93,0.035,0.014
16,16. Replicable,81.12,14.55,0.055,0.904,0.084
17,17. Provocative,69.41,17.61,-0.121,0.686,0.441
18,18. Inaccessible,6.51,7.27,-0.855,0.05,0.02
19,19. Empirical,69.92,19.63,0.012,0.634,0.398
20,20. Coherent,88.02,13.78,-0.025,0.969,-0.013
21,21. Poorly-sourced,5.11,5.59,-0.894,0.02,-0.025
22,22. Impactful,85.32,14.18,-0.062,0.944,0.113
23,23. Nontechnical,11.0,10.39,-0.891,0.038,0.032
24,24. Unstructured,8.6,10.54,-0.785,0.034,0.032
25,25. Engaging,81.01,12.77,-0.019,0.953,-0.025
26,26. Narrow,21.32,16.13,-0.903,0.101,0.109
27,27. Methodical,82.78,14.26,0.079,0.939,0.097
28,28. Unconvincing,10.67,10.05,-0.961,0.053,0.031
29,29. Exciting,76.2,16.0,-0.105,0.802,0.36
30,30. Speculation-driven,8.73,9.22,-0.909,0.042,0.03
31,31. Relevant,88.37,13.83,-0.076,0.977,0.024
32,32. Lax,10.56,12.71,-0.69,0.056,0.028
33,33. Well written,90.85,13.61,-0.126,0.974,-0.083
34,34. Hypothesis-driven,70.87,22.38,-0.286,0.506,0.526
35,35. Inconsequential,9.35,9.08,-0.962,0.052,0.026
36,36. Accessible,86.17,13.6,-0.021,0.969,0.01
37,37. Authoritative,85.59,15.18,-0.043,0.916,0.18
38,38. Not well written,5.27,5.37,-0.935,0.029,0.001
39,39. Interdisciplinary,60.43,25.2,-0.274,0.422,0.61
40,40. Easy to understand,89.74,13.8,-0.111,0.968,-0.037
41,41. Original,84.35,14.81,-0.133,0.904,0.172
42,42. Unbalanced,18.84,15.28,-0.908,0.074,0.072
43,43. Comprehensive,86.57,14.37,-0.055,0.953,0.09
44,44. Verbose,13.34,13.78,-0.913,0.044,0.023
45,45. Conventional,13.43,12.65,-0.838,0.056,0.043
46,46. To the point,91.02,13.6,-0.118,0.976,-0.084
47,47. Unprovocative,10.09,9.58,-0.968,0.055,0.026
48,48. Structured,85.66,13.86,0.038,0.969,0.043
49,49. Difficult to understand,6.21,6.67,-0.895,0.034,-0.013
50,50. Irrelevant,9.34,9.18,-0.951,0.053,0.033
51,51. Controversial,17.35,20.05,-0.794,0.057,0.12
52,52. Non-replicable,8.75,8.91,-0.939,0.036,0.016
53,53. Objective,82.26,15.65,0.026,0.871,0.149
54,54. Derivative,12.62,11.76,-0.88,0.058,0.032
55,55. Unethical,4.69,5.39,-0.879,0.019,-0.003
56,56. Persuasive,86.25,14.17,-0.069,0.951,0.07
57,57. Incoherent,8.63,8.78,-0.945,0.038,0.007
58,58. Uninsightful,8.87,8.99,-0.925,0.047,0.02
59,59. Theoretical,64.06,24.39,-0.209,0.479,0.429
60,60. Exciting,75.75,16.6,-0.109,0.779,0.389
