No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,Engaging,56.32,26.41,-0.121,0.931,-0.036
2,Controversial,6.5,12.97,-0.579,0.098,-0.55
3,Rigorous,66.1,29.54,-0.083,0.966,-0.048
4,Innovative,73.64,33.2,-0.061,0.973,0.021
5,Accessible,50.42,25.36,-0.072,0.864,0.037
6,Methodical,61.43,29.42,-0.04,0.92,0.053
7,Concise,75.1,32.79,-0.061,0.98,-0.052
8,Persuasive,59.03,29.99,-0.111,0.879,-0.059
9,Comprehensive,59.99,29.04,-0.111,0.901,-0.076
10,Insightful,67.54,30.0,-0.089,0.98,-0.083
11,Relevant,76.51,33.3,-0.077,0.987,-0.042
12,Objective,72.14,32.23,-0.024,0.974,0.001
13,Replicable,72.19,32.78,-0.031,0.971,0.027
14,Structured,63.34,28.86,-0.056,0.964,0.009
15,Coherent,75.58,32.93,-0.079,0.984,-0.051
16,Original,71.79,33.55,-0.072,0.95,0.004
17,Balanced,64.58,28.4,-0.085,0.983,-0.037
18,Authoritative,73.66,32.2,-0.071,0.987,-0.048
19,Impactful,71.37,31.93,-0.11,0.973,-0.08
20,Interdisciplinary,41.77,29.29,-0.241,0.628,-0.27
21,Well-sourced,59.74,33.42,-0.075,0.792,-0.062
22,Technical,73.95,33.58,-0.068,0.963,0.004
23,Provocative,35.38,33.29,-0.377,0.439,-0.448
24,Hypothesis-driven,11.33,19.92,-0.628,0.155,-0.507
25,Ethical,49.98,45.39,-0.25,0.481,-0.08
26,Difficult to understand,3.11,6.08,-0.931,0.086,-0.174
27,Exciting,62.34,28.77,-0.097,0.954,-0.035
28,Not well written,2.12,4.99,-0.907,0.062,0.154
29,Theoretical,24.34,29.27,-0.391,0.3,-0.41
30,To the point,77.77,33.79,-0.074,0.985,-0.053
31,Disengaging,2.28,5.29,-0.962,0.082,0.067
32,Uncontroversial,3.55,7.84,-0.842,0.101,-0.15
33,Lax,3.05,6.36,-0.939,0.071,-0.114
34,Conventional,6.27,10.47,-0.81,0.114,-0.469
35,Inaccessible,2.58,5.97,-0.937,0.068,0.055
36,Haphazard,2.35,5.2,-0.956,0.065,0.038
37,Verbose,2.44,5.74,-0.856,0.039,0.128
38,Unconvincing,3.38,6.75,-0.932,0.08,-0.19
39,Superficial,5.89,10.44,-0.848,0.103,-0.387
40,Uninsightful,2.75,5.92,-0.96,0.077,-0.053
41,Irrelevant,2.26,5.26,-0.952,0.087,0.071
42,Subjective,4.12,8.37,-0.896,0.08,-0.226
43,Non-replicable,2.48,5.56,-0.968,0.065,0.031
44,Unstructured,2.55,5.73,-0.947,0.061,0.017
45,Incoherent,2.38,5.38,-0.966,0.067,0.057
46,Derivative,5.02,9.66,-0.874,0.095,-0.299
47,Unbalanced,4.13,8.12,-0.894,0.088,-0.251
48,Unreliable,2.75,6.03,-0.935,0.062,-0.056
49,Inconsequential,2.73,6.08,-0.942,0.093,-0.03
50,Narrow,6.13,10.62,-0.832,0.116,-0.436
51,Poorly-sourced,2.66,6.2,-0.938,0.072,0.024
52,Nontechnical,3.28,6.89,-0.911,0.075,-0.106
53,Unprovocative,3.67,7.95,-0.927,0.094,-0.147
54,Speculation-driven,3.96,8.92,-0.881,0.075,-0.183
55,Unethical,2.09,4.86,-0.951,0.074,0.091
56,Easy to understand,76.68,33.53,-0.016,0.987,-0.055
57,Dull,2.69,5.94,-0.969,0.078,-0.006
58,Well written,77.64,33.75,-0.066,0.986,-0.054
59,Empirical,40.41,38.34,-0.335,0.438,-0.397
60,Circumlocutory,2.5,5.65,-0.944,0.043,0.068
