No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Circumlocutory,1.13,3.87,-0.062,-0.849,0.045
2,2. Empirical,73.66,25.03,0.665,0.024,0.251
3,3. Well written,88.9,20.05,0.979,0.019,0.028
4,4. Dull,0.48,1.9,-0.07,-0.873,0.047
5,5. Easy to understand,85.73,19.29,0.983,0.037,0.009
6,6. Unethical,0.14,3.19,-0.0,-0.018,0.049
7,7. Speculation-driven,0.76,3.35,-0.014,-0.756,0.043
8,8. Unprovocative,3.19,11.86,-0.09,-0.527,0.117
9,9. Nontechnical,0.69,2.96,-0.075,-0.86,0.012
10,10. Poorly-sourced,0.07,2.01,-0.007,-0.028,-0.126
11,11. Narrow,18.64,10.45,0.346,-0.393,0.444
12,12. Inconsequential,0.86,3.52,-0.023,-0.925,0.047
13,13. Unreliable,1.13,5.37,-0.03,-0.627,-0.007
14,14. Unbalanced,2.19,7.63,-0.041,-0.814,0.083
15,15. Derivative,2.39,9.37,-0.005,-0.647,-0.026
16,16. Incoherent,0.27,1.37,-0.089,-0.774,-0.097
17,17. Unstructured,0.91,4.27,-0.049,-0.706,-0.047
18,18. Non-replicable,0.19,1.13,-0.112,-0.538,-0.122
19,19. Subjective,1.12,4.38,-0.058,-0.899,0.014
20,20. Irrelevant,0.38,1.73,-0.067,-0.846,-0.056
21,21. Uninsightful,2.52,9.75,-0.011,-0.588,0.131
22,22. Superficial,0.91,3.66,-0.034,-0.93,0.034
23,23. Unconvincing,1.39,5.74,-0.035,-0.855,0.051
24,24. Verbose,2.24,7.6,-0.066,-0.953,0.023
25,25. Haphazard,0.48,2.17,-0.053,-0.9,-0.037
26,26. Inaccessible,0.74,3.01,-0.081,-0.887,-0.049
27,27. Conventional,9.13,19.97,0.029,-0.525,0.109
28,28. Lax,0.88,3.42,-0.093,-0.935,-0.001
29,29. Uncontroversial,2.63,10.61,-0.075,-0.642,0.047
30,30. Disengaging,1.2,4.85,-0.036,-0.922,0.014
31,31. To the point,89.61,20.22,0.991,0.047,0.015
32,32. Theoretical,64.13,29.73,0.498,0.026,0.179
33,33. Not well written,1.24,2.96,0.029,-0.322,-0.035
34,34. Exciting,72.66,22.59,0.723,-0.004,0.457
35,35. Difficult to understand,1.56,4.16,-0.004,-0.778,-0.005
36,36. Ethical,91.6,21.14,0.984,0.079,0.016
37,37. Hypothesis-driven,77.98,23.42,0.766,0.033,0.189
38,38. Provocative,64.29,32.16,0.418,-0.06,0.635
39,39. Technical,89.59,20.26,0.992,0.005,0.019
40,40. Well-sourced,91.77,21.1,0.987,0.066,0.013
41,41. Interdisciplinary,61.8,28.99,0.479,0.003,0.626
42,42. Impactful,84.64,20.04,0.961,0.04,0.111
43,43. Authoritative,88.74,20.31,0.993,0.031,0.027
44,44. Balanced,89.25,20.64,0.983,0.12,0.01
45,45. Original,73.66,22.39,0.756,0.087,0.411
46,46. Coherent,89.8,20.31,0.994,0.013,0.017
47,47. Structured,89.52,20.31,0.992,0.051,0.02
48,48. Replicable,89.49,21.19,0.963,0.025,0.026
49,49. Objective,88.2,20.47,0.983,0.076,0.009
50,50. Relevant,89.87,20.52,0.993,0.035,0.005
51,51. Insightful,87.94,20.41,0.986,0.058,0.036
52,52. Comprehensive,82.43,20.08,0.941,0.012,0.089
53,53. Persuasive,88.78,20.41,0.992,0.036,0.03
54,54. Concise,89.81,20.25,0.992,0.015,0.015
55,55. Methodical,85.49,20.52,0.962,0.076,0.039
56,56. Accessible,87.67,20.69,0.97,0.061,0.045
57,57. Innovative,78.0,20.96,0.848,-0.019,0.269
58,58. Rigorous,89.27,20.38,0.995,0.008,0.023
59,59. Controversial,12.6,26.2,0.063,-0.344,0.416
60,60. Engaging,88.52,20.56,0.986,0.039,0.059
