No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Insightful,77.54,4.07,0.249,-0.07,0.839
2,2. Haphazard,10.55,2.31,-0.79,-0.031,-0.12
3,3. Well-sourced,50.3,11.83,0.274,0.079,0.437
4,4. Disengaging,14.35,3.13,-0.641,-0.169,-0.353
5,5. Technical,87.64,3.53,0.227,-0.739,0.177
6,6. Balanced,67.24,4.53,0.43,0.094,0.569
7,7. Superficial,19.56,3.22,-0.581,0.224,-0.382
8,8. Ethical,46.31,11.1,0.04,0.026,0.295
9,9. Concise,78.66,8.72,0.626,0.375,-0.043
10,10. Unreliable,11.38,3.1,-0.791,0.036,-0.084
11,11. Innovative,81.14,5.35,0.169,-0.182,0.785
12,12. Subjective,19.92,3.83,-0.59,0.366,0.164
13,13. Circumlocutory,11.99,4.35,-0.711,-0.379,0.057
14,14. Rigorous,74.45,5.56,0.481,-0.502,0.359
15,15. Dull,19.42,3.35,-0.411,-0.254,-0.464
16,16. Replicable,64.51,5.82,0.498,-0.092,0.261
17,17. Provocative,42.65,10.43,-0.287,0.29,0.545
18,18. Inaccessible,36.7,13.9,-0.144,-0.853,-0.084
19,19. Empirical,67.85,11.84,0.23,0.211,0.275
20,20. Coherent,82.27,3.58,0.671,0.189,0.414
21,21. Poorly-sourced,10.77,2.81,-0.813,-0.002,-0.102
22,22. Impactful,73.84,5.17,0.248,0.033,0.859
23,23. Nontechnical,14.12,4.57,-0.296,0.621,0.015
24,24. Unstructured,10.54,2.37,-0.817,-0.1,-0.101
25,25. Engaging,58.31,7.93,0.022,0.473,0.743
26,26. Narrow,38.06,5.03,-0.018,-0.117,-0.446
27,27. Methodical,77.03,4.63,0.554,-0.424,0.315
28,28. Unconvincing,15.14,2.97,-0.802,-0.01,-0.248
29,29. Exciting,58.45,8.84,-0.057,0.205,0.84
30,30. Speculation-driven,20.47,5.19,-0.68,0.245,0.239
31,31. Relevant,88.69,2.86,0.433,0.223,0.55
32,32. Lax,13.23,3.47,-0.794,0.166,-0.191
33,33. Well written,77.84,4.6,0.669,0.355,0.394
34,34. Hypothesis-driven,59.71,6.98,0.053,0.028,0.346
35,35. Inconsequential,11.43,3.01,-0.606,0.009,-0.457
36,36. Accessible,53.01,11.53,0.129,0.889,0.13
37,37. Authoritative,69.12,5.14,0.514,-0.265,0.564
38,38. Not well written,10.35,2.41,-0.726,-0.099,-0.116
39,39. Interdisciplinary,37.32,13.32,-0.15,0.123,0.407
40,40. Easy to understand,49.0,12.73,0.102,0.896,0.102
41,41. Original,77.44,5.22,0.141,-0.213,0.801
42,42. Unbalanced,13.89,3.43,-0.772,0.142,-0.233
43,43. Comprehensive,62.8,7.04,0.293,-0.124,0.619
44,44. Verbose,15.48,6.41,-0.618,-0.399,0.138
45,45. Conventional,24.62,6.25,-0.123,0.341,-0.513
46,46. To the point,76.21,7.48,0.645,0.383,-0.012
47,47. Unprovocative,21.13,5.64,-0.184,-0.153,-0.48
48,48. Structured,82.82,3.48,0.745,0.019,0.326
49,49. Difficult to understand,29.31,17.78,-0.158,-0.854,-0.069
50,50. Irrelevant,6.94,2.51,-0.429,0.027,-0.209
51,51. Controversial,16.51,8.31,-0.373,0.348,0.24
52,52. Non-replicable,17.2,4.16,-0.713,-0.003,-0.062
53,53. Objective,74.67,5.38,0.634,-0.309,0.098
54,54. Derivative,19.63,4.37,-0.286,0.328,-0.577
55,55. Unethical,4.95,3.36,-0.338,0.16,0.171
56,56. Persuasive,69.1,4.64,0.37,0.063,0.774
57,57. Incoherent,10.13,1.83,-0.708,-0.156,-0.115
58,58. Uninsightful,11.0,2.61,-0.737,0.004,-0.347
59,59. Theoretical,62.74,14.59,-0.007,-0.596,0.012
60,60. Exciting,61.88,9.3,-0.057,0.219,0.843
