Item_No,Item,rho,p
33,33. Well written,0.2720031918500429,2.9200881058793387e-35
22,22. Impactful,0.2691091696576763,1.5961185695404696e-34
56,56. Persuasive,0.2630348412835864,5.2738256141475815e-33
31,31. Relevant,0.25581552209419295,2.995443077663593e-31
25,25. Engaging,0.24721307847157234,3.1286077333066393e-29
1,1. Insightful,0.24195351011109115,4.918249681509299e-28
37,37. Authoritative,0.2363045276480637,8.813506068881722e-27
60,60. Exciting,0.23515304728198846,1.5726176812375188e-26
20,20. Coherent,0.23180011076787793,8.340562084403272e-26
29,29. Exciting,0.2305732331364395,1.5257178386629276e-25
6,6. Balanced,0.2189200726588655,3.973069121466067e-23
11,11. Innovative,0.20983021219902417,2.45204129376981e-21
43,43. Comprehensive,0.2054286562010548,1.687587546953384e-20
48,48. Structured,0.20493558598083209,2.0889654927507212e-20
41,41. Original,0.20361464088851752,3.689896794610869e-20
46,46. To the point,0.18794728108418676,2.3378835501690484e-17
3,3. Well-sourced,0.17495360950813513,3.270619919914897e-15
9,9. Concise,0.17385340007687444,4.8866126488306875e-15
16,16. Replicable,0.17293198077346686,6.826140391731753e-15
36,36. Accessible,0.15963158336646216,6.942178469411275e-13
53,53. Objective,0.15325709179539684,5.566602955256214e-12
40,40. Easy to understand,0.1433262650943897,1.2025677032449038e-10
14,14. Rigorous,0.1244163701893203,2.3736856730128606e-08
17,17. Provocative,0.1237325676689433,2.8343409285073527e-08
27,27. Methodical,0.11901865033137603,9.380521922773005e-08
19,19. Empirical,0.11685298628032471,1.6012544277058828e-07
34,34. Hypothesis-driven,0.09496405929963012,2.1009504677207805e-05
39,39. Interdisciplinary,0.08478134116866101,0.00014704808144308558
8,8. Ethical,0.03329931699149583,0.13657361851732205
51,51. Controversial,0.03023027863643312,0.17656643674777822
5,5. Technical,0.02917070878856162,0.19222824219729984
23,23. Nontechnical,-0.007242937293026698,0.7461532500408112
30,30. Speculation-driven,-0.03722607155265011,0.09604518426438811
55,55. Unethical,-0.04196388036822189,0.060609291313585965
59,59. Theoretical,-0.04764036994166422,0.03313697091144137
26,26. Narrow,-0.08009588706246791,0.0003364082499190837
12,12. Subjective,-0.0860956931895811,0.00011569698802978864
45,45. Conventional,-0.10032261499514095,6.953625794921654e-06
2,2. Haphazard,-0.10686304693557627,1.669527136220415e-06
44,44. Verbose,-0.11549497940003764,2.2283557154284312e-07
47,47. Unprovocative,-0.11621121930868003,1.8727878202922856e-07
54,54. Derivative,-0.12052875295114625,6.424669800743305e-08
10,10. Unreliable,-0.12803143603790385,9.147588971037756e-09
50,50. Irrelevant,-0.1284300069158449,8.221270710294921e-09
52,52. Non-replicable,-0.13067229185138995,4.481752374864362e-09
21,21. Poorly-sourced,-0.13532256117129415,1.2322290310692705e-09
24,24. Unstructured,-0.13695171468679945,7.756377081766914e-10
18,18. Inaccessible,-0.1422673170964954,1.6486614360196554e-10
13,13. Circumlocutory,-0.1428587712621692,1.3826924783698388e-10
49,49. Difficult to understand,-0.14367264580862277,1.0841009310153413e-10
32,32. Lax,-0.14784235683967314,3.0503576302325035e-11
57,57. Incoherent,-0.14831456126372572,2.636263504692299e-11
38,38. Not well written,-0.14931107311710184,1.934673758352656e-11
35,35. Inconsequential,-0.15965466922587027,6.888959175395744e-13
42,42. Unbalanced,-0.1615879306318271,3.6018789838120204e-13
7,7. Superficial,-0.1630708347540591,2.1785632266424434e-13
58,58. Uninsightful,-0.1780058734163066,1.0590286084808137e-15
28,28. Unconvincing,-0.18640130058819865,4.290625771450742e-17
15,15. Dull,-0.20551424787858888,1.6261346532947545e-20
4,4. Disengaging,-0.21677032315854827,1.071361780130914e-22
