No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Insightful,77.16,4.1,0.255,-0.085,0.84
2,2. Haphazard,10.58,2.41,-0.817,-0.016,-0.104
3,3. Well-sourced,49.69,11.82,0.25,0.095,0.46
4,4. Disengaging,14.55,3.15,-0.671,-0.145,-0.339
5,5. Technical,87.75,3.3,0.238,-0.725,0.188
6,6. Balanced,67.0,4.55,0.406,0.106,0.602
7,7. Superficial,19.66,3.28,-0.608,0.224,-0.359
8,8. Ethical,46.05,10.98,0.052,-0.014,0.298
9,9. Concise,78.54,8.96,0.62,0.372,-0.02
10,10. Unreliable,11.34,3.18,-0.805,0.014,-0.083
11,11. Innovative,80.81,5.4,0.193,-0.207,0.774
12,12. Subjective,19.73,3.47,-0.636,0.317,0.159
13,13. Circumlocutory,12.05,4.29,-0.712,-0.369,0.038
14,14. Rigorous,74.64,5.61,0.469,-0.491,0.374
15,15. Dull,19.72,3.22,-0.473,-0.206,-0.435
16,16. Replicable,64.68,5.68,0.468,-0.044,0.304
17,17. Provocative,42.51,10.39,-0.286,0.268,0.559
18,18. Inaccessible,37.73,14.03,-0.133,-0.863,-0.077
19,19. Empirical,68.18,11.87,0.185,0.247,0.298
20,20. Coherent,82.04,3.62,0.667,0.163,0.442
21,21. Poorly-sourced,10.76,2.94,-0.835,-0.004,-0.096
22,22. Impactful,73.33,5.16,0.261,0.02,0.853
23,23. Nontechnical,13.98,4.52,-0.316,0.618,0.008
24,24. Unstructured,10.58,2.52,-0.845,-0.073,-0.093
25,25. Engaging,57.53,8.02,0.021,0.463,0.743
26,26. Narrow,38.47,4.94,-0.034,-0.077,-0.408
27,27. Methodical,77.09,4.58,0.537,-0.417,0.34
28,28. Unconvincing,15.26,2.94,-0.822,-0.001,-0.22
29,29. Exciting,57.9,8.85,-0.056,0.215,0.837
30,30. Speculation-driven,20.32,5.23,-0.67,0.219,0.242
31,31. Relevant,88.41,2.93,0.441,0.2,0.552
32,32. Lax,13.25,3.5,-0.796,0.176,-0.185
33,33. Well written,77.52,4.75,0.677,0.333,0.394
34,34. Hypothesis-driven,59.97,6.75,0.04,0.073,0.369
35,35. Inconsequential,11.56,3.14,-0.628,0.021,-0.442
36,36. Accessible,52.2,11.29,0.119,0.891,0.13
37,37. Authoritative,68.94,5.08,0.519,-0.261,0.562
38,38. Not well written,10.39,2.5,-0.768,-0.06,-0.117
39,39. Interdisciplinary,35.84,12.65,-0.144,0.055,0.366
40,40. Easy to understand,48.09,12.43,0.092,0.896,0.1
41,41. Original,77.19,5.28,0.164,-0.242,0.788
42,42. Unbalanced,13.92,3.51,-0.779,0.133,-0.238
43,43. Comprehensive,62.1,6.73,0.297,-0.152,0.621
44,44. Verbose,15.31,6.38,-0.624,-0.392,0.099
45,45. Conventional,24.88,6.41,-0.135,0.342,-0.49
46,46. To the point,76.16,7.57,0.64,0.37,0.015
47,47. Unprovocative,21.26,5.73,-0.19,-0.126,-0.476
48,48. Structured,82.61,3.55,0.747,-0.005,0.342
49,49. Difficult to understand,30.55,18.08,-0.143,-0.868,-0.064
50,50. Irrelevant,7.0,2.54,-0.444,0.067,-0.227
51,51. Controversial,16.23,7.78,-0.376,0.304,0.256
52,52. Non-replicable,17.03,4.15,-0.716,-0.04,-0.094
53,53. Objective,75.03,5.26,0.629,-0.269,0.144
54,54. Derivative,19.75,4.45,-0.317,0.338,-0.554
55,55. Unethical,4.91,3.41,-0.332,0.145,0.198
56,56. Persuasive,68.83,4.59,0.386,0.069,0.778
57,57. Incoherent,10.21,1.85,-0.755,-0.105,-0.108
58,58. Uninsightful,11.11,2.76,-0.76,0.027,-0.339
59,59. Theoretical,64.05,14.64,0.019,-0.605,0.041
60,60. Exciting,61.18,9.27,-0.047,0.228,0.839
