Dataset,Split,Model,Component,antonym_r
naidv1,train,GPT,Quality & Reliability,-0.845
naidv1,train,GPT,Accessibility & Understandability,-0.877
naidv1,train,GPT,Novelty & Engagement,-0.777
naidv1,train,Deepseek,Quality & Reliability,-0.843
naidv1,train,Deepseek,Accessibility & Understandability,-0.811
naidv1,train,Deepseek,Novelty & Engagement,-0.855
naidv1,train,Llama-3.1,Quality & Reliability,-0.71
naidv1,train,Llama-3.1,Accessibility & Understandability,-0.751
naidv1,train,Llama-3.1,Novelty & Engagement,0.294
naidv1,train,Llama-3.3,Quality & Reliability,-0.461
naidv1,train,Llama-3.3,Accessibility & Understandability,-0.792
naidv1,train,Llama-3.3,Novelty & Engagement,-0.546
naidv1,test,GPT,Quality & Reliability,-0.864
naidv1,test,GPT,Accessibility & Understandability,-0.873
naidv1,test,GPT,Novelty & Engagement,-0.768
naidv1,test,Deepseek,Quality & Reliability,-0.846
naidv1,test,Deepseek,Accessibility & Understandability,-0.786
naidv1,test,Deepseek,Novelty & Engagement,-0.861
naidv1,test,Llama-3.1,Quality & Reliability,-0.707
naidv1,test,Llama-3.1,Accessibility & Understandability,-0.748
naidv1,test,Llama-3.1,Novelty & Engagement,0.26
naidv1,test,Llama-3.3,Quality & Reliability,-0.474
naidv1,test,Llama-3.3,Accessibility & Understandability,-0.79
naidv1,test,Llama-3.3,Novelty & Engagement,-0.582
naidv2,train,GPT,Quality & Reliability,-0.806
naidv2,train,GPT,Accessibility & Understandability,-0.863
naidv2,train,GPT,Novelty & Engagement,-0.831
naidv2,train,Deepseek,Quality & Reliability,-0.847
naidv2,train,Deepseek,Accessibility & Understandability,-0.871
naidv2,train,Deepseek,Novelty & Engagement,-0.886
naidv2,train,Llama-3.1,Quality & Reliability,-0.662
naidv2,train,Llama-3.1,Accessibility & Understandability,-0.785
naidv2,train,Llama-3.1,Novelty & Engagement,0.128
naidv2,train,Llama-3.3,Quality & Reliability,-0.266
naidv2,train,Llama-3.3,Accessibility & Understandability,-0.565
naidv2,train,Llama-3.3,Novelty & Engagement,-0.293
naidv2,test,GPT,Quality & Reliability,-0.8
naidv2,test,GPT,Accessibility & Understandability,-0.852
naidv2,test,GPT,Novelty & Engagement,-0.861
naidv2,test,Deepseek,Quality & Reliability,-0.831
naidv2,test,Deepseek,Accessibility & Understandability,-0.867
naidv2,test,Deepseek,Novelty & Engagement,-0.86
naidv2,test,Llama-3.1,Quality & Reliability,-0.693
naidv2,test,Llama-3.1,Accessibility & Understandability,-0.805
naidv2,test,Llama-3.1,Novelty & Engagement,-0.297
naidv2,test,Llama-3.3,Quality & Reliability,-0.224
naidv2,test,Llama-3.3,Accessibility & Understandability,-0.536
naidv2,test,Llama-3.3,Novelty & Engagement,-0.376
