No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Insightful,80.17,1.35,0.218,0.232,0.116
2,2. Haphazard,10.08,0.9,-0.063,-0.125,-0.149
3,3. Well-sourced,70.6,3.32,0.112,0.198,0.07
4,4. Disengaging,19.9,1.21,-0.059,0.035,0.057
5,5. Technical,89.98,1.36,0.067,0.115,0.097
6,6. Balanced,71.98,9.63,-0.177,0.674,0.182
7,7. Superficial,28.01,5.99,-0.452,-0.259,0.278
8,8. Ethical,64.28,12.27,0.13,0.286,0.182
9,9. Concise,77.16,6.9,-0.375,0.313,-0.189
10,10. Unreliable,10.72,1.89,-0.639,0.314,-0.072
11,11. Innovative,82.44,5.44,-0.009,0.045,0.776
12,12. Subjective,24.48,8.33,-0.506,0.334,-0.092
13,13. Circumlocutory,30.53,12.09,-0.069,-0.54,0.417
14,14. Rigorous,82.91,3.53,0.238,0.588,-0.02
15,15. Dull,14.12,5.83,-0.73,0.148,-0.099
16,16. Replicable,75.16,5.26,0.038,0.655,0.224
17,17. Provocative,58.84,3.96,-0.029,0.161,0.695
18,18. Inaccessible,22.45,7.02,-0.711,-0.144,-0.028
19,19. Empirical,77.78,7.16,-0.053,0.222,0.373
20,20. Coherent,87.44,3.15,-0.028,0.716,0.139
21,21. Poorly-sourced,9.97,0.56,-0.255,-0.192,-0.062
22,22. Impactful,76.62,5.6,0.042,0.301,0.77
23,23. Nontechnical,11.11,3.14,-0.63,0.292,-0.039
24,24. Unstructured,16.84,4.99,-0.511,-0.462,0.279
25,25. Engaging,67.08,5.58,-0.1,0.558,0.515
26,26. Narrow,39.14,4.08,-0.688,-0.051,0.154
27,27. Methodical,82.89,3.21,0.036,0.745,0.175
28,28. Unconvincing,15.45,5.4,-0.73,0.002,-0.113
29,29. Exciting,62.49,7.84,-0.031,0.14,0.731
30,30. Speculation-driven,14.92,6.02,-0.329,-0.146,0.383
31,31. Relevant,86.77,4.4,0.154,0.425,0.608
32,32. Lax,12.25,4.5,-0.693,-0.027,-0.123
33,33. Well written,85.78,2.89,-0.018,0.624,0.155
34,34. Hypothesis-driven,78.5,3.97,0.01,0.366,0.583
35,35. Inconsequential,10.92,2.99,-0.69,0.101,-0.119
36,36. Accessible,71.97,8.04,-0.171,0.672,0.306
37,37. Authoritative,82.49,3.35,0.069,0.733,0.254
38,38. Not well written,10.0,0.6,-0.457,-0.123,-0.033
39,39. Interdisciplinary,56.03,6.37,-0.035,0.371,0.541
40,40. Easy to understand,63.63,9.72,-0.288,0.644,0.254
41,41. Original,77.91,5.14,0.032,0.203,0.779
42,42. Unbalanced,18.3,4.58,-0.712,-0.355,0.229
43,43. Comprehensive,76.38,5.79,-0.01,0.586,0.382
44,44. Verbose,25.89,5.87,-0.621,-0.346,0.41
45,45. Conventional,37.64,6.16,-0.635,0.049,0.152
46,46. To the point,80.34,3.99,-0.299,0.556,0.099
47,47. Unprovocative,26.92,8.59,-0.591,0.037,-0.331
48,48. Structured,85.26,3.92,0.126,0.77,0.095
49,49. Difficult to understand,22.4,6.94,-0.364,-0.433,0.034
50,50. Irrelevant,10.09,1.22,-0.574,-0.024,-0.019
51,51. Controversial,23.16,6.89,-0.241,0.025,0.086
52,52. Non-replicable,10.41,1.96,-0.763,0.113,-0.002
53,53. Objective,82.05,3.49,0.182,0.616,0.104
54,54. Derivative,26.59,5.48,-0.707,-0.055,0.123
55,55. Unethical,5.7,4.78,-0.104,0.104,0.092
56,56. Persuasive,73.45,5.9,0.005,0.642,0.544
57,57. Incoherent,10.18,1.49,-0.678,-0.002,0.003
58,58. Uninsightful,14.72,5.14,-0.716,-0.016,-0.039
59,59. Theoretical,71.95,8.31,0.096,0.087,0.014
60,60. Exciting,63.03,7.91,-0.017,0.107,0.757
