No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Circumlocutory,13.38,6.94,-0.475,-0.537,-0.101
2,2. Empirical,70.64,18.59,0.557,0.157,0.198
3,3. Well written,73.71,6.73,0.48,0.419,0.592
4,4. Dull,19.14,9.03,-0.385,-0.136,-0.739
5,5. Easy to understand,61.5,13.58,0.048,0.942,-0.039
6,6. Unethical,0.09,1.21,-0.13,0.024,0.133
7,7. Speculation-driven,20.16,9.52,-0.745,-0.157,0.208
8,8. Unprovocative,30.12,17.05,-0.177,0.05,-0.737
9,9. Nontechnical,23.64,11.37,-0.38,0.658,-0.211
10,10. Poorly-sourced,27.91,11.78,-0.2,0.023,-0.179
11,11. Narrow,40.23,7.34,-0.06,0.024,-0.626
12,12. Inconsequential,23.08,7.57,-0.475,-0.019,-0.714
13,13. Unreliable,27.12,13.55,-0.32,-0.058,-0.291
14,14. Unbalanced,48.42,21.17,0.08,0.078,-0.176
15,15. Derivative,28.93,6.52,-0.311,0.027,-0.681
16,16. Incoherent,16.14,17.86,-0.147,-0.073,-0.184
17,17. Unstructured,16.72,17.78,-0.176,-0.071,-0.198
18,18. Non-replicable,51.37,16.16,0.541,0.175,-0.039
19,19. Subjective,17.88,7.41,-0.846,0.006,-0.043
20,20. Irrelevant,8.35,4.5,-0.447,-0.091,-0.24
21,21. Uninsightful,28.26,7.6,-0.372,0.01,-0.46
22,22. Superficial,29.02,6.97,-0.516,0.159,-0.686
23,23. Unconvincing,30.08,11.73,-0.305,-0.036,-0.352
24,24. Verbose,22.13,9.49,-0.461,-0.607,-0.154
25,25. Haphazard,12.43,5.69,-0.61,-0.333,-0.317
26,26. Inaccessible,28.88,13.97,-0.027,-0.908,0.008
27,27. Conventional,43.5,12.55,-0.001,0.277,-0.81
28,28. Lax,15.26,7.11,-0.661,-0.079,-0.421
29,29. Uncontroversial,44.76,19.94,0.034,0.158,-0.817
30,30. Disengaging,25.07,8.4,-0.387,-0.197,-0.774
31,31. To the point,70.83,9.05,0.48,0.72,0.175
32,32. Theoretical,50.11,17.67,-0.278,-0.57,0.223
33,33. Not well written,12.46,6.75,-0.536,-0.392,-0.374
34,34. Exciting,47.61,11.1,-0.031,0.101,0.853
35,35. Difficult to understand,31.24,16.72,-0.019,-0.931,0.09
36,36. Ethical,98.73,3.67,0.41,-0.209,-0.044
37,37. Hypothesis-driven,51.24,13.89,0.085,-0.161,0.401
38,38. Provocative,36.97,10.98,-0.377,-0.055,0.774
39,39. Technical,77.22,9.84,0.504,-0.601,0.276
40,40. Well-sourced,44.24,13.2,0.438,0.035,0.168
41,41. Interdisciplinary,31.52,12.98,-0.453,0.079,0.295
42,42. Impactful,62.87,9.09,0.259,0.072,0.8
43,43. Authoritative,59.28,7.57,0.6,-0.023,0.439
44,44. Balanced,63.08,8.15,0.514,0.255,0.17
45,45. Original,62.9,10.25,0.096,-0.181,0.817
46,46. Coherent,79.01,6.23,0.596,0.406,0.398
47,47. Structured,78.33,6.25,0.669,0.352,0.345
48,48. Replicable,55.99,12.25,0.695,0.203,0.06
49,49. Objective,72.64,7.74,0.859,0.073,0.093
50,50. Relevant,89.47,4.05,0.494,0.2,0.376
51,51. Insightful,62.44,6.87,0.206,-0.054,0.804
52,52. Comprehensive,54.31,7.69,0.359,-0.031,0.506
53,53. Persuasive,59.74,7.77,0.412,0.079,0.69
54,54. Concise,67.26,11.5,0.362,0.735,0.073
55,55. Methodical,71.58,7.43,0.79,0.066,0.314
56,56. Accessible,62.16,12.83,0.015,0.941,-0.033
57,57. Innovative,65.11,11.75,0.065,-0.19,0.831
58,58. Rigorous,65.93,9.04,0.726,-0.205,0.425
59,59. Controversial,16.07,9.4,-0.5,0.009,0.429
60,60. Engaging,57.9,8.6,0.029,0.294,0.831
