No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Circumlocutory,1.37,4.41,-0.053,-0.814,0.045
2,2. Empirical,73.21,23.58,0.529,0.013,0.219
3,3. Well written,90.83,15.4,0.964,0.029,0.079
4,4. Dull,0.56,2.16,-0.061,-0.841,0.04
5,5. Easy to understand,88.0,14.81,0.972,0.023,-0.001
6,6. Unethical,0.09,2.17,-0.014,-0.08,0.024
7,7. Speculation-driven,0.63,3.21,-0.031,-0.842,0.024
8,8. Unprovocative,3.94,14.73,-0.041,-0.437,0.085
9,9. Nontechnical,1.14,6.64,-0.036,-0.615,-0.001
10,10. Poorly-sourced,0.16,3.22,-0.004,-0.089,0.013
11,11. Narrow,18.18,11.76,0.211,-0.392,0.381
12,12. Inconsequential,0.88,3.69,-0.037,-0.924,0.035
13,13. Unreliable,0.87,4.15,-0.053,-0.882,0.02
14,14. Unbalanced,2.22,8.46,-0.048,-0.834,0.04
15,15. Derivative,1.32,6.15,-0.041,-0.743,0.019
16,16. Incoherent,0.26,1.47,-0.071,-0.798,-0.015
17,17. Unstructured,0.86,4.65,-0.049,-0.661,0.024
18,18. Non-replicable,0.25,2.67,-0.037,-0.339,-0.041
19,19. Subjective,1.09,5.15,-0.056,-0.847,0.015
20,20. Irrelevant,0.37,1.9,-0.051,-0.865,0.004
21,21. Uninsightful,2.61,10.64,-0.016,-0.666,0.063
22,22. Superficial,0.89,3.83,-0.04,-0.938,0.033
23,23. Unconvincing,1.14,5.1,-0.05,-0.926,0.027
24,24. Verbose,2.07,7.52,-0.071,-0.921,0.018
25,25. Haphazard,0.45,2.36,-0.049,-0.899,-0.001
26,26. Inaccessible,0.64,3.09,-0.075,-0.89,-0.001
27,27. Conventional,11.6,22.78,0.023,-0.398,0.034
28,28. Lax,0.72,3.19,-0.094,-0.943,0.01
29,29. Uncontroversial,1.92,8.82,-0.056,-0.652,0.036
30,30. Disengaging,1.13,5.1,-0.042,-0.909,0.026
31,31. To the point,91.58,15.4,0.983,0.051,0.044
32,32. Theoretical,42.99,37.33,0.155,-0.078,0.439
33,33. Not well written,2.24,4.08,0.04,-0.267,-0.118
34,34. Exciting,63.83,31.78,0.301,-0.061,0.752
35,35. Difficult to understand,2.14,4.93,0.006,-0.583,0.1
36,36. Ethical,93.19,17.06,0.925,0.095,0.05
37,37. Hypothesis-driven,66.35,33.54,0.311,-0.025,0.558
38,38. Provocative,52.55,38.47,0.169,-0.121,0.744
39,39. Technical,90.24,17.09,0.892,0.026,0.118
40,40. Well-sourced,93.99,16.08,0.974,0.067,0.015
41,41. Interdisciplinary,49.55,35.2,0.194,-0.093,0.73
42,42. Impactful,84.15,18.11,0.8,0.013,0.299
43,43. Authoritative,90.46,16.43,0.939,0.029,0.11
44,44. Balanced,91.98,16.31,0.963,0.133,0.008
45,45. Original,67.98,29.71,0.375,0.012,0.707
46,46. Coherent,92.1,15.41,0.987,0.005,0.025
47,47. Structured,91.68,15.61,0.982,0.052,0.036
48,48. Replicable,90.36,20.75,0.75,-0.003,0.137
49,49. Objective,90.44,16.49,0.93,0.074,0.028
50,50. Relevant,92.61,15.88,0.972,0.047,0.004
51,51. Insightful,89.62,15.98,0.959,0.06,0.059
52,52. Comprehensive,82.76,17.1,0.849,-0.019,0.13
53,53. Persuasive,90.22,16.38,0.954,0.043,0.087
54,54. Concise,92.0,15.39,0.987,0.004,0.034
55,55. Methodical,86.61,17.01,0.896,0.057,0.08
56,56. Accessible,88.81,17.36,0.882,0.088,0.098
57,57. Innovative,77.0,22.85,0.579,-0.05,0.446
58,58. Rigorous,91.06,15.81,0.979,0.009,0.066
59,59. Controversial,7.45,20.31,0.009,-0.527,0.225
60,60. Engaging,89.09,16.44,0.935,0.037,0.138
