No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,Engaging,57.12,8.46,-0.044,0.471,0.661
2,Controversial,21.58,10.18,-0.305,0.393,0.462
3,Rigorous,80.79,4.23,0.595,-0.454,0.21
4,Innovative,79.89,5.94,0.119,-0.189,0.733
5,Accessible,55.36,11.49,0.079,0.893,0.181
6,Methodical,80.0,3.76,0.594,-0.039,0.085
7,Concise,75.63,8.35,0.469,0.605,-0.068
8,Persuasive,68.69,4.87,0.296,0.307,0.672
9,Comprehensive,68.34,6.55,0.299,-0.112,0.412
10,Insightful,71.45,5.46,0.195,0.068,0.744
11,Relevant,88.47,3.21,0.357,0.204,0.423
12,Objective,79.64,3.49,0.701,-0.011,0.143
13,Replicable,69.69,5.71,0.573,0.19,-0.004
14,Structured,83.36,3.56,0.727,0.107,0.151
15,Coherent,81.94,4.42,0.642,0.413,0.31
16,Original,76.74,6.26,0.084,-0.17,0.779
17,Balanced,76.27,4.72,0.695,0.179,0.055
18,Authoritative,75.11,4.15,0.62,-0.203,0.444
19,Impactful,75.32,6.31,0.175,0.115,0.816
20,Interdisciplinary,47.75,12.51,-0.023,0.086,0.577
21,Well-sourced,52.3,9.24,0.369,0.246,0.324
22,Technical,90.14,3.5,0.396,-0.662,0.092
23,Provocative,23.8,12.34,-0.329,0.369,0.505
24,Hypothesis-driven,58.65,8.78,-0.001,0.186,0.308
25,Ethical,70.67,9.96,0.249,0.293,0.124
26,Difficult to understand,39.29,15.58,-0.102,-0.906,-0.049
27,Exciting,57.76,10.25,-0.034,0.395,0.786
28,Not well written,10.35,2.72,-0.767,-0.198,-0.056
29,Theoretical,71.93,12.77,0.069,-0.581,0.035
30,To the point,79.98,7.32,0.504,0.597,-0.042
31,Disengaging,10.51,2.58,-0.682,-0.257,-0.124
32,Uncontroversial,74.73,10.98,0.324,-0.264,-0.374
33,Lax,10.49,2.32,-0.759,-0.047,-0.108
34,Conventional,20.22,5.13,-0.172,0.289,-0.581
35,Inaccessible,29.81,17.95,-0.079,-0.873,-0.071
36,Haphazard,10.24,2.12,-0.799,-0.089,-0.054
37,Verbose,17.48,7.47,-0.483,-0.555,0.129
38,Unconvincing,16.07,3.11,-0.743,-0.076,-0.278
39,Superficial,19.13,3.54,-0.649,0.198,-0.355
40,Uninsightful,15.38,3.38,-0.628,0.078,-0.449
41,Irrelevant,9.21,1.95,-0.504,0.133,-0.176
42,Subjective,17.77,4.22,-0.663,0.199,0.158
43,Non-replicable,18.47,4.04,-0.676,-0.086,0.039
44,Unstructured,10.17,2.09,-0.804,-0.111,-0.057
45,Incoherent,10.23,2.42,-0.792,-0.196,-0.091
46,Derivative,17.78,4.08,-0.266,0.289,-0.589
47,Unbalanced,13.41,3.71,-0.75,0.071,-0.009
48,Unreliable,14.06,3.42,-0.774,0.168,-0.175
49,Inconsequential,17.08,4.18,-0.439,0.07,-0.531
50,Narrow,36.16,5.18,-0.15,-0.019,-0.539
51,Poorly-sourced,17.76,4.38,-0.434,0.147,0.074
52,Nontechnical,9.13,2.3,-0.473,0.529,0.037
53,Unprovocative,65.36,24.84,0.275,-0.185,-0.375
54,Speculation-driven,19.32,4.85,-0.656,0.211,0.166
55,Unethical,7.85,3.5,-0.351,0.296,0.01
56,Easy to understand,59.82,15.23,0.09,0.911,0.075
57,Dull,20.02,3.97,-0.302,-0.145,-0.548
58,Well written,80.59,4.78,0.676,0.405,0.274
59,Empirical,71.92,11.89,0.145,0.351,0.218
60,Circumlocutory,12.99,5.76,-0.59,-0.418,0.084
