No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,Engaging,58.16,8.37,-0.053,0.485,0.664
2,Controversial,21.94,10.75,-0.305,0.416,0.438
3,Rigorous,80.7,4.12,0.582,-0.444,0.198
4,Innovative,80.31,5.85,0.083,-0.173,0.748
5,Accessible,56.41,11.55,0.076,0.892,0.188
6,Methodical,80.13,3.66,0.592,-0.009,0.083
7,Concise,75.74,8.36,0.456,0.621,-0.087
8,Persuasive,69.02,4.92,0.244,0.298,0.674
9,Comprehensive,69.15,6.82,0.306,-0.081,0.44
10,Insightful,71.93,5.52,0.181,0.126,0.741
11,Relevant,88.76,3.12,0.355,0.233,0.436
12,Objective,79.64,3.44,0.7,0.017,0.109
13,Replicable,69.65,5.77,0.574,0.212,-0.009
14,Structured,83.6,3.43,0.71,0.142,0.163
15,Coherent,82.29,4.4,0.61,0.457,0.309
16,Original,77.14,6.15,0.065,-0.155,0.785
17,Balanced,76.41,4.62,0.689,0.201,0.045
18,Authoritative,75.32,4.03,0.592,-0.19,0.467
19,Impactful,75.92,6.31,0.148,0.141,0.825
20,Interdisciplinary,49.3,12.84,-0.033,0.148,0.586
21,Well-sourced,52.95,9.29,0.36,0.274,0.314
22,Technical,89.95,3.63,0.369,-0.673,0.072
23,Provocative,24.13,12.82,-0.327,0.394,0.477
24,Hypothesis-driven,58.19,9.16,-0.041,0.159,0.271
25,Ethical,70.83,9.85,0.234,0.336,0.145
26,Difficult to understand,37.83,15.57,-0.116,-0.898,-0.063
27,Exciting,58.88,10.08,-0.054,0.395,0.784
28,Not well written,10.24,2.7,-0.739,-0.228,-0.076
29,Theoretical,70.07,13.34,0.027,-0.563,-0.014
30,To the point,80.08,7.31,0.488,0.61,-0.064
31,Disengaging,10.38,2.46,-0.674,-0.272,-0.134
32,Uncontroversial,74.53,11.71,0.321,-0.285,-0.367
33,Lax,10.39,2.15,-0.739,-0.078,-0.12
34,Conventional,19.97,5.05,-0.163,0.272,-0.594
35,Inaccessible,28.52,17.5,-0.083,-0.864,-0.078
36,Haphazard,10.15,2.05,-0.787,-0.129,-0.063
37,Verbose,17.56,7.6,-0.47,-0.572,0.152
38,Unconvincing,15.96,3.06,-0.725,-0.073,-0.291
39,Superficial,18.94,3.58,-0.645,0.192,-0.368
40,Uninsightful,15.2,3.34,-0.618,0.063,-0.459
41,Irrelevant,9.14,1.98,-0.525,0.109,-0.181
42,Subjective,17.93,4.24,-0.668,0.182,0.174
43,Non-replicable,18.53,4.03,-0.686,-0.105,0.043
44,Unstructured,10.08,2.04,-0.793,-0.148,-0.062
45,Incoherent,10.14,2.37,-0.779,-0.226,-0.095
46,Derivative,17.6,4.04,-0.259,0.283,-0.595
47,Unbalanced,13.44,3.63,-0.742,0.061,0.003
48,Unreliable,14.04,3.35,-0.76,0.179,-0.177
49,Inconsequential,16.76,4.28,-0.437,0.062,-0.533
50,Narrow,35.66,5.34,-0.166,-0.039,-0.541
51,Poorly-sourced,17.8,4.33,-0.457,0.12,0.06
52,Nontechnical,9.24,2.37,-0.454,0.535,0.064
53,Unprovocative,65.42,24.87,0.265,-0.205,-0.363
54,Speculation-driven,19.54,4.85,-0.662,0.213,0.191
55,Unethical,7.89,3.45,-0.376,0.273,0.033
56,Easy to understand,61.17,15.14,0.097,0.907,0.085
57,Dull,19.73,3.88,-0.298,-0.167,-0.544
58,Well written,80.95,4.72,0.642,0.452,0.279
59,Empirical,72.12,11.75,0.155,0.34,0.224
60,Circumlocutory,13.08,5.94,-0.568,-0.435,0.124
