No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Circumlocutory,14.94,5.0,0.215,-0.232,-0.235
2,2. Empirical,78.68,7.04,-0.067,0.431,0.345
3,3. Well written,89.07,2.74,0.011,0.421,0.601
4,4. Dull,11.74,4.12,-0.242,0.103,0.03
5,5. Easy to understand,67.93,7.62,-0.01,0.811,0.072
6,6. Unethical,0.26,3.23,-0.051,0.009,0.025
7,7. Speculation-driven,16.33,6.93,-0.29,-0.133,0.156
8,8. Unprovocative,27.85,7.72,-0.427,0.045,0.02
9,9. Nontechnical,10.68,3.17,-0.161,0.164,-0.014
10,10. Poorly-sourced,19.41,33.24,-0.286,0.018,0.088
11,11. Narrow,34.58,6.63,-0.617,0.093,0.007
12,12. Inconsequential,17.65,4.35,-0.865,0.024,-0.106
13,13. Unreliable,7.99,3.97,-0.925,0.013,-0.076
14,14. Unbalanced,18.48,6.19,-0.717,-0.043,-0.005
15,15. Derivative,32.52,6.79,-0.469,-0.132,-0.11
16,16. Incoherent,8.01,3.92,-0.924,0.008,-0.075
17,17. Unstructured,8.59,4.51,-0.886,-0.101,-0.078
18,18. Non-replicable,18.44,4.98,-0.883,-0.093,-0.068
19,19. Subjective,17.32,6.71,-0.526,0.044,-0.107
20,20. Irrelevant,8.05,3.9,-0.921,-0.006,-0.087
21,21. Uninsightful,18.16,4.72,-0.925,-0.035,-0.066
22,22. Superficial,27.38,6.04,-0.851,-0.043,-0.076
23,23. Unconvincing,17.62,4.37,-0.899,-0.014,-0.097
24,24. Verbose,37.23,6.45,-0.588,-0.222,-0.0
25,25. Haphazard,10.03,1.94,-0.364,-0.148,-0.007
26,26. Inaccessible,19.43,4.83,-0.534,-0.52,0.025
27,27. Conventional,42.9,6.81,-0.378,0.205,-0.182
28,28. Lax,10.45,3.4,-0.337,-0.137,-0.064
29,29. Uncontroversial,67.98,18.46,0.096,0.14,-0.078
30,30. Disengaging,15.42,5.05,-0.595,0.001,-0.166
31,31. To the point,76.81,6.75,0.057,0.636,0.413
32,32. Theoretical,67.58,10.69,0.001,-0.607,0.189
33,33. Not well written,9.27,2.65,-0.581,-0.093,-0.072
34,34. Exciting,57.7,6.53,-0.005,0.026,0.641
35,35. Difficult to understand,32.98,7.71,-0.164,-0.81,0.036
36,36. Ethical,92.39,4.68,0.473,-0.108,0.185
37,37. Hypothesis-driven,79.34,3.62,0.105,-0.03,0.487
38,38. Provocative,48.69,8.69,-0.16,-0.314,0.425
39,39. Technical,84.6,5.01,0.279,-0.331,0.471
40,40. Well-sourced,87.57,4.62,0.139,0.255,0.501
41,41. Interdisciplinary,55.43,7.25,-0.109,-0.255,0.427
42,42. Impactful,72.47,6.49,0.153,-0.05,0.732
43,43. Authoritative,81.67,4.28,0.251,-0.138,0.625
44,44. Balanced,79.41,3.35,0.219,0.363,0.558
45,45. Original,67.17,6.2,0.053,-0.248,0.741
46,46. Coherent,89.67,2.52,0.192,0.383,0.674
47,47. Structured,89.47,2.84,0.204,0.398,0.679
48,48. Replicable,79.45,3.16,0.174,0.408,0.674
49,49. Objective,86.22,5.11,0.318,-0.042,0.367
50,50. Relevant,89.43,2.95,0.169,0.343,0.697
51,51. Insightful,79.6,2.9,0.158,0.254,0.713
52,52. Comprehensive,74.92,6.2,0.023,-0.058,0.673
53,53. Persuasive,74.02,5.71,0.029,0.15,0.666
54,54. Concise,75.81,7.18,-0.058,0.693,0.228
55,55. Methodical,88.45,3.68,0.025,0.343,0.586
56,56. Accessible,75.65,6.97,-0.01,0.757,0.279
57,57. Innovative,71.29,8.53,0.04,-0.267,0.711
58,58. Rigorous,87.38,4.43,0.013,-0.141,0.677
59,59. Controversial,24.71,8.35,-0.279,-0.138,0.104
60,60. Engaging,69.15,5.73,0.063,0.231,0.687
