No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,Engaging,55.83,16.74,-0.068,0.134,0.747
2,Controversial,18.53,9.42,-0.097,-0.277,0.481
3,Rigorous,80.48,4.64,0.068,0.134,0.481
4,Innovative,72.12,12.33,-0.074,0.146,0.763
5,Accessible,55.97,11.25,-0.057,0.629,0.019
6,Methodical,85.4,4.87,0.033,0.407,0.268
7,Concise,74.03,8.79,-0.036,0.712,0.032
8,Persuasive,60.1,11.87,-0.065,0.24,0.829
9,Comprehensive,73.54,9.31,0.045,0.169,0.548
10,Insightful,72.5,9.98,-0.025,0.041,0.835
11,Relevant,86.65,4.9,0.007,0.19,0.671
12,Objective,84.73,4.82,0.087,0.354,-0.157
13,Replicable,78.01,6.16,0.07,0.602,0.245
14,Structured,86.82,4.17,0.061,0.502,0.259
15,Coherent,90.53,3.68,0.052,0.561,0.322
16,Original,65.87,14.1,-0.056,0.12,0.806
17,Balanced,75.12,6.78,0.041,0.574,0.033
18,Authoritative,78.28,7.07,0.074,0.241,0.704
19,Impactful,66.47,11.57,-0.037,0.176,0.87
20,Interdisciplinary,41.03,12.39,-0.081,-0.063,0.552
21,Well-sourced,70.61,11.06,0.092,0.395,0.284
22,Technical,86.1,6.28,0.027,0.169,0.377
23,Provocative,26.91,9.71,-0.155,-0.125,0.768
24,Hypothesis-driven,66.28,12.23,-0.003,-0.051,0.676
25,Ethical,81.95,7.37,0.104,0.408,0.153
26,Difficult to understand,22.42,7.77,-0.168,-0.547,0.047
27,Exciting,47.51,12.19,-0.102,0.114,0.872
28,Not well written,10.33,2.28,-0.51,-0.343,0.05
29,Theoretical,62.52,12.41,-0.028,-0.379,0.485
30,To the point,77.76,6.68,-0.001,0.774,0.193
31,Disengaging,9.91,1.02,-0.785,-0.022,0.096
32,Uncontroversial,78.58,13.8,0.025,0.283,-0.408
33,Lax,9.91,1.02,-0.829,-0.021,0.107
34,Conventional,25.17,8.62,-0.094,0.133,-0.636
35,Inaccessible,17.81,6.41,-0.3,-0.389,0.021
36,Haphazard,9.89,1.03,-0.84,-0.024,0.099
37,Verbose,19.49,2.58,-0.451,-0.194,0.181
38,Unconvincing,18.66,3.78,-0.462,-0.002,-0.154
39,Superficial,21.32,7.0,-0.429,0.15,-0.529
40,Uninsightful,15.68,5.89,-0.266,-0.004,-0.674
41,Irrelevant,9.78,1.3,-0.774,-0.009,-0.103
42,Subjective,16.21,4.97,-0.299,-0.112,0.437
43,Non-replicable,11.15,3.52,-0.371,-0.164,-0.091
44,Unstructured,9.87,1.07,-0.856,-0.022,0.066
45,Incoherent,9.8,1.23,-0.84,-0.017,-0.02
46,Derivative,27.21,7.61,-0.135,0.091,-0.727
47,Unbalanced,18.35,4.07,-0.522,-0.023,-0.015
48,Unreliable,9.95,1.45,-0.718,-0.0,-0.047
49,Inconsequential,18.97,3.66,-0.438,0.054,-0.357
50,Narrow,34.43,5.59,-0.333,0.115,-0.461
51,Poorly-sourced,15.4,5.12,-0.384,0.0,-0.14
52,Nontechnical,13.06,5.54,-0.137,0.055,-0.291
53,Unprovocative,68.29,16.87,0.138,0.097,-0.689
54,Speculation-driven,10.11,1.68,-0.574,-0.053,0.025
55,Unethical,15.54,23.39,-0.03,-0.09,-0.162
56,Easy to understand,72.01,9.58,0.017,0.738,-0.09
57,Dull,26.14,6.38,-0.135,-0.078,-0.702
58,Well written,85.93,4.67,0.069,0.633,0.359
59,Empirical,73.62,12.57,0.04,0.583,0.309
60,Circumlocutory,19.85,3.22,-0.423,-0.34,0.118
