No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Insightful,83.83,4.03,0.386,-0.213,0.546
2,2. Haphazard,11.06,3.57,-0.545,-0.105,-0.25
3,3. Well-sourced,72.94,9.15,0.533,-0.023,0.102
4,4. Disengaging,15.88,4.9,-0.55,0.019,-0.336
5,5. Technical,82.55,7.51,0.323,-0.332,0.297
6,6. Balanced,76.06,4.56,0.432,0.065,0.524
7,7. Superficial,17.02,5.42,-0.593,0.17,-0.251
8,8. Ethical,81.17,9.37,0.533,-0.086,-0.107
9,9. Concise,73.84,5.31,0.379,0.461,0.341
10,10. Unreliable,13.09,4.59,-0.744,-0.101,-0.084
11,11. Innovative,83.04,5.87,0.289,-0.098,0.736
12,12. Subjective,22.29,7.16,-0.601,-0.125,-0.137
13,13. Circumlocutory,20.01,6.52,-0.629,-0.38,-0.103
14,14. Rigorous,81.11,4.93,0.621,-0.131,0.397
15,15. Dull,19.3,6.19,-0.495,0.038,-0.345
16,16. Replicable,76.6,6.03,0.66,0.057,0.162
17,17. Provocative,49.44,13.05,-0.426,0.129,0.61
18,18. Inaccessible,36.89,8.81,-0.293,-0.495,0.064
19,19. Empirical,78.75,8.16,0.54,0.114,0.122
20,20. Coherent,83.49,3.69,0.455,0.342,0.502
21,21. Poorly-sourced,13.74,4.98,-0.747,-0.049,-0.059
22,22. Impactful,79.1,4.82,0.392,0.027,0.735
23,23. Nontechnical,22.09,7.45,-0.455,0.121,-0.176
24,24. Unstructured,14.57,5.18,-0.631,-0.264,-0.292
25,25. Engaging,66.78,6.64,0.114,0.282,0.743
26,26. Narrow,33.08,7.07,-0.372,-0.026,-0.235
27,27. Methodical,81.24,4.48,0.588,0.05,0.406
28,28. Unconvincing,15.51,4.46,-0.769,-0.112,-0.214
29,29. Exciting,64.62,8.44,0.011,0.035,0.831
30,30. Speculation-driven,20.2,7.0,-0.713,-0.275,0.084
31,31. Relevant,86.86,3.6,0.448,0.165,0.513
32,32. Lax,15.14,4.81,-0.795,-0.047,-0.122
33,33. Well written,81.17,3.81,0.437,0.425,0.491
34,34. Hypothesis-driven,71.79,7.82,0.384,-0.152,0.318
35,35. Inconsequential,11.32,3.48,-0.729,-0.026,-0.261
36,36. Accessible,65.41,6.55,0.044,0.77,0.065
37,37. Authoritative,77.44,4.73,0.609,0.063,0.393
38,38. Not well written,13.34,3.78,-0.622,-0.291,-0.217
39,39. Interdisciplinary,57.63,9.37,-0.091,-0.12,0.337
40,40. Easy to understand,69.55,6.21,0.067,0.806,0.085
41,41. Original,80.18,5.85,0.208,-0.029,0.762
42,42. Unbalanced,18.46,4.24,-0.689,-0.215,-0.307
43,43. Comprehensive,73.95,5.54,0.52,0.016,0.459
44,44. Verbose,25.28,6.01,-0.581,-0.506,-0.115
45,45. Conventional,30.82,7.62,-0.218,-0.039,-0.571
46,46. To the point,77.2,5.52,0.289,0.596,0.404
47,47. Unprovocative,44.29,13.56,0.332,-0.343,-0.444
48,48. Structured,82.85,4.11,0.538,0.287,0.483
49,49. Difficult to understand,33.32,8.36,-0.176,-0.772,0.089
50,50. Irrelevant,9.88,2.81,-0.624,-0.08,-0.311
51,51. Controversial,32.82,10.04,-0.581,-0.033,0.303
52,52. Non-replicable,14.94,4.82,-0.796,-0.191,-0.095
53,53. Objective,80.13,5.03,0.695,0.057,0.161
54,54. Derivative,18.78,4.87,-0.533,-0.132,-0.435
55,55. Unethical,8.83,3.76,-0.562,0.074,0.01
56,56. Persuasive,72.62,5.4,0.364,-0.078,0.655
57,57. Incoherent,13.4,3.63,-0.71,-0.291,-0.232
58,58. Uninsightful,10.67,3.19,-0.645,-0.031,-0.372
59,59. Theoretical,53.94,13.92,-0.062,-0.589,0.179
60,60. Exciting,64.63,8.44,0.011,0.034,0.83
