No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Circumlocutory,1.12,3.96,-0.062,-0.81,0.05
2,2. Empirical,73.07,23.82,0.508,0.02,0.242
3,3. Well written,91.04,14.9,0.961,0.029,0.073
4,4. Dull,0.45,1.93,-0.069,-0.843,0.042
5,5. Easy to understand,88.29,14.3,0.964,0.025,-0.006
6,6. Unethical,0.06,1.71,-0.013,-0.079,0.017
7,7. Speculation-driven,0.51,2.98,-0.032,-0.795,0.021
8,8. Unprovocative,3.79,14.85,-0.038,-0.394,0.089
9,9. Nontechnical,0.88,5.85,-0.037,-0.563,0.002
10,10. Poorly-sourced,0.11,2.55,-0.006,-0.105,0.007
11,11. Narrow,18.48,11.74,0.215,-0.33,0.374
12,12. Inconsequential,0.73,3.37,-0.04,-0.907,0.041
13,13. Unreliable,0.7,3.59,-0.056,-0.87,0.019
14,14. Unbalanced,1.83,7.82,-0.047,-0.802,0.039
15,15. Derivative,1.12,6.03,-0.035,-0.678,-0.007
16,16. Incoherent,0.19,1.25,-0.079,-0.777,-0.021
17,17. Unstructured,0.64,3.84,-0.056,-0.687,0.009
18,18. Non-replicable,0.24,2.94,-0.03,-0.269,-0.059
19,19. Subjective,0.88,4.64,-0.053,-0.815,0.003
20,20. Irrelevant,0.29,1.69,-0.054,-0.858,-0.0
21,21. Uninsightful,2.35,10.22,-0.018,-0.598,0.093
22,22. Superficial,0.72,3.43,-0.043,-0.931,0.031
23,23. Unconvincing,0.93,4.61,-0.054,-0.907,0.028
24,24. Verbose,1.74,6.78,-0.072,-0.913,0.01
25,25. Haphazard,0.35,2.08,-0.052,-0.893,-0.005
26,26. Inaccessible,0.51,2.82,-0.077,-0.815,-0.014
27,27. Conventional,10.69,22.18,0.024,-0.384,0.015
28,28. Lax,0.57,2.8,-0.096,-0.94,0.008
29,29. Uncontroversial,1.75,8.9,-0.054,-0.59,0.015
30,30. Disengaging,0.89,4.44,-0.047,-0.911,0.027
31,31. To the point,91.87,14.84,0.978,0.05,0.038
32,32. Theoretical,43.68,37.46,0.159,-0.067,0.389
33,33. Not well written,2.27,4.09,0.036,-0.23,-0.109
34,34. Exciting,64.08,31.63,0.294,-0.054,0.753
35,35. Difficult to understand,1.99,4.56,0.005,-0.554,0.097
36,36. Ethical,93.73,16.51,0.931,0.093,0.036
37,37. Hypothesis-driven,67.24,33.06,0.311,-0.015,0.551
38,38. Provocative,53.12,38.39,0.164,-0.105,0.742
39,39. Technical,90.65,16.21,0.901,0.025,0.105
40,40. Well-sourced,94.35,15.75,0.97,0.069,0.011
41,41. Interdisciplinary,50.63,35.06,0.194,-0.074,0.731
42,42. Impactful,84.17,18.4,0.768,0.014,0.354
43,43. Authoritative,90.48,16.56,0.914,0.029,0.146
44,44. Balanced,92.46,15.8,0.963,0.128,0.0
45,45. Original,68.61,29.28,0.371,0.018,0.711
46,46. Coherent,92.27,15.01,0.986,0.011,0.02
47,47. Structured,91.9,15.24,0.976,0.052,0.031
48,48. Replicable,90.76,20.24,0.75,0.008,0.136
49,49. Objective,90.8,15.78,0.943,0.078,0.016
50,50. Relevant,92.89,15.44,0.973,0.051,-0.005
51,51. Insightful,89.87,15.62,0.954,0.062,0.064
52,52. Comprehensive,82.82,17.19,0.824,-0.01,0.19
53,53. Persuasive,90.19,16.68,0.917,0.041,0.144
54,54. Concise,92.16,14.98,0.987,0.011,0.03
55,55. Methodical,86.79,16.97,0.877,0.057,0.122
56,56. Accessible,89.23,17.0,0.873,0.081,0.105
57,57. Innovative,77.03,22.55,0.567,-0.041,0.484
58,58. Rigorous,91.23,15.48,0.971,0.013,0.068
59,59. Controversial,7.75,20.91,0.011,-0.452,0.247
60,60. Engaging,89.49,15.94,0.935,0.04,0.137
