No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,Engaging,80.85,4.48,0.131,0.201,0.571
2,Controversial,29.26,11.79,-0.571,0.36,0.086
3,Rigorous,84.25,4.58,0.29,-0.258,0.519
4,Innovative,85.47,6.28,0.092,-0.083,0.653
5,Accessible,67.2,5.48,0.036,0.662,0.413
6,Methodical,80.76,4.15,0.367,0.058,0.547
7,Concise,74.15,4.41,0.287,0.459,0.415
8,Persuasive,78.79,4.67,0.082,0.193,0.729
9,Comprehensive,76.95,5.19,0.204,0.061,0.651
10,Insightful,83.33,3.74,0.155,0.052,0.807
11,Relevant,87.37,3.91,0.36,0.252,0.574
12,Objective,80.06,3.39,0.398,-0.08,0.495
13,Replicable,77.4,4.73,0.348,0.085,0.536
14,Structured,83.42,3.46,0.373,0.115,0.613
15,Coherent,84.94,3.37,0.371,0.245,0.519
16,Original,81.77,5.44,0.12,-0.039,0.707
17,Balanced,76.22,3.79,0.305,0.199,0.597
18,Authoritative,76.06,4.83,0.255,-0.037,0.691
19,Impactful,81.79,4.4,0.26,0.148,0.792
20,Interdisciplinary,62.17,8.44,-0.049,-0.032,0.525
21,Well-sourced,72.11,5.25,0.235,0.153,0.596
22,Technical,82.33,4.71,0.133,-0.495,0.459
23,Provocative,41.18,11.73,-0.633,0.329,0.163
24,Hypothesis-driven,73.89,5.66,-0.12,-0.099,0.511
25,Ethical,78.2,8.59,0.104,-0.005,0.287
26,Difficult to understand,36.61,10.06,-0.385,-0.737,0.046
27,Exciting,76.7,5.1,0.148,0.182,0.762
28,Not well written,19.86,5.32,-0.617,-0.324,-0.081
29,Theoretical,66.63,10.0,-0.218,-0.594,0.125
30,To the point,78.62,4.38,0.37,0.481,0.428
31,Disengaging,17.87,4.49,-0.657,-0.292,-0.242
32,Uncontroversial,68.1,11.03,0.517,-0.351,-0.011
33,Lax,19.89,4.75,-0.759,-0.123,-0.186
34,Conventional,31.11,7.24,-0.56,-0.041,-0.243
35,Inaccessible,31.14,7.82,-0.373,-0.755,-0.052
36,Haphazard,18.26,4.34,-0.782,-0.218,-0.193
37,Verbose,26.86,6.31,-0.694,-0.432,-0.101
38,Unconvincing,18.12,4.47,-0.674,-0.222,-0.286
39,Superficial,19.96,4.65,-0.743,-0.156,-0.243
40,Uninsightful,15.85,4.03,-0.663,-0.136,-0.306
41,Irrelevant,11.65,5.25,-0.371,-0.093,-0.208
42,Subjective,21.88,4.42,-0.681,0.004,-0.164
43,Non-replicable,17.34,5.0,-0.668,-0.076,-0.247
44,Unstructured,15.88,4.05,-0.759,-0.175,-0.235
45,Incoherent,14.99,4.32,-0.689,-0.182,-0.206
46,Derivative,20.3,4.98,-0.527,0.008,-0.441
47,Unbalanced,20.39,4.36,-0.681,-0.122,-0.21
48,Unreliable,17.07,4.38,-0.738,-0.038,-0.295
49,Inconsequential,15.25,4.79,-0.575,-0.123,-0.406
50,Narrow,37.51,8.41,-0.174,-0.01,-0.333
51,Poorly-sourced,20.42,5.43,-0.664,-0.171,-0.254
52,Nontechnical,21.66,5.8,-0.424,0.359,-0.123
53,Unprovocative,60.52,11.24,0.473,-0.278,-0.069
54,Speculation-driven,29.86,6.88,-0.511,-0.052,-0.111
55,Unethical,18.28,22.56,-0.05,-0.091,-0.119
56,Easy to understand,74.83,7.33,0.203,0.724,0.245
57,Dull,24.4,5.61,-0.51,-0.348,-0.408
58,Well written,84.02,3.71,0.482,0.405,0.476
59,Empirical,74.09,10.3,0.111,0.468,0.32
60,Circumlocutory,22.66,6.18,-0.692,-0.402,-0.068
