No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Insightful,84.04,3.95,0.383,-0.193,0.552
2,2. Haphazard,11.0,3.58,-0.554,-0.128,-0.222
3,3. Well-sourced,73.33,9.08,0.514,-0.033,0.165
4,4. Disengaging,15.58,4.95,-0.566,0.034,-0.342
5,5. Technical,82.55,7.41,0.31,-0.32,0.317
6,6. Balanced,76.08,4.61,0.424,0.11,0.546
7,7. Superficial,16.69,5.49,-0.61,0.154,-0.257
8,8. Ethical,81.7,9.27,0.542,-0.155,-0.066
9,9. Concise,73.77,5.26,0.36,0.492,0.33
10,10. Unreliable,12.89,4.74,-0.731,-0.091,-0.09
11,11. Innovative,83.19,5.79,0.281,-0.085,0.747
12,12. Subjective,22.17,7.19,-0.612,-0.145,-0.159
13,13. Circumlocutory,19.71,6.54,-0.63,-0.373,-0.116
14,14. Rigorous,81.21,4.9,0.606,-0.118,0.442
15,15. Dull,18.86,6.3,-0.508,0.038,-0.358
16,16. Replicable,76.65,6.03,0.639,0.047,0.227
17,17. Provocative,49.16,13.34,-0.43,0.17,0.588
18,18. Inaccessible,36.63,8.94,-0.315,-0.49,0.041
19,19. Empirical,78.82,8.2,0.522,0.132,0.182
20,20. Coherent,83.46,3.75,0.448,0.361,0.494
21,21. Poorly-sourced,13.45,5.05,-0.754,-0.041,-0.086
22,22. Impactful,79.22,4.84,0.377,0.048,0.747
23,23. Nontechnical,22.09,7.47,-0.457,0.077,-0.181
24,24. Unstructured,14.46,5.18,-0.648,-0.284,-0.275
25,25. Engaging,66.92,6.66,0.104,0.297,0.738
26,26. Narrow,32.65,7.22,-0.413,-0.005,-0.247
27,27. Methodical,81.23,4.43,0.552,0.086,0.434
28,28. Unconvincing,15.3,4.58,-0.769,-0.122,-0.229
29,29. Exciting,64.75,8.37,0.017,0.053,0.833
30,30. Speculation-driven,20.06,7.08,-0.716,-0.289,0.056
31,31. Relevant,86.92,3.59,0.426,0.218,0.514
32,32. Lax,14.8,4.83,-0.802,-0.061,-0.138
33,33. Well written,81.23,3.88,0.42,0.451,0.485
34,34. Hypothesis-driven,71.82,8.05,0.381,-0.158,0.366
35,35. Inconsequential,11.14,3.44,-0.734,-0.034,-0.255
36,36. Accessible,65.29,6.63,0.039,0.763,0.069
37,37. Authoritative,77.64,4.76,0.588,0.068,0.44
38,38. Not well written,13.19,3.86,-0.642,-0.3,-0.205
39,39. Interdisciplinary,57.73,9.43,-0.114,-0.121,0.353
40,40. Easy to understand,69.48,6.31,0.07,0.804,0.079
41,41. Original,80.38,5.83,0.207,0.004,0.762
42,42. Unbalanced,18.38,4.36,-0.697,-0.246,-0.287
43,43. Comprehensive,74.13,5.51,0.506,0.031,0.502
44,44. Verbose,25.26,6.06,-0.574,-0.518,-0.125
45,45. Conventional,30.57,7.7,-0.239,-0.087,-0.557
46,46. To the point,77.06,5.57,0.275,0.627,0.379
47,47. Unprovocative,45.23,13.94,0.337,-0.409,-0.411
48,48. Structured,82.87,4.16,0.527,0.345,0.48
49,49. Difficult to understand,33.54,8.69,-0.186,-0.775,0.085
50,50. Irrelevant,9.82,2.88,-0.626,-0.095,-0.289
51,51. Controversial,32.6,9.96,-0.585,-0.039,0.293
52,52. Non-replicable,14.74,4.91,-0.8,-0.192,-0.106
53,53. Objective,80.23,5.0,0.685,0.074,0.21
54,54. Derivative,18.63,4.96,-0.531,-0.173,-0.433
55,55. Unethical,8.72,3.75,-0.609,0.097,0.017
56,56. Persuasive,72.99,5.34,0.357,-0.07,0.676
57,57. Incoherent,13.27,3.75,-0.72,-0.299,-0.231
58,58. Uninsightful,10.59,3.23,-0.666,-0.06,-0.354
59,59. Theoretical,54.2,14.1,-0.062,-0.613,0.16
60,60. Exciting,64.77,8.39,0.018,0.051,0.831
