No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,Engaging,55.53,16.74,-0.063,0.093,0.744
2,Controversial,18.59,9.91,-0.093,-0.33,0.48
3,Rigorous,80.31,4.82,0.031,0.182,0.466
4,Innovative,71.84,12.45,-0.097,0.173,0.756
5,Accessible,56.07,11.18,-0.045,0.582,-0.01
6,Methodical,85.31,4.92,0.013,0.449,0.244
7,Concise,73.99,8.95,-0.024,0.679,-0.006
8,Persuasive,59.82,11.78,-0.087,0.234,0.82
9,Comprehensive,73.22,9.34,0.028,0.205,0.545
10,Insightful,72.26,9.93,-0.049,0.045,0.827
11,Relevant,86.54,4.95,0.016,0.198,0.656
12,Objective,84.7,4.89,0.049,0.374,-0.142
13,Replicable,77.87,6.25,0.041,0.632,0.243
14,Structured,86.76,4.22,0.029,0.557,0.229
15,Coherent,90.48,3.67,0.027,0.58,0.316
16,Original,65.44,14.22,-0.064,0.148,0.8
17,Balanced,75.17,6.77,0.027,0.597,0.035
18,Authoritative,78.06,7.11,0.054,0.272,0.699
19,Impactful,66.14,11.46,-0.055,0.172,0.867
20,Interdisciplinary,40.72,12.26,-0.089,-0.095,0.56
21,Well-sourced,70.42,11.06,0.089,0.406,0.269
22,Technical,86.03,6.4,0.012,0.269,0.359
23,Provocative,26.74,9.73,-0.159,-0.163,0.764
24,Hypothesis-driven,66.03,12.19,-0.019,-0.022,0.68
25,Ethical,81.9,7.4,0.091,0.429,0.145
26,Difficult to understand,22.28,7.53,-0.174,-0.51,0.058
27,Exciting,47.16,12.16,-0.103,0.103,0.869
28,Not well written,10.29,2.25,-0.541,-0.312,0.067
29,Theoretical,62.41,12.43,-0.046,-0.312,0.5
30,To the point,77.78,6.74,0.006,0.766,0.156
31,Disengaging,9.92,1.08,-0.773,-0.012,0.096
32,Uncontroversial,78.79,13.39,0.034,0.358,-0.397
33,Lax,9.9,1.06,-0.836,-0.005,0.119
34,Conventional,25.43,8.73,-0.074,0.092,-0.649
35,Inaccessible,17.79,6.3,-0.316,-0.382,0.021
36,Haphazard,9.89,1.08,-0.848,-0.013,0.108
37,Verbose,19.45,2.68,-0.472,-0.178,0.201
38,Unconvincing,18.66,3.78,-0.45,-0.026,-0.174
39,Superficial,21.62,6.99,-0.426,0.117,-0.529
40,Uninsightful,15.89,5.82,-0.265,0.004,-0.675
41,Irrelevant,9.79,1.3,-0.771,-0.001,-0.103
42,Subjective,16.21,5.0,-0.266,-0.133,0.42
43,Non-replicable,11.18,3.56,-0.363,-0.158,-0.082
44,Unstructured,9.88,1.11,-0.87,-0.014,0.073
45,Incoherent,9.82,1.25,-0.861,-0.019,-0.006
46,Derivative,27.37,7.75,-0.136,0.067,-0.729
47,Unbalanced,18.41,4.07,-0.519,-0.038,-0.015
48,Unreliable,9.96,1.52,-0.729,-0.009,-0.028
49,Inconsequential,19.07,3.6,-0.432,0.069,-0.358
50,Narrow,34.65,5.59,-0.324,0.114,-0.471
51,Poorly-sourced,15.46,5.13,-0.375,0.0,-0.147
52,Nontechnical,13.05,5.59,-0.128,-0.021,-0.286
53,Unprovocative,68.42,16.79,0.145,0.128,-0.685
54,Speculation-driven,10.11,1.69,-0.583,-0.063,0.023
55,Unethical,16.14,24.09,-0.038,-0.064,-0.15
56,Easy to understand,72.06,9.65,0.035,0.677,-0.123
57,Dull,26.29,6.41,-0.145,-0.057,-0.7
58,Well written,85.85,4.71,0.065,0.644,0.322
59,Empirical,73.48,12.5,0.028,0.595,0.286
60,Circumlocutory,19.86,3.24,-0.441,-0.321,0.152
