Component,Target,rho,p,n
Quality & Reliability,score_mean,0.11987013858599244,9.041208615478113e-10,2595
Quality & Reliability,score_weighted,0.11859490883418568,1.362521662839005e-09,2595
Quality & Reliability,score_median,0.11140503488176466,1.2697583859656612e-08,2595
Quality & Reliability,accept,0.097440977920644,6.585623038152626e-07,2595
Quality & Reliability,cites,0.0037787852973031797,0.8474260865146737,2595
Quality & Reliability,TNCSI,0.0035226015251030203,0.8576554727517685,2595
Quality & Reliability,TNCSI_SP,0.0021380425365338834,0.9133119639057163,2595
Accessibility & Understandability,score_mean,-0.0199283257484863,0.3102091183974977,2595
Accessibility & Understandability,score_weighted,-0.01815868853162363,0.35514544881707355,2595
Accessibility & Understandability,score_median,-0.02484903002545812,0.20571956299899688,2595
Accessibility & Understandability,accept,-0.013717191370432027,0.48488606962550285,2595
Accessibility & Understandability,cites,0.13235753941805062,1.2967974089298172e-11,2595
Accessibility & Understandability,TNCSI,0.10691995317072382,4.77055972833103e-08,2595
Accessibility & Understandability,TNCSI_SP,0.10264505260230732,1.6041767039213567e-07,2595
Novelty & Engagement,score_mean,0.16500385075970758,2.685705149697609e-17,2595
Novelty & Engagement,score_weighted,0.1646716650223347,3.113834452405165e-17,2595
Novelty & Engagement,score_median,0.16279166809191484,7.150482643612908e-17,2595
Novelty & Engagement,accept,0.15264039123633358,5.376252329221774e-15,2595
Novelty & Engagement,cites,0.1572356881594244,7.8789996002893675e-16,2595
Novelty & Engagement,TNCSI,0.14886801243941214,2.4907610283835782e-14,2595
Novelty & Engagement,TNCSI_SP,0.16268530132699502,7.492641930414962e-17,2595
