No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Circumlocutory,13.34,6.76,-0.497,-0.58,-0.013
2,2. Empirical,74.08,12.49,0.108,0.342,0.334
3,3. Well written,77.59,5.51,0.393,0.529,0.535
4,4. Dull,13.75,4.7,-0.441,-0.156,-0.531
5,5. Easy to understand,55.32,14.35,-0.009,0.922,0.138
6,6. Unethical,0.21,2.77,-0.093,0.077,0.08
7,7. Speculation-driven,22.41,6.47,-0.605,-0.168,0.003
8,8. Unprovocative,21.15,7.65,-0.316,-0.045,-0.544
9,9. Nontechnical,17.91,7.49,-0.36,0.655,-0.068
10,10. Poorly-sourced,28.74,12.13,-0.431,0.081,0.06
11,11. Narrow,36.76,5.53,-0.213,0.073,-0.445
12,12. Inconsequential,19.09,5.14,-0.483,-0.008,-0.617
13,13. Unreliable,27.92,13.92,-0.505,-0.057,-0.035
14,14. Unbalanced,52.33,22.04,-0.257,0.183,0.211
15,15. Derivative,25.04,5.32,-0.45,0.103,-0.514
16,16. Incoherent,14.96,17.86,-0.527,-0.012,0.183
17,17. Unstructured,15.36,17.67,-0.532,-0.01,0.18
18,18. Non-replicable,52.53,14.65,-0.056,0.351,0.33
19,19. Subjective,17.36,5.67,-0.73,0.012,-0.185
20,20. Irrelevant,8.0,5.1,-0.296,-0.043,-0.199
21,21. Uninsightful,25.38,7.67,-0.562,0.049,-0.332
22,22. Superficial,25.13,5.02,-0.648,0.142,-0.479
23,23. Unconvincing,28.38,12.7,-0.621,-0.035,-0.063
24,24. Verbose,22.29,9.21,-0.481,-0.664,0.003
25,25. Haphazard,11.2,3.98,-0.647,-0.34,-0.227
26,26. Inaccessible,36.08,16.33,0.009,-0.885,-0.07
27,27. Conventional,32.79,7.57,-0.192,0.351,-0.578
28,28. Lax,13.07,5.09,-0.66,-0.076,-0.366
29,29. Uncontroversial,28.45,10.61,-0.224,0.103,-0.599
30,30. Disengaging,20.14,5.09,-0.482,-0.304,-0.587
31,31. To the point,70.77,8.64,0.373,0.77,0.188
32,32. Theoretical,62.37,16.45,0.042,-0.551,-0.124
33,33. Not well written,10.9,4.38,-0.562,-0.362,-0.309
34,34. Exciting,56.52,8.23,-0.089,0.23,0.732
35,35. Difficult to understand,41.27,18.0,0.012,-0.926,-0.079
36,36. Ethical,99.06,4.0,0.147,-0.163,-0.043
37,37. Hypothesis-driven,56.81,9.47,-0.101,0.068,0.146
38,38. Provocative,45.02,9.62,-0.388,0.122,0.507
39,39. Technical,83.05,6.08,0.333,-0.674,0.215
40,40. Well-sourced,45.37,12.4,0.004,0.145,0.439
41,41. Interdisciplinary,33.83,13.84,-0.241,0.029,0.326
42,42. Impactful,68.76,6.8,0.043,0.213,0.814
43,43. Authoritative,62.71,6.15,0.175,0.086,0.703
44,44. Balanced,65.61,7.9,0.095,0.373,0.55
45,45. Original,71.31,6.93,0.081,-0.142,0.723
46,46. Coherent,81.67,5.53,0.377,0.476,0.542
47,47. Structured,80.83,5.33,0.42,0.416,0.545
48,48. Replicable,57.13,10.02,0.09,0.402,0.406
49,49. Objective,73.87,6.4,0.516,0.135,0.419
50,50. Relevant,90.88,3.1,0.287,0.165,0.548
51,51. Insightful,67.95,5.53,0.086,0.066,0.782
52,52. Comprehensive,59.2,7.2,0.073,0.041,0.62
53,53. Persuasive,64.48,6.29,0.11,0.275,0.776
54,54. Concise,65.48,12.48,0.289,0.775,0.049
55,55. Methodical,74.57,5.98,0.465,0.173,0.54
56,56. Accessible,56.22,13.63,-0.027,0.916,0.144
57,57. Innovative,74.31,7.54,0.066,-0.13,0.705
58,58. Rigorous,71.31,6.58,0.425,-0.134,0.55
59,59. Controversial,20.02,9.46,-0.405,0.126,0.221
60,60. Engaging,63.5,7.68,-0.084,0.454,0.744
