No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Insightful,79.69,2.53,0.24,-0.03,0.523
2,2. Haphazard,10.34,1.87,-0.239,-0.094,-0.395
3,3. Well-sourced,69.94,4.59,0.114,0.08,0.239
4,4. Disengaging,19.99,2.56,-0.247,0.092,-0.241
5,5. Technical,88.65,4.28,0.04,0.015,0.419
6,6. Balanced,73.69,8.78,-0.008,0.634,0.307
7,7. Superficial,28.86,5.2,-0.432,0.106,-0.197
8,8. Ethical,67.85,13.21,0.212,0.326,-0.091
9,9. Concise,79.1,7.26,-0.181,0.526,0.047
10,10. Unreliable,10.9,2.05,-0.62,0.234,0.099
11,11. Innovative,77.93,9.19,-0.033,-0.075,0.826
12,12. Subjective,26.92,9.51,-0.414,0.189,0.034
13,13. Circumlocutory,24.44,12.39,-0.279,-0.378,0.274
14,14. Rigorous,81.85,4.26,0.218,0.244,0.554
15,15. Dull,15.92,6.51,-0.708,0.194,-0.191
16,16. Replicable,74.68,6.29,0.128,0.534,0.455
17,17. Provocative,54.83,7.6,-0.144,-0.041,0.823
18,18. Inaccessible,20.29,8.15,-0.64,-0.275,0.289
19,19. Empirical,77.13,8.81,0.048,0.36,0.324
20,20. Coherent,88.1,3.49,0.128,0.672,0.335
21,21. Poorly-sourced,10.05,0.83,-0.428,-0.065,-0.256
22,22. Impactful,72.47,7.7,0.023,0.172,0.812
23,23. Nontechnical,12.19,4.84,-0.392,0.15,-0.155
24,24. Unstructured,14.87,5.27,-0.637,-0.326,0.197
25,25. Engaging,65.24,6.34,-0.091,0.347,0.665
26,26. Narrow,39.38,3.6,-0.578,0.102,0.095
27,27. Methodical,82.43,4.02,0.103,0.409,0.64
28,28. Unconvincing,15.66,5.54,-0.781,-0.078,-0.008
29,29. Exciting,58.64,8.71,-0.143,0.022,0.767
30,30. Speculation-driven,13.11,5.53,-0.482,-0.14,0.274
31,31. Relevant,85.96,4.72,0.143,0.449,0.553
32,32. Lax,12.4,4.39,-0.656,-0.084,0.084
33,33. Well written,85.65,3.74,0.14,0.485,0.383
34,34. Hypothesis-driven,75.25,7.66,0.041,0.179,0.763
35,35. Inconsequential,11.63,3.81,-0.651,0.06,-0.138
36,36. Accessible,75.68,6.91,-0.009,0.828,0.091
37,37. Authoritative,82.24,4.38,0.13,0.442,0.625
38,38. Not well written,10.08,0.87,-0.525,-0.054,-0.204
39,39. Interdisciplinary,54.52,7.48,-0.096,0.128,0.533
40,40. Easy to understand,69.19,9.04,-0.109,0.824,-0.004
41,41. Original,73.12,9.26,-0.018,-0.021,0.86
42,42. Unbalanced,16.62,5.24,-0.771,-0.278,0.111
43,43. Comprehensive,75.1,6.82,0.029,0.352,0.599
44,44. Verbose,23.73,5.73,-0.693,-0.262,0.29
45,45. Conventional,39.34,6.66,-0.521,0.284,-0.239
46,46. To the point,81.48,4.5,-0.078,0.701,0.189
47,47. Unprovocative,31.9,11.74,-0.37,0.197,-0.527
48,48. Structured,86.26,4.22,0.244,0.651,0.29
49,49. Difficult to understand,19.32,6.96,-0.539,-0.492,0.205
50,50. Irrelevant,10.11,1.12,-0.549,-0.016,-0.096
51,51. Controversial,22.51,7.19,-0.268,-0.126,0.167
52,52. Non-replicable,10.45,1.88,-0.715,0.084,0.053
53,53. Objective,82.2,4.58,0.189,0.458,0.361
54,54. Derivative,27.7,5.59,-0.678,0.154,-0.141
55,55. Unethical,5.33,4.78,-0.104,0.07,0.03
56,56. Persuasive,71.06,7.41,0.012,0.35,0.791
57,57. Incoherent,10.16,1.3,-0.624,-0.015,-0.076
58,58. Uninsightful,15.55,5.5,-0.749,0.035,-0.179
59,59. Theoretical,65.64,8.77,-0.056,-0.253,0.525
60,60. Exciting,58.78,8.81,-0.139,0.012,0.77
