Dataset,Split,Model,Component,antonym_r
naidv1,train,GPT,Quality & Reliability,-0.463
naidv1,train,GPT,Accessibility & Understandability,-0.87
naidv1,train,GPT,Novelty & Engagement,-0.836
naidv1,train,Deepseek,Quality & Reliability,-0.643
naidv1,train,Deepseek,Accessibility & Understandability,-0.758
naidv1,train,Deepseek,Novelty & Engagement,-0.789
naidv1,train,Llama-3.1,Quality & Reliability,-0.628
naidv1,train,Llama-3.1,Accessibility & Understandability,-0.447
naidv1,train,Llama-3.1,Novelty & Engagement,0.484
naidv1,train,Llama-3.3,Quality & Reliability,-0.444
naidv1,train,Llama-3.3,Accessibility & Understandability,-0.797
naidv1,train,Llama-3.3,Novelty & Engagement,-0.582
naidv1,test,GPT,Quality & Reliability,-0.453
naidv1,test,GPT,Accessibility & Understandability,-0.847
naidv1,test,GPT,Novelty & Engagement,-0.801
naidv1,test,Deepseek,Quality & Reliability,-0.55
naidv1,test,Deepseek,Accessibility & Understandability,-0.818
naidv1,test,Deepseek,Novelty & Engagement,-0.825
naidv1,test,Llama-3.1,Quality & Reliability,-0.635
naidv1,test,Llama-3.1,Accessibility & Understandability,-0.496
naidv1,test,Llama-3.1,Novelty & Engagement,0.368
naidv1,test,Llama-3.3,Quality & Reliability,-0.444
naidv1,test,Llama-3.3,Accessibility & Understandability,-0.809
naidv1,test,Llama-3.3,Novelty & Engagement,-0.649
naidv2,train,GPT,Quality & Reliability,-0.594
naidv2,train,GPT,Accessibility & Understandability,-0.842
naidv2,train,GPT,Novelty & Engagement,-0.589
naidv2,train,Deepseek,Quality & Reliability,-0.556
naidv2,train,Deepseek,Accessibility & Understandability,-0.86
naidv2,train,Deepseek,Novelty & Engagement,-0.284
naidv2,train,Llama-3.1,Quality & Reliability,-0.74
naidv2,train,Llama-3.1,Accessibility & Understandability,-0.471
naidv2,train,Llama-3.1,Novelty & Engagement,0.576
naidv2,train,Llama-3.3,Quality & Reliability,-0.369
naidv2,train,Llama-3.3,Accessibility & Understandability,-0.771
naidv2,train,Llama-3.3,Novelty & Engagement,-0.689
naidv2,test,GPT,Quality & Reliability,-0.528
naidv2,test,GPT,Accessibility & Understandability,-0.868
naidv2,test,GPT,Novelty & Engagement,-0.59
naidv2,test,Deepseek,Quality & Reliability,-0.626
naidv2,test,Deepseek,Accessibility & Understandability,-0.858
naidv2,test,Deepseek,Novelty & Engagement,-0.776
naidv2,test,Llama-3.1,Quality & Reliability,-0.74
naidv2,test,Llama-3.1,Accessibility & Understandability,-0.473
naidv2,test,Llama-3.1,Novelty & Engagement,0.523
naidv2,test,Llama-3.3,Quality & Reliability,-0.39
naidv2,test,Llama-3.3,Accessibility & Understandability,-0.774
naidv2,test,Llama-3.3,Novelty & Engagement,-0.541
