No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Circumlocutory,12.56,4.95,-0.483,-0.06,0.254
2,2. Empirical,82.97,8.98,0.291,0.197,0.173
3,3. Well written,87.15,3.71,0.442,0.466,0.204
4,4. Dull,13.6,4.76,-0.525,-0.365,-0.121
5,5. Easy to understand,78.96,4.99,0.557,0.231,0.226
6,6. Unethical,4.92,5.73,-0.249,0.013,-0.067
7,7. Speculation-driven,17.92,8.54,-0.609,-0.021,0.036
8,8. Unprovocative,34.16,12.77,-0.445,0.016,0.278
9,9. Nontechnical,14.31,7.07,-0.303,-0.253,0.182
10,10. Poorly-sourced,11.45,7.11,-0.543,-0.178,-0.053
11,11. Narrow,29.71,7.67,-0.449,-0.258,-0.419
12,12. Inconsequential,12.62,5.2,-0.421,-0.335,-0.551
13,13. Unreliable,11.45,4.6,-0.652,-0.243,-0.05
14,14. Unbalanced,33.95,25.64,-0.038,-0.027,-0.796
15,15. Derivative,19.66,6.11,-0.59,-0.381,-0.122
16,16. Incoherent,9.48,2.62,-0.626,-0.216,-0.173
17,17. Unstructured,21.22,24.24,0.018,-0.005,-0.713
18,18. Non-replicable,28.81,26.53,-0.004,-0.041,-0.815
19,19. Subjective,16.73,6.39,-0.524,-0.251,0.065
20,20. Irrelevant,9.13,4.73,-0.301,-0.19,-0.273
21,21. Uninsightful,13.78,5.74,-0.513,-0.334,-0.321
22,22. Superficial,21.03,5.57,-0.711,-0.378,-0.209
23,23. Unconvincing,16.16,6.12,-0.666,-0.365,-0.182
24,24. Verbose,20.98,6.05,-0.721,-0.107,0.283
25,25. Haphazard,13.27,4.15,-0.773,-0.283,0.073
26,26. Inaccessible,20.77,8.27,-0.552,-0.119,-0.363
27,27. Conventional,35.19,9.38,-0.575,-0.281,-0.081
28,28. Lax,14.19,5.38,-0.761,-0.287,0.045
29,29. Uncontroversial,45.43,12.8,-0.444,-0.066,0.202
30,30. Disengaging,21.76,5.5,-0.686,-0.364,-0.173
31,31. To the point,80.5,5.0,0.585,0.399,-0.214
32,32. Theoretical,74.26,9.06,-0.19,0.358,-0.344
33,33. Not well written,11.35,3.49,-0.588,-0.368,-0.121
34,34. Exciting,67.4,6.46,0.108,0.762,0.029
35,35. Difficult to understand,27.85,8.41,-0.59,-0.007,-0.327
36,36. Ethical,93.51,5.36,0.267,0.154,0.02
37,37. Hypothesis-driven,79.9,4.62,0.227,0.581,-0.137
38,38. Provocative,56.57,7.14,-0.19,0.535,-0.126
39,39. Technical,85.34,5.51,0.152,0.547,-0.291
40,40. Well-sourced,78.69,6.11,0.428,0.509,-0.113
41,41. Interdisciplinary,56.02,9.13,-0.177,0.521,0.025
42,42. Impactful,78.8,4.95,0.193,0.799,0.134
43,43. Authoritative,77.77,5.09,0.294,0.629,-0.25
44,44. Balanced,75.66,5.54,0.414,0.534,-0.357
45,45. Original,73.96,6.0,0.052,0.775,0.122
46,46. Coherent,87.15,3.56,0.469,0.631,-0.045
47,47. Structured,84.69,4.4,0.454,0.602,-0.065
48,48. Replicable,76.34,6.46,0.483,0.466,-0.293
49,49. Objective,78.67,5.72,0.324,0.508,-0.114
50,50. Relevant,88.37,3.37,0.329,0.669,0.053
51,51. Insightful,82.08,3.96,0.295,0.81,0.031
52,52. Comprehensive,75.24,5.21,0.264,0.772,0.089
53,53. Persuasive,80.13,4.64,0.282,0.754,0.213
54,54. Concise,76.37,5.26,0.465,0.316,-0.243
55,55. Methodical,82.62,4.11,0.451,0.622,-0.237
56,56. Accessible,71.71,5.63,0.39,0.313,0.222
57,57. Innovative,79.54,5.62,0.051,0.767,0.159
58,58. Rigorous,84.11,3.9,0.295,0.654,-0.301
59,59. Controversial,40.87,8.53,-0.341,0.238,-0.32
60,60. Engaging,74.31,4.94,0.197,0.769,0.091
