No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Insightful,71.47,7.38,0.296,-0.142,0.882
2,2. Haphazard,11.49,3.97,-0.849,0.045,-0.165
3,3. Well-sourced,47.34,12.91,0.363,0.091,0.394
4,4. Disengaging,16.28,4.47,-0.764,-0.062,-0.357
5,5. Technical,84.29,6.86,0.427,-0.683,0.193
6,6. Balanced,64.22,5.19,0.483,0.062,0.54
7,7. Superficial,22.68,6.37,-0.648,0.218,-0.568
8,8. Ethical,47.0,11.92,0.085,0.163,0.205
9,9. Concise,78.42,8.15,0.661,0.308,0.017
10,10. Unreliable,12.35,4.68,-0.853,0.054,-0.164
11,11. Innovative,74.41,9.98,0.238,-0.245,0.827
12,12. Subjective,20.76,5.22,-0.71,0.356,0.147
13,13. Circumlocutory,12.3,4.98,-0.794,-0.261,-0.007
14,14. Rigorous,69.03,8.13,0.593,-0.41,0.455
15,15. Dull,21.84,5.32,-0.56,-0.084,-0.594
16,16. Replicable,63.22,8.58,0.675,-0.108,0.051
17,17. Provocative,34.63,10.81,-0.293,0.148,0.747
18,18. Inaccessible,32.29,11.83,-0.159,-0.866,0.038
19,19. Empirical,63.98,15.53,0.462,0.086,0.204
20,20. Coherent,79.94,4.65,0.72,0.084,0.439
21,21. Poorly-sourced,12.07,5.07,-0.83,0.042,-0.234
22,22. Impactful,67.78,8.11,0.319,-0.076,0.859
23,23. Nontechnical,16.46,6.7,-0.481,0.64,-0.072
24,24. Unstructured,11.5,4.22,-0.881,-0.059,-0.155
25,25. Engaging,51.75,10.27,0.019,0.323,0.827
26,26. Narrow,41.83,7.76,-0.046,-0.073,-0.631
27,27. Methodical,73.5,7.28,0.679,-0.38,0.326
28,28. Unconvincing,16.39,4.52,-0.868,0.018,-0.252
29,29. Exciting,48.12,12.24,0.013,0.058,0.881
30,30. Speculation-driven,19.06,7.64,-0.725,0.144,0.364
31,31. Relevant,86.9,4.07,0.568,0.177,0.476
32,32. Lax,14.72,4.86,-0.873,0.077,-0.217
33,33. Well written,74.19,6.05,0.674,0.301,0.46
34,34. Hypothesis-driven,54.16,11.3,0.244,-0.137,0.542
35,35. Inconsequential,14.01,5.41,-0.645,0.078,-0.585
36,36. Accessible,57.27,11.23,0.061,0.924,-0.004
37,37. Authoritative,64.82,6.77,0.601,-0.226,0.547
38,38. Not well written,11.12,4.02,-0.793,-0.126,-0.207
39,39. Interdisciplinary,35.04,13.29,-0.353,0.208,0.419
40,40. Easy to understand,55.61,13.39,0.011,0.923,-0.099
41,41. Original,70.57,9.77,0.207,-0.243,0.843
42,42. Unbalanced,14.98,4.47,-0.85,0.031,-0.21
43,43. Comprehensive,56.7,8.83,0.386,-0.141,0.562
44,44. Verbose,15.22,6.44,-0.687,-0.322,0.076
45,45. Conventional,32.74,11.65,-0.125,0.362,-0.709
46,46. To the point,75.66,7.68,0.683,0.316,0.056
47,47. Unprovocative,29.93,17.35,-0.038,0.019,-0.744
48,48. Structured,80.59,5.13,0.821,-0.032,0.329
49,49. Difficult to understand,23.27,14.49,-0.202,-0.844,0.053
50,50. Irrelevant,7.94,2.93,-0.58,-0.024,-0.261
51,51. Controversial,14.72,8.26,-0.485,0.254,0.359
52,52. Non-replicable,17.4,5.52,-0.837,-0.017,0.04
53,53. Objective,73.15,6.35,0.737,-0.289,0.055
54,54. Derivative,24.91,8.99,-0.297,0.29,-0.751
55,55. Unethical,5.37,3.84,-0.369,0.095,0.236
56,56. Persuasive,62.95,7.63,0.39,-0.087,0.819
57,57. Incoherent,10.63,3.05,-0.778,-0.181,-0.128
58,58. Uninsightful,13.57,6.22,-0.629,0.086,-0.592
59,59. Theoretical,50.2,15.58,-0.171,-0.495,0.347
60,60. Exciting,50.71,13.32,0.011,0.084,0.886
