No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,Engaging,63.82,26.95,-0.128,0.962,0.012
2,Controversial,7.09,12.14,-0.679,0.118,0.43
3,Rigorous,70.01,28.89,-0.101,0.975,0.028
4,Innovative,76.85,32.01,-0.097,0.98,-0.002
5,Accessible,50.95,23.15,-0.11,0.906,-0.022
6,Methodical,62.62,27.64,-0.062,0.932,-0.047
7,Concise,75.97,31.34,-0.08,0.982,0.039
8,Persuasive,67.03,28.54,-0.11,0.963,0.032
9,Comprehensive,61.76,28.34,-0.165,0.895,0.016
10,Insightful,71.3,29.51,-0.117,0.984,0.044
11,Relevant,78.48,32.18,-0.096,0.988,0.036
12,Objective,73.19,30.61,-0.04,0.98,0.001
13,Replicable,74.84,31.49,-0.049,0.983,-0.022
14,Structured,66.01,27.85,-0.095,0.974,-0.011
15,Coherent,76.75,31.54,-0.1,0.987,0.032
16,Original,77.15,32.41,-0.096,0.975,0.013
17,Balanced,67.07,27.73,-0.098,0.983,0.029
18,Authoritative,75.46,30.97,-0.093,0.989,0.036
19,Impactful,76.12,31.7,-0.129,0.979,0.045
20,Interdisciplinary,52.08,29.06,-0.182,0.763,0.059
21,Well-sourced,63.22,31.14,-0.094,0.85,-0.029
22,Technical,78.65,32.45,-0.101,0.985,0.035
23,Provocative,42.32,35.97,-0.435,0.453,0.4
24,Hypothesis-driven,15.92,24.18,-0.709,0.168,0.415
25,Ethical,64.13,42.65,-0.156,0.656,-0.163
26,Difficult to understand,4.48,7.29,-0.947,0.104,0.128
27,Exciting,67.38,27.89,-0.095,0.981,0.041
28,Not well written,2.99,5.3,-0.946,0.098,-0.123
29,Theoretical,44.29,35.2,-0.284,0.472,0.35
30,To the point,79.4,32.54,-0.093,0.988,0.042
31,Disengaging,3.46,6.29,-0.963,0.106,-0.074
32,Uncontroversial,4.34,7.73,-0.902,0.119,0.063
33,Lax,4.36,7.49,-0.952,0.087,0.077
34,Conventional,6.96,10.88,-0.896,0.112,0.315
35,Inaccessible,3.97,7.0,-0.966,0.099,0.005
36,Haphazard,3.15,5.62,-0.954,0.089,-0.115
37,Verbose,3.39,5.98,-0.953,0.067,-0.112
38,Unconvincing,4.46,7.51,-0.956,0.092,0.102
39,Superficial,6.87,10.92,-0.911,0.107,0.278
40,Uninsightful,4.03,7.03,-0.969,0.096,0.023
41,Irrelevant,3.23,5.92,-0.959,0.11,-0.118
42,Subjective,5.29,8.9,-0.946,0.097,0.147
43,Non-replicable,3.46,6.18,-0.966,0.089,-0.077
44,Unstructured,3.77,6.77,-0.952,0.088,-0.04
45,Incoherent,3.51,6.34,-0.958,0.09,-0.081
46,Derivative,6.43,10.61,-0.925,0.102,0.227
47,Unbalanced,5.2,8.67,-0.944,0.101,0.147
48,Unreliable,3.67,6.52,-0.952,0.082,-0.033
49,Inconsequential,3.97,7.12,-0.946,0.119,-0.003
50,Narrow,7.25,11.57,-0.904,0.114,0.295
51,Poorly-sourced,4.05,7.32,-0.96,0.098,-0.014
52,Nontechnical,4.48,8.02,-0.934,0.091,0.05
53,Unprovocative,5.24,9.24,-0.937,0.115,0.126
54,Speculation-driven,5.54,10.18,-0.892,0.097,0.157
55,Unethical,3.12,5.69,-0.952,0.099,-0.125
56,Easy to understand,77.83,32.19,-0.017,0.991,0.049
57,Dull,3.82,6.77,-0.97,0.1,-0.022
58,Well written,79.34,32.53,-0.085,0.989,0.045
59,Empirical,45.01,38.46,-0.417,0.451,0.313
60,Circumlocutory,3.56,6.29,-0.954,0.065,-0.1
