No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,Engaging,80.12,4.68,0.057,0.178,0.565
2,Controversial,29.53,11.35,-0.518,0.325,0.049
3,Rigorous,84.15,4.66,0.301,-0.257,0.556
4,Innovative,85.08,6.3,0.083,-0.075,0.656
5,Accessible,66.78,5.63,0.023,0.659,0.436
6,Methodical,80.17,4.25,0.359,0.022,0.546
7,Concise,73.59,4.52,0.284,0.421,0.397
8,Persuasive,78.51,4.77,0.081,0.219,0.733
9,Comprehensive,76.31,5.18,0.154,-0.001,0.674
10,Insightful,82.9,3.82,0.167,0.035,0.79
11,Relevant,86.61,4.07,0.344,0.258,0.546
12,Objective,79.97,3.62,0.393,-0.072,0.513
13,Replicable,77.13,4.86,0.343,0.098,0.575
14,Structured,82.94,3.62,0.372,0.094,0.607
15,Coherent,84.52,3.46,0.357,0.231,0.521
16,Original,81.26,5.57,0.122,-0.046,0.689
17,Balanced,75.83,3.92,0.307,0.209,0.604
18,Authoritative,75.39,4.88,0.242,-0.05,0.685
19,Impactful,81.05,4.45,0.244,0.137,0.782
20,Interdisciplinary,61.41,8.23,-0.094,-0.071,0.52
21,Well-sourced,71.59,5.23,0.209,0.137,0.602
22,Technical,82.43,4.79,0.102,-0.453,0.49
23,Provocative,41.98,11.44,-0.585,0.314,0.168
24,Hypothesis-driven,74.18,5.71,-0.035,-0.074,0.529
25,Ethical,79.03,8.67,0.126,-0.009,0.334
26,Difficult to understand,38.14,9.98,-0.373,-0.724,0.088
27,Exciting,75.95,5.15,0.124,0.185,0.745
28,Not well written,20.53,5.74,-0.61,-0.275,-0.052
29,Theoretical,68.02,9.66,-0.158,-0.575,0.194
30,To the point,77.92,4.46,0.376,0.448,0.416
31,Disengaging,18.59,4.57,-0.633,-0.249,-0.215
32,Uncontroversial,67.62,10.32,0.449,-0.32,0.045
33,Lax,20.57,4.98,-0.773,-0.066,-0.144
34,Conventional,32.62,7.32,-0.562,0.044,-0.166
35,Inaccessible,32.18,7.76,-0.366,-0.748,-0.034
36,Haphazard,18.82,4.38,-0.794,-0.157,-0.156
37,Verbose,27.75,6.46,-0.725,-0.362,-0.046
38,Unconvincing,18.55,4.46,-0.686,-0.179,-0.253
39,Superficial,20.56,4.86,-0.758,-0.1,-0.206
40,Uninsightful,16.09,4.1,-0.663,-0.079,-0.297
41,Irrelevant,11.89,4.21,-0.465,-0.117,-0.231
42,Subjective,22.18,4.49,-0.696,-0.012,-0.165
43,Non-replicable,17.52,5.16,-0.659,-0.077,-0.259
44,Unstructured,16.28,4.14,-0.768,-0.125,-0.212
45,Incoherent,15.36,4.37,-0.695,-0.144,-0.19
46,Derivative,20.75,5.12,-0.534,0.054,-0.408
47,Unbalanced,20.75,4.52,-0.682,-0.114,-0.207
48,Unreliable,17.42,4.48,-0.727,-0.012,-0.283
49,Inconsequential,15.63,4.85,-0.555,-0.09,-0.392
50,Narrow,37.67,8.58,-0.116,0.016,-0.337
51,Poorly-sourced,21.04,5.55,-0.672,-0.121,-0.234
52,Nontechnical,21.76,6.08,-0.42,0.328,-0.109
53,Unprovocative,59.59,11.52,0.389,-0.241,-0.051
54,Speculation-driven,30.73,7.32,-0.523,0.003,-0.051
55,Unethical,20.26,25.05,0.02,-0.097,-0.116
56,Easy to understand,73.63,7.39,0.161,0.742,0.229
57,Dull,25.41,5.59,-0.53,-0.313,-0.369
58,Well written,83.37,3.85,0.49,0.391,0.453
59,Empirical,73.91,10.29,0.102,0.477,0.338
60,Circumlocutory,23.75,6.33,-0.719,-0.333,-0.023
