Item_No,Item,rho,p
42,42. Impactful,0.27116825900945274,4.394494404467834e-55
51,51. Insightful,0.253159175792999,5.2340714158640623e-48
40,40. Well-sourced,0.2494911437802051,1.2378328481343053e-46
46,46. Coherent,0.2318412607843178,2.4600320754208202e-40
43,43. Authoritative,0.23055321641246124,6.769525080520596e-40
53,53. Persuasive,0.22715683589865454,9.480965992200353e-39
52,52. Comprehensive,0.22295782588660615,2.3348949693148115e-37
47,47. Structured,0.22237456457704702,3.6248998117926857e-37
48,48. Replicable,0.2186598356706597,5.79612506192901e-36
60,60. Engaging,0.21413810863565277,1.5804148928427784e-34
3,3. Well written,0.21404268732342605,1.6932327715430175e-34
58,58. Rigorous,0.21096549119712327,1.5370183407347806e-33
2,2. Empirical,0.20997934847369581,3.093894712239914e-33
50,50. Relevant,0.20817778940504852,1.1005152006763127e-32
34,34. Exciting,0.19832269264112345,9.249224949642053e-30
55,55. Methodical,0.19314945001922942,2.758780408397747e-28
5,5. Easy to understand,0.19293254005119126,3.174254329437678e-28
44,44. Balanced,0.19099054182580685,1.106282842622541e-27
37,37. Hypothesis-driven,0.17568871559524754,1.3007094438450747e-23
31,31. To the point,0.16846257650679494,8.182256319871477e-22
56,56. Accessible,0.16475193588140372,6.397911045499236e-21
54,54. Concise,0.15369364223807358,2.2192373194353127e-18
45,45. Original,0.1450316161265432,1.6211523798058358e-16
49,49. Objective,0.13222403778678152,5.816821964062168e-14
57,57. Innovative,0.12517537062017628,1.1738796252798403e-12
38,38. Provocative,0.1047829010821183,2.7930725627291976e-09
39,39. Technical,0.1004154065091366,1.2387435747305457e-08
36,36. Ethical,0.06785433721366535,0.00012176252825787316
41,41. Interdisciplinary,0.03452883255064276,0.050739585321583826
59,59. Controversial,0.01808329055719246,0.3063319062400481
32,32. Theoretical,-0.011445996180121246,0.5173381916552027
6,6. Unethical,-0.04478178568946602,0.011266778507617425
9,9. Nontechnical,-0.09048844822505377,2.9140246907057975e-07
18,18. Non-replicable,-0.1359029193743084,1.1354738012279544e-14
35,35. Difficult to understand,-0.14113402425223542,1.0293169949380573e-15
7,7. Speculation-driven,-0.14315110206117926,3.9800633689727817e-16
1,1. Circumlocutory,-0.15892277942989652,1.4711320942087221e-19
29,29. Uncontroversial,-0.16182382994453365,3.135641755482264e-20
14,14. Unbalanced,-0.16637083881776402,2.623587487278967e-21
8,8. Unprovocative,-0.17333836997596397,5.103263761507515e-23
12,12. Inconsequential,-0.17628741138662807,9.154262069716736e-24
16,16. Incoherent,-0.18022531704950387,8.8034011360435e-25
19,19. Subjective,-0.18130127354990117,4.599244521952175e-25
20,20. Irrelevant,-0.1928590632156348,3.3286110780606504e-28
17,17. Unstructured,-0.19312226271307253,2.807742982171013e-28
11,11. Narrow,-0.1997880403850785,3.474278135942784e-30
24,24. Verbose,-0.20370029146193314,2.4498351902910366e-31
13,13. Unreliable,-0.209229648357232,5.25360976813186e-33
27,27. Conventional,-0.21999239182941735,2.1569204201390865e-36
10,10. Poorly-sourced,-0.22222647729624978,4.052381361546876e-37
33,33. Not well written,-0.22787645971113552,5.4392163624770544e-39
4,4. Dull,-0.23264620985286016,1.3026744248999637e-40
26,26. Inaccessible,-0.23514304363929764,1.7851555377059153e-41
15,15. Derivative,-0.23914400382560777,7.034922626259114e-43
28,28. Lax,-0.2572703618640977,1.4195158247365346e-49
25,25. Haphazard,-0.2584846683643431,4.829750287988359e-50
21,21. Uninsightful,-0.2648053459939764,1.607965743791296e-52
22,22. Superficial,-0.27426358976441645,2.3475185780805918e-56
30,30. Disengaging,-0.27509754165243144,1.0591877921108235e-56
23,23. Unconvincing,-0.2821597857879283,1.1198995263925688e-59
