No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,Engaging,77.18,5.3,0.19,0.708,-0.096
2,Controversial,27.6,11.71,-0.187,0.124,-0.689
3,Rigorous,81.87,5.06,0.084,0.57,0.485
4,Innovative,81.09,8.3,-0.095,0.793,0.029
5,Accessible,67.81,5.65,0.604,0.141,-0.215
6,Methodical,79.85,4.32,0.271,0.454,0.474
7,Concise,73.96,4.71,0.493,0.267,0.158
8,Persuasive,74.97,6.8,0.077,0.828,0.035
9,Comprehensive,74.53,6.01,0.195,0.566,0.217
10,Insightful,79.45,5.57,0.037,0.89,-0.038
11,Relevant,86.27,3.95,0.396,0.593,0.185
12,Objective,79.26,3.91,0.307,0.384,0.567
13,Replicable,76.07,5.77,0.312,0.44,0.51
14,Structured,82.27,3.74,0.337,0.52,0.437
15,Coherent,83.85,3.53,0.445,0.5,0.266
16,Original,77.81,7.42,-0.05,0.826,-0.016
17,Balanced,74.99,4.08,0.4,0.498,0.324
18,Authoritative,74.16,5.32,0.188,0.648,0.289
19,Impactful,78.66,5.82,0.197,0.851,0.07
20,Interdisciplinary,59.0,9.26,-0.027,0.468,-0.359
21,Well-sourced,71.5,6.22,0.381,0.422,0.226
22,Technical,79.34,6.56,-0.262,0.508,0.533
23,Provocative,38.42,11.27,-0.224,0.237,-0.712
24,Hypothesis-driven,68.82,8.21,-0.195,0.657,0.027
25,Ethical,80.44,7.87,0.243,0.086,0.277
26,Difficult to understand,32.62,9.47,-0.786,0.243,0.124
27,Exciting,72.17,7.09,0.084,0.861,-0.066
28,Not well written,19.46,4.73,-0.726,-0.033,-0.148
29,Theoretical,59.8,10.93,-0.496,0.34,-0.111
30,To the point,78.57,4.39,0.549,0.332,0.253
31,Disengaging,18.74,4.09,-0.682,-0.227,-0.066
32,Uncontroversial,69.82,11.13,0.179,-0.086,0.686
33,Lax,20.3,4.15,-0.595,-0.174,-0.429
34,Conventional,34.37,8.22,-0.161,-0.523,-0.155
35,Inaccessible,28.19,7.07,-0.808,0.137,0.117
36,Haphazard,18.52,3.97,-0.706,-0.177,-0.326
37,Verbose,25.91,5.88,-0.733,-0.047,-0.246
38,Unconvincing,19.21,4.62,-0.531,-0.416,-0.204
39,Superficial,21.08,4.59,-0.496,-0.437,-0.32
40,Uninsightful,17.43,4.43,-0.531,-0.39,-0.075
41,Irrelevant,12.58,7.7,-0.241,-0.151,-0.038
42,Subjective,22.17,4.71,-0.437,-0.169,-0.582
43,Non-replicable,18.19,5.1,-0.561,-0.171,-0.435
44,Unstructured,16.35,3.96,-0.666,-0.164,-0.34
45,Incoherent,15.39,4.14,-0.662,-0.184,-0.206
46,Derivative,22.57,5.67,-0.233,-0.636,-0.08
47,Unbalanced,20.59,4.18,-0.612,-0.118,-0.387
48,Unreliable,17.76,4.31,-0.624,-0.266,-0.371
49,Inconsequential,17.33,5.14,-0.469,-0.529,-0.065
50,Narrow,40.48,8.57,-0.182,-0.334,0.318
51,Poorly-sourced,20.64,5.6,-0.625,-0.198,-0.324
52,Nontechnical,23.47,6.93,0.107,-0.28,-0.573
53,Unprovocative,62.64,10.99,0.158,-0.126,0.636
54,Speculation-driven,30.92,6.74,-0.345,-0.157,-0.358
55,Unethical,21.28,26.56,-0.111,-0.069,0.195
56,Easy to understand,76.69,6.49,0.689,0.039,-0.109
57,Dull,26.31,5.74,-0.493,-0.548,0.024
58,Well written,83.48,3.61,0.665,0.4,0.143
59,Empirical,74.52,11.34,0.363,0.207,0.231
60,Circumlocutory,21.6,5.41,-0.729,-0.064,-0.279
