No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,Engaging,76.81,5.46,-0.01,0.15,0.705
2,Controversial,28.0,12.12,-0.547,-0.278,0.236
3,Rigorous,81.7,5.21,0.629,0.062,0.466
4,Innovative,80.93,8.19,0.083,-0.049,0.787
5,Accessible,67.55,5.76,-0.138,0.5,0.182
6,Methodical,79.7,4.57,0.614,0.255,0.332
7,Concise,73.67,4.92,0.254,0.438,0.211
8,Persuasive,74.88,6.6,0.145,0.072,0.812
9,Comprehensive,74.3,6.07,0.39,0.133,0.514
10,Insightful,79.13,5.5,0.1,0.032,0.878
11,Relevant,85.92,4.07,0.323,0.387,0.502
12,Objective,79.27,4.09,0.691,0.289,0.273
13,Replicable,75.85,5.82,0.641,0.288,0.343
14,Structured,82.13,3.9,0.586,0.306,0.405
15,Coherent,83.62,3.6,0.395,0.409,0.44
16,Original,77.5,7.42,0.051,-0.014,0.82
17,Balanced,74.78,4.13,0.482,0.345,0.423
18,Authoritative,73.93,5.3,0.436,0.196,0.555
19,Impactful,78.27,5.73,0.206,0.206,0.807
20,Interdisciplinary,58.65,9.16,-0.246,-0.06,0.529
21,Well-sourced,71.34,6.23,0.397,0.326,0.349
22,Technical,79.31,6.61,0.578,-0.212,0.407
23,Provocative,39.15,11.66,-0.552,-0.328,0.357
24,Hypothesis-driven,68.99,8.22,0.164,-0.209,0.623
25,Ethical,80.96,7.86,0.356,0.219,0.038
26,Difficult to understand,33.16,9.58,0.175,-0.738,0.244
27,Exciting,71.76,7.07,0.021,0.093,0.855
28,Not well written,19.71,5.06,-0.122,-0.742,-0.014
29,Theoretical,60.16,11.11,-0.044,-0.485,0.375
30,To the point,78.13,4.63,0.35,0.513,0.257
31,Disengaging,19.0,4.18,-0.014,-0.696,-0.233
32,Uncontroversial,69.08,11.38,0.574,0.252,-0.197
33,Lax,20.7,4.52,-0.395,-0.636,-0.095
34,Conventional,35.46,8.51,-0.13,-0.269,-0.438
35,Inaccessible,28.68,7.05,0.149,-0.771,0.13
36,Haphazard,18.66,4.17,-0.311,-0.734,-0.11
37,Verbose,26.33,6.05,-0.218,-0.758,0.011
38,Unconvincing,19.36,4.63,-0.19,-0.598,-0.38
39,Superficial,21.39,4.88,-0.309,-0.592,-0.355
40,Uninsightful,17.46,4.47,-0.062,-0.578,-0.392
41,Irrelevant,12.77,7.69,-0.019,-0.245,-0.117
42,Subjective,22.52,5.03,-0.557,-0.495,-0.054
43,Non-replicable,18.18,5.12,-0.381,-0.617,-0.137
44,Unstructured,16.42,4.1,-0.337,-0.701,-0.1
45,Incoherent,15.55,4.25,-0.189,-0.688,-0.143
46,Derivative,22.82,5.81,-0.071,-0.337,-0.619
47,Unbalanced,20.75,4.33,-0.345,-0.657,-0.078
48,Unreliable,17.9,4.57,-0.342,-0.675,-0.204
49,Inconsequential,17.31,5.29,-0.069,-0.517,-0.507
50,Narrow,40.08,8.92,0.321,-0.174,-0.403
51,Poorly-sourced,20.76,5.83,-0.321,-0.642,-0.145
52,Nontechnical,23.7,7.19,-0.544,-0.001,-0.169
53,Unprovocative,61.95,11.49,0.533,0.2,-0.236
54,Speculation-driven,31.72,7.1,-0.308,-0.393,-0.051
55,Unethical,21.96,27.29,0.229,-0.09,-0.118
56,Easy to understand,76.25,6.54,-0.09,0.619,0.057
57,Dull,26.77,5.78,0.025,-0.546,-0.523
58,Well written,83.22,3.77,0.224,0.647,0.348
59,Empirical,74.79,10.95,0.306,0.325,0.145
60,Circumlocutory,22.28,5.8,-0.23,-0.767,-0.006
