No,Item,Mean,SD,Quality & Reliability,Accessibility & Understandability,Novelty & Engagement
1,1. Circumlocutory,13.5,7.07,-0.468,-0.55,-0.105
2,2. Empirical,70.61,18.77,0.558,0.173,0.228
3,3. Well written,73.65,6.8,0.447,0.456,0.593
4,4. Dull,19.11,9.11,-0.381,-0.141,-0.738
5,5. Easy to understand,61.14,13.8,0.047,0.944,-0.029
6,6. Unethical,0.1,1.39,-0.122,0.048,0.111
7,7. Speculation-driven,20.22,9.5,-0.752,-0.149,0.216
8,8. Unprovocative,30.1,17.19,-0.172,0.043,-0.736
9,9. Nontechnical,23.32,11.17,-0.398,0.656,-0.214
10,10. Poorly-sourced,28.18,12.18,-0.199,0.016,-0.155
11,11. Narrow,40.04,7.3,-0.049,0.024,-0.623
12,12. Inconsequential,22.99,7.56,-0.476,-0.029,-0.709
13,13. Unreliable,27.35,13.77,-0.313,-0.077,-0.269
14,14. Unbalanced,49.12,21.09,0.078,0.078,-0.16
15,15. Derivative,28.77,6.49,-0.301,0.011,-0.677
16,16. Incoherent,16.69,18.66,-0.141,-0.064,-0.16
17,17. Unstructured,17.24,18.56,-0.169,-0.062,-0.175
18,18. Non-replicable,51.28,16.1,0.54,0.193,-0.012
19,19. Subjective,17.97,7.38,-0.851,-0.01,-0.048
20,20. Irrelevant,8.5,5.52,-0.342,-0.089,-0.223
21,21. Uninsightful,28.41,8.03,-0.349,0.016,-0.422
22,22. Superficial,28.97,6.88,-0.521,0.138,-0.679
23,23. Unconvincing,30.32,12.08,-0.294,-0.04,-0.319
24,24. Verbose,22.24,9.58,-0.449,-0.612,-0.162
25,25. Haphazard,12.53,5.79,-0.591,-0.362,-0.315
26,26. Inaccessible,29.34,14.25,-0.028,-0.91,0.012
27,27. Conventional,42.99,12.53,0.006,0.278,-0.81
28,28. Lax,15.28,7.01,-0.654,-0.116,-0.427
29,29. Uncontroversial,44.19,19.88,0.026,0.161,-0.818
30,30. Disengaging,25.06,8.41,-0.381,-0.209,-0.77
31,31. To the point,70.67,9.07,0.47,0.723,0.184
32,32. Theoretical,50.25,17.65,-0.297,-0.566,0.198
33,33. Not well written,12.53,6.82,-0.507,-0.423,-0.379
34,34. Exciting,47.75,11.19,-0.029,0.096,0.858
35,35. Difficult to understand,31.75,16.97,-0.024,-0.933,0.084
36,36. Ethical,98.73,3.71,0.401,-0.213,-0.028
37,37. Hypothesis-driven,51.21,13.86,0.095,-0.163,0.418
38,38. Provocative,37.22,11.1,-0.377,-0.046,0.782
39,39. Technical,77.38,9.84,0.516,-0.597,0.279
40,40. Well-sourced,44.5,13.34,0.428,0.074,0.207
41,41. Interdisciplinary,31.77,13.12,-0.491,0.086,0.285
42,42. Impactful,62.95,9.25,0.253,0.08,0.81
43,43. Authoritative,59.41,7.58,0.581,0.017,0.48
44,44. Balanced,63.23,8.2,0.495,0.296,0.204
45,45. Original,63.28,10.24,0.091,-0.161,0.822
46,46. Coherent,78.95,6.33,0.565,0.444,0.408
47,47. Structured,78.31,6.36,0.637,0.392,0.365
48,48. Replicable,55.92,12.34,0.69,0.22,0.096
49,49. Objective,72.56,7.66,0.846,0.11,0.117
50,50. Relevant,89.49,4.25,0.462,0.181,0.391
51,51. Insightful,62.6,7.03,0.201,-0.024,0.816
52,52. Comprehensive,54.58,7.85,0.334,-0.001,0.519
53,53. Persuasive,59.8,8.0,0.395,0.093,0.719
54,54. Concise,67.03,11.53,0.351,0.742,0.079
55,55. Methodical,71.56,7.44,0.776,0.101,0.336
56,56. Accessible,61.78,13.02,0.015,0.943,-0.025
57,57. Innovative,65.58,11.7,0.064,-0.178,0.833
58,58. Rigorous,66.02,8.97,0.725,-0.165,0.448
59,59. Controversial,16.21,9.31,-0.504,0.03,0.44
60,60. Engaging,57.99,8.78,0.029,0.304,0.84
